fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
33	82	0.402	9	24	0.375	19	24	0.792	9	28	37	24	8	8	15	27	94	20562	 00-01 
33	68	0.485	8	16	0.5	27	39	0.692	7	33	40	21	5	5	18	29	101	17732	 01-01 
34	89	0.382	4	17	0.235	14	15	0.933	11	31	42	23	5	8	12	23	86	15297	 01-02 
40	78	0.513	4	11	0.364	20	32	0.625	11	28	39	23	11	3	15	27	104	17732	 02-02 
41	88	0.466	6	24	0.25	20	29	0.69	11	40	51	23	11	3	21	27	108	17215	 02-03 
35	76	0.461	8	19	0.421	13	16	0.813	7	31	38	20	9	2	15	21	91	17732	 02-04 
31	82	0.378	3	13	0.231	21	27	0.778	10	42	52	14	2	7	15	23	86	15122	 02-05 
38	87	0.437	2	12	0.167	22	29	0.759	14	35	49	14	8	4	12	25	100	15984	 03-05 
36	85	0.424	9	23	0.391	22	33	0.667	16	23	39	24	7	1	11	26	103	19349	 03-06 
31	85	0.365	3	13	0.231	33	35	0.943	14	26	40	12	9	4	7	18	98	17732	 03-07 
32	67	0.478	9	19	0.474	18	25	0.72	6	30	36	21	6	5	17	27	91	13843	 03-08 
31	78	0.397	5	16	0.313	14	20	0.7	10	37	47	7	5	2	20	18	81	15551	 03-09 
35	77	0.455	14	26	0.538	13	18	0.722	8	27	35	23	6	2	17	28	97	17732	 03-10 
39	77	0.506	4	14	0.286	20	22	0.909	11	28	39	25	7	3	15	18	102	16421	 04-10 
31	83	0.373	11	30	0.367	21	26	0.808	11	33	44	21	6	10	12	23	94	17732	 04-11 
37	89	0.416	6	22	0.273	15	23	0.652	15	29	44	24	10	3	11	14	95	18138	 04-12 
34	73	0.466	9	18	0.5	20	26	0.769	8	31	39	21	6	4	12	10	97	17012	 05-12 
30	75	0.4	2	16	0.125	25	34	0.735	11	26	37	15	7	4	11	19	87	17732	 05-13 
29	73	0.397	4	16	0.25	21	31	0.677	15	20	35	11	3	3	16	25	83	17732	 05-14 
34	74	0.459	5	18	0.278	17	23	0.739	11	30	41	16	6	6	8	21	90	14963	 06-14 
