fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
33	90	0.367	4	10	0.4	13	20	0.65	12	25	37	14	8	6	7	21	83	18083	 00-01 
33	73	0.452	3	12	0.25	21	34	0.618	5	32	37	21	7	8	15	20	90	18017	 01-01 
30	80	0.375	3	21	0.143	21	36	0.583	14	27	41	13	8	4	13	22	84	15232	 01-02 
30	71	0.423	8	21	0.381	34	42	0.81	16	35	51	17	9	5	22	25	102	19812	 02-02 
36	73	0.493	3	15	0.2	17	30	0.567	10	27	37	24	5	8	8	19	92	11118	 03-02 
31	76	0.408	4	16	0.25	25	30	0.833	10	31	41	13	4	8	14	15	91	16465	 03-03 
33	81	0.407	5	13	0.385	23	29	0.793	10	30	40	22	4	0	14	24	94	13996	 03-04 
30	82	0.366	3	12	0.25	26	30	0.867	12	38	50	16	8	5	11	20	89	17032	 04-04 
32	80	0.4	8	20	0.4	14	20	0.7	12	35	47	23	8	8	16	13	86	18679	 05-04 
29	83	0.349	8	27	0.296	15	20	0.75	10	26	36	20	5	3	8	20	81	19084	 05-05 
33	91	0.363	7	16	0.438	8	16	0.5	12	32	44	25	6	8	9	23	81	21628	 05-06 
36	81	0.444	5	13	0.385	18	30	0.6	17	24	41	17	7	4	15	20	95	13843	 06-06 
32	77	0.416	3	14	0.214	24	33	0.727	11	30	41	17	9	4	16	28	91	14916	 06-07 
38	77	0.494	5	14	0.357	15	27	0.556	14	38	52	18	9	4	14	13	96	14871	 07-07 
33	74	0.446	3	9	0.333	17	20	0.85	9	28	37	17	2	3	16	15	86	13558	 07-08 
26	83	0.313	3	9	0.333	19	28	0.679	11	32	43	13	3	6	15	27	74	15170	 07-09 
35	79	0.443	3	15	0.2	19	31	0.613	16	38	54	20	5	4	17	17	92	15081	 08-09 
35	76	0.461	4	15	0.267	24	28	0.857	6	33	39	16	8	2	14	20	98	19617	 08-10 
30	78	0.385	3	17	0.176	19	25	0.76	10	40	50	11	5	4	10	18	82	19612	 08-11 
42	91	0.462	4	21	0.19	17	25	0.68	12	36	48	29	9	7	9	15	105	14088	 09-11 
43	94	0.457	6	12	0.5	23	29	0.793	7	39	46	22	6	4	7	16	115	13129	 10-11 
31	84	0.369	4	17	0.235	17	18	0.944	9	32	41	23	6	7	10	14	83	11377	 10-12 
39	83	0.47	4	12	0.333	12	17	0.706	8	30	38	19	5	4	11	19	94	18165	 10-13 
