fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
35	83	0.422	7	26	0.269	18	23	0.783	11	30	41	23	11	4	18	27	95	19964	 00-01 
31	76	0.408	3	16	0.188	17	19	0.895	13	35	48	20	5	3	18	16	82	22022	 01-01 
42	93	0.452	3	14	0.214	17	19	0.895	17	34	51	28	8	5	18	14	104	15782	 01-02 
26	73	0.356	5	15	0.333	23	27	0.852	11	29	40	15	4	5	17	20	80	18165	 01-03 
38	72	0.528	3	8	0.375	18	25	0.72	11	37	48	26	12	6	20	24	97	21946	 02-03 
34	83	0.41	4	16	0.25	24	26	0.923	14	27	41	24	9	7	11	21	96	21778	 03-03 
36	80	0.45	7	16	0.438	17	19	0.895	11	37	48	21	6	5	15	21	96	19800	 04-03 
40	79	0.506	11	19	0.579	19	24	0.792	9	33	42	25	6	6	13	24	110	22158	 05-03 
27	75	0.36	6	12	0.5	26	31	0.839	9	45	54	17	3	8	16	18	86	21628	 06-03 
38	98	0.388	3	10	0.3	8	14	0.571	22	36	58	22	4	3	17	18	87	18423	 06-04 
32	83	0.386	5	14	0.357	26	29	0.897	17	35	52	11	8	1	14	17	95	20618	 06-05 
32	81	0.395	4	12	0.333	14	23	0.609	11	28	39	24	2	1	14	18	82	19245	 06-06 
31	79	0.392	1	13	0.077	20	28	0.714	14	35	49	11	4	2	18	26	83	18936	 06-07 
42	79	0.532	6	17	0.353	9	12	0.75	8	32	40	24	9	1	16	15	99	14228	 07-07 
39	82	0.476	6	15	0.4	9	15	0.6	9	27	36	31	5	4	9	22	93	17296	 07-08 
48	101	0.475	8	23	0.348	24	34	0.706	16	39	55	34	4	7	16	23	128	21615	 07-09 
37	74	0.5	10	19	0.526	23	32	0.719	13	36	49	24	3	2	15	20	107	22125	 08-09 
30	90	0.333	3	18	0.167	12	15	0.8	11	33	44	17	8	7	13	11	75	21737	 08-10 
31	83	0.373	3	15	0.2	9	14	0.643	13	29	42	21	7	8	18	23	74	21303	 08-11 
24	72	0.333	6	21	0.286	24	29	0.828	16	32	48	12	9	7	22	19	78	19812	 08-12 
34	81	0.42	7	24	0.292	16	19	0.842	17	27	44	26	8	6	15	22	91	15219	 09-12 
31	86	0.36	6	18	0.333	9	12	0.75	10	31	41	19	5	9	15	20	77	21386	 09-13 
28	81	0.346	5	18	0.278	21	26	0.808	7	38	45	19	4	5	5	20	82	21200	 09-14 
38	79	0.481	5	12	0.417	13	23	0.565	9	24	33	26	8	2	17	19	94	18242	 09-15 
29	77	0.377	8	29	0.276	29	39	0.744	11	29	40	20	8	6	16	16	95	18203	 09-16 
37	69	0.536	10	15	0.667	16	24	0.667	9	40	49	27	4	5	21	14	100	21658	 10-16 
36	74	0.486	5	17	0.294	18	20	0.9	11	34	45	20	10	3	15	22	95	17732	 11-16 
32	74	0.432	3	17	0.176	16	19	0.842	7	27	34	22	9	3	15	17	83	22099	 11-17 
28	65	0.431	6	15	0.4	33	42	0.786	9	28	37	16	13	10	20	21	95	17688	 12-17 
30	82	0.366	2	9	0.222	17	21	0.81	9	36	45	17	5	4	15	21	79	21507	 12-18 
35	84	0.417	2	15	0.133	22	28	0.786	12	29	41	26	7	6	13	19	94	21721	 13-18 
33	81	0.407	6	17	0.353	19	24	0.792	20	32	52	19	12	12	13	15	91	21539	 14-18 
36	82	0.439	6	14	0.429	14	23	0.609	14	36	50	26	6	5	14	18	92	21181	 15-18 
24	62	0.387	6	16	0.375	27	39	0.692	8	36	44	18	5	5	11	19	81	15148	 16-18 
38	81	0.469	6	14	0.429	21	26	0.808	12	34	46	26	6	8	10	19	103	21413	 17-18 
34	79	0.43	9	21	0.429	11	19	0.579	14	28	42	25	8	3	17	21	88	21287	 17-19 
48	113	0.425	12	33	0.364	20	23	0.87	18	41	59	31	9	6	17	22	128	16489	 18-19 
35	76	0.461	9	24	0.375	14	16	0.875	7	27	34	24	8	5	15	15	93	17005	 18-20 
40	82	0.488	6	20	0.3	17	20	0.85	11	41	52	27	10	10	16	15	103	21710	 19-20 
39	102	0.382	7	21	0.333	17	24	0.708	19	36	55	26	13	5	15	18	102	21626	 20-20 
37	70	0.529	10	21	0.476	14	18	0.778	7	36	43	24	5	8	10	19	98	16890	 21-20 
40	93	0.43	6	19	0.316	9	11	0.818	20	26	46	27	5	2	8	17	95	21755	 21-21 
31	77	0.403	11	23	0.478	16	22	0.727	4	37	41	24	11	5	13	16	89	18252	 22-21 
32	85	0.376	8	24	0.333	14	16	0.875	11	31	42	20	9	4	13	25	86	21637	 22-22 
37	83	0.446	4	12	0.333	18	23	0.783	14	25	39	21	9	8	7	18	96	18581	 23-22 
27	70	0.386	3	16	0.188	22	33	0.667	16	26	42	20	4	7	17	17	79	17799	 23-23 
22	78	0.282	4	20	0.2	22	34	0.647	8	22	30	17	11	2	14	24	70	15178	 23-24 
