fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
35	84	0.417	5	15	0.333	23	34	0.676	16	32	48	21	7	3	11	20	98	20562	 01-00 
32	84	0.381	4	18	0.222	16	22	0.727	11	31	42	14	9	1	17	29	84	18017	 01-01 
29	83	0.349	3	15	0.2	13	15	0.867	6	31	37	11	15	1	16	25	74	16242	 01-02 
39	85	0.459	5	16	0.313	10	11	0.909	11	38	49	22	10	12	23	24	93	17892	 02-02 
38	85	0.447	12	28	0.429	16	22	0.727	12	27	39	20	10	2	9	21	104	14340	 02-03 
30	90	0.333	9	26	0.346	10	14	0.714	18	25	43	22	9	4	13	12	79	15219	 02-04 
46	102	0.451	13	31	0.419	22	29	0.759	14	36	50	28	10	10	18	21	127	20562	 03-04 
31	75	0.413	5	14	0.357	14	20	0.7	11	27	38	13	7	11	18	22	81	21778	 03-05 
36	87	0.414	5	16	0.313	18	21	0.857	10	27	37	18	4	1	11	18	95	14978	 03-06 
32	79	0.405	4	15	0.267	12	17	0.706	10	33	43	19	10	6	15	17	80	18679	 03-07 
36	81	0.444	10	21	0.476	21	22	0.955	7	39	46	18	12	6	20	19	103	18038	 04-07 
32	77	0.416	9	23	0.391	18	21	0.857	13	25	38	19	5	0	15	20	91	16189	 04-08 
41	77	0.532	8	23	0.348	10	16	0.625	6	31	37	15	7	5	19	26	100	15186	 04-09 
39	83	0.47	4	13	0.308	14	20	0.7	10	27	37	19	9	2	17	21	96	18581	 04-10 
29	83	0.349	10	28	0.357	16	24	0.667	12	35	47	19	7	2	18	18	84	20562	 04-11 
32	86	0.372	4	18	0.222	18	27	0.667	13	30	43	13	6	2	17	21	86	17685	 04-12 
37	78	0.474	7	15	0.467	16	19	0.842	10	31	41	20	5	7	10	18	97	17296	 05-12 
37	91	0.407	5	14	0.357	19	24	0.792	20	38	58	20	6	13	12	10	98	14642	 06-12 
38	94	0.404	5	20	0.25	8	17	0.471	16	31	47	19	4	2	11	11	89	13282	 06-13 
31	83	0.373	4	14	0.286	22	30	0.733	16	44	60	18	5	3	15	21	88	16216	 07-13 
42	74	0.568	9	19	0.474	16	22	0.727	9	29	38	25	6	1	12	13	109	14580	 08-13 
42	87	0.483	8	21	0.381	17	20	0.85	7	37	44	18	6	3	10	16	109	16119	 09-13 
39	84	0.464	10	29	0.345	19	25	0.76	12	27	39	18	7	1	15	20	107	19656	 09-14 
48	102	0.471	9	17	0.529	11	16	0.688	13	31	44	26	6	1	6	17	116	15689	 09-15 
39	100	0.39	11	28	0.393	25	27	0.926	18	38	56	18	5	12	12	22	114	19058	 10-15 
36	90	0.4	4	18	0.222	8	9	0.889	11	25	36	21	6	4	9	20	84	21658	 10-16 
34	88	0.386	8	28	0.286	16	24	0.667	13	26	39	20	5	4	19	16	92	19215	 10-17 
49	94	0.521	8	21	0.381	19	26	0.731	11	34	45	22	9	8	22	19	125	18682	 10-18 
37	79	0.468	9	18	0.5	17	24	0.708	10	30	40	17	5	4	15	21	100	18624	 10-19 
38	92	0.413	10	16	0.625	18	21	0.857	7	37	44	21	8	7	15	18	104	19384	 10-20 
29	80	0.363	1	12	0.083	17	23	0.739	12	36	48	15	5	3	13	22	76	18165	 10-21 
33	96	0.344	4	19	0.211	17	24	0.708	17	42	59	22	6	5	12	21	87	14248	 11-21 
29	79	0.367	10	22	0.455	14	20	0.7	14	31	45	14	4	3	11	22	82	17732	 11-22 
27	79	0.342	6	20	0.3	18	20	0.9	16	33	49	14	7	2	18	25	78	17502	 11-23 
44	89	0.494	13	28	0.464	10	18	0.556	14	44	58	29	5	9	18	27	111	13344	 12-23 
45	83	0.542	7	14	0.5	16	20	0.8	8	37	45	19	9	1	8	20	113	18480	 13-23 
31	80	0.388	7	21	0.333	11	23	0.478	6	26	32	23	6	3	14	23	80	16072	 13-24 
41	88	0.466	13	17	0.765	25	32	0.781	16	32	48	27	8	2	8	22	120	18997	 14-24 
39	89	0.438	6	23	0.261	12	18	0.667	10	32	42	17	9	2	12	21	96	19998	 14-25 
42	88	0.477	5	16	0.313	28	35	0.8	16	33	49	21	8	6	11	19	117	18486	 15-25 
