fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
36	71	0.507	3	13	0.231	15	17	0.882	6	28	34	17	12	6	22	16	90	19812	 01-00 
31	86	0.36	9	24	0.375	10	14	0.714	13	29	42	20	12	8	15	24	81	22022	 01-01 
40	89	0.449	9	32	0.281	11	13	0.846	14	35	49	21	7	3	16	26	100	19812	 01-02 
35	82	0.427	8	28	0.286	19	23	0.826	11	22	33	12	11	4	14	27	97	19812	 01-03 
42	90	0.467	12	26	0.462	5	9	0.556	12	25	37	25	5	9	12	22	101	16465	 02-03 
31	82	0.378	6	22	0.273	21	29	0.724	9	24	33	16	6	1	10	22	89	19812	 02-04 
37	88	0.42	12	34	0.353	9	13	0.692	8	29	37	24	11	3	3	19	95	15057	 03-04 
38	87	0.437	8	20	0.4	22	27	0.815	10	26	36	20	6	5	9	28	106	19812	 03-05 
34	90	0.378	10	30	0.333	12	16	0.75	19	29	48	19	6	3	14	20	90	19812	 03-06 
33	76	0.434	6	24	0.25	14	18	0.778	10	25	35	16	9	3	13	22	86	13213	 03-07 
37	100	0.37	8	30	0.267	14	17	0.824	16	36	52	15	9	5	15	32	96	19812	 03-08 
36	82	0.439	11	29	0.379	6	15	0.4	11	29	40	24	7	3	9	24	89	18089	 03-09 
38	85	0.447	6	15	0.4	9	14	0.643	10	34	44	24	5	3	9	17	91	19939	 03-10 
32	83	0.386	3	20	0.15	13	15	0.867	12	32	44	20	6	6	14	27	80	19270	 03-11 
34	83	0.41	6	22	0.273	21	25	0.84	8	34	42	16	6	6	10	24	95	19155	 03-12 
34	76	0.447	13	35	0.371	18	21	0.857	13	29	42	23	9	9	17	23	99	19812	 03-13 
44	77	0.571	16	27	0.593	9	11	0.818	7	23	30	24	11	7	12	29	113	17732	 04-13 
44	83	0.53	17	34	0.5	16	19	0.842	10	35	45	25	8	5	10	20	121	19812	 05-13 
25	73	0.342	6	16	0.375	17	23	0.739	4	22	26	13	10	3	14	18	73	19812	 05-14 
40	87	0.46	10	31	0.323	4	5	0.8	9	22	31	27	4	5	13	19	94	14580	 05-15 
31	76	0.408	5	19	0.263	16	19	0.842	10	29	39	17	16	7	13	21	83	19812	 06-15 
32	80	0.4	5	21	0.238	17	19	0.895	9	29	38	20	7	1	6	19	86	17479	 06-16 
44	87	0.506	8	19	0.421	15	18	0.833	15	17	32	19	14	1	11	16	111	19812	 07-16 
33	79	0.418	11	30	0.367	24	31	0.774	9	26	35	21	9	6	9	20	101	19812	 07-17 
38	101	0.376	17	41	0.415	14	19	0.737	14	37	51	26	11	6	12	31	107	11869	 08-17 
33	79	0.418	6	22	0.273	15	23	0.652	6	23	29	21	12	6	7	15	87	19812	 08-18 
39	86	0.453	10	21	0.476	15	19	0.789	9	38	47	19	3	4	9	21	103	15105	 09-18 
38	90	0.422	6	23	0.261	12	19	0.632	12	30	42	23	5	2	12	22	94	19812	 09-19 
30	79	0.38	10	19	0.526	13	21	0.619	13	29	42	19	11	5	16	29	83	19812	 09-20 
39	80	0.488	7	21	0.333	15	20	0.75	7	30	37	23	11	4	14	26	100	19800	 09-21 
39	76	0.513	9	17	0.529	18	20	0.9	9	31	40	19	7	5	13	23	105	18581	 10-21 
37	89	0.416	9	24	0.375	17	24	0.708	17	27	44	20	9	3	8	22	100	18304	 10-22 
37	76	0.487	5	13	0.385	13	16	0.813	9	38	47	20	8	3	14	18	92	19892	 11-22 
33	81	0.407	9	26	0.346	14	20	0.7	9	29	38	24	10	4	13	22	89	19812	 12-22 
44	82	0.537	9	24	0.375	5	10	0.5	10	33	43	25	8	1	10	19	102	19812	 13-22 
39	82	0.476	6	18	0.333	18	23	0.783	10	29	39	26	11	2	13	20	102	16278	 14-22 
35	81	0.432	7	20	0.35	21	27	0.778	12	41	53	11	3	5	18	30	98	19812	 15-22 
39	81	0.481	6	17	0.353	14	18	0.778	4	28	32	21	4	8	9	23	98	15156	 15-23 
34	85	0.4	4	19	0.211	17	22	0.773	12	34	46	16	2	6	12	22	89	18165	 15-24 
29	83	0.349	7	23	0.304	30	36	0.833	20	35	55	20	2	1	18	32	95	19812	 15-25 
24	71	0.338	8	25	0.32	24	37	0.649	14	31	45	13	4	3	16	17	80	19812	 15-26 
37	82	0.451	15	33	0.455	17	24	0.708	8	31	39	24	7	12	13	24	106	19812	 15-27 
50	90	0.556	14	27	0.519	11	11	1	12	30	42	23	7	4	4	19	125	19812	 16-27 
43	90	0.478	11	26	0.423	13	18	0.722	16	29	45	21	4	6	11	19	110	19812	 17-27 
44	82	0.537	10	20	0.5	16	23	0.696	12	34	46	25	9	7	15	20	114	19812	 18-27 
43	76	0.566	12	26	0.462	19	28	0.679	8	36	44	21	5	10	16	18	117	19812	 19-27 
33	67	0.493	11	26	0.423	14	23	0.609	9	24	33	14	7	4	17	22	91	19812	 19-28 
34	78	0.436	15	34	0.441	15	24	0.625	8	32	40	17	4	2	9	20	98	11147	 19-29 
36	90	0.4	4	21	0.19	14	20	0.7	15	33	48	18	8	5	9	24	90	19812	 19-30 
48	85	0.565	11	28	0.393	10	14	0.714	9	34	43	23	16	1	23	23	117	19812	 20-30 
38	86	0.442	9	24	0.375	15	20	0.75	12	26	38	27	6	3	12	21	100	18203	 20-31 
41	90	0.456	9	24	0.375	10	14	0.714	13	32	45	27	7	3	18	21	101	19812	 20-32 
35	85	0.412	6	27	0.222	17	20	0.85	14	25	39	15	8	5	12	23	93	17317	 20-33 
37	83	0.446	10	21	0.476	14	20	0.7	13	25	38	20	8	6	9	17	98	16495	 21-33 
45	95	0.474	15	34	0.441	16	23	0.696	7	37	44	24	6	4	13	21	121	16498	 21-34 
39	89	0.438	10	28	0.357	10	16	0.625	8	33	41	22	6	4	10	24	98	19045	 21-35 
40	76	0.526	14	33	0.424	14	16	0.875	11	30	41	23	3	3	19	24	108	19812	 21-36 
31	83	0.373	4	23	0.174	16	22	0.727	14	26	40	16	7	1	13	21	82	19634	 21-37 
36	95	0.379	10	25	0.4	21	23	0.913	13	37	50	14	8	4	17	24	103	19812	 21-38 
35	79	0.443	5	18	0.278	15	18	0.833	12	32	44	17	0	5	12	23	90	21739	 21-39 
32	83	0.386	10	28	0.357	11	14	0.786	12	28	40	16	8	6	16	27	85	14742	 21-40 
47	90	0.522	11	27	0.407	13	19	0.684	12	27	39	24	11	4	12	24	118	14294	 22-40 
42	85	0.494	12	31	0.387	12	18	0.667	8	27	35	24	9	7	7	19	108	19812	 23-40 
38	88	0.432	14	31	0.452	17	23	0.739	13	36	49	26	7	9	13	16	107	20562	 24-40 
44	81	0.543	13	32	0.406	22	34	0.647	10	25	35	20	10	6	13	24	123	19812	 25-40 
42	80	0.525	11	19	0.579	21	24	0.875	12	35	47	20	11	7	8	21	116	18624	 26-40 
42	76	0.553	8	20	0.4	23	28	0.821	13	28	41	14	3	7	11	23	115	19812	 27-40 
32	82	0.39	4	17	0.235	24	29	0.828	10	35	45	15	6	2	10	26	92	19812	 28-40 
34	82	0.415	7	29	0.241	18	25	0.72	9	38	47	29	6	2	11	17	93	12745	 29-40 
35	77	0.455	12	27	0.444	18	19	0.947	9	25	34	21	7	2	12	13	100	19812	 29-41 
36	74	0.486	4	15	0.267	20	27	0.741	8	24	32	23	9	4	15	16	96	18997	 29-42 
40	73	0.548	15	26	0.577	12	13	0.923	7	27	34	25	3	4	14	30	107	15594	 30-42 
35	87	0.402	8	25	0.32	10	16	0.625	13	24	37	14	7	2	11	24	88	17106	 30-43 
32	80	0.4	9	25	0.36	16	18	0.889	10	30	40	15	5	3	9	19	89	19596	 31-43 
33	70	0.471	9	29	0.31	17	24	0.708	3	35	38	18	8	6	9	18	92	18653	 32-43 
42	70	0.6	11	25	0.44	15	20	0.75	9	32	41	21	11	5	15	25	110	19812	 33-43 
34	76	0.447	14	31	0.452	7	8	0.875	8	26	34	23	9	1	16	14	89	19812	 33-44 
33	88	0.375	15	42	0.357	10	13	0.769	15	23	38	18	10	2	10	24	91	19647	 33-45 
35	73	0.479	6	24	0.25	32	36	0.889	7	32	39	16	6	3	8	24	108	19800	 34-45 
37	81	0.457	9	25	0.36	17	21	0.81	7	29	36	16	9	5	9	25	100	19812	 35-45 
32	67	0.478	11	21	0.524	34	40	0.85	8	28	36	15	11	5	16	28	109	17732	 36-45 
37	81	0.457	8	17	0.471	13	19	0.684	11	25	36	13	12	6	16	23	95	19812	 37-45 
