fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
33	81	0.407	8	21	0.381	16	23	0.696	11	30	41	13	8	7	14	26	90	17317	 01-00 
36	79	0.456	6	17	0.353	23	32	0.719	10	25	35	21	7	5	9	27	101	17317	 01-01 
30	87	0.345	6	26	0.231	21	24	0.875	16	32	48	16	9	1	14	18	87	19596	 01-02 
35	80	0.438	10	31	0.323	20	21	0.952	10	29	39	22	10	4	18	26	100	13506	 01-03 
36	86	0.419	6	22	0.273	13	15	0.867	8	23	31	20	11	1	11	24	91	17627	 01-04 
36	78	0.462	3	12	0.25	10	14	0.714	8	25	33	17	7	2	10	20	85	15482	 01-05 
41	94	0.436	8	24	0.333	17	23	0.739	12	38	50	26	8	3	6	23	107	15122	 02-05 
34	80	0.425	10	25	0.4	12	17	0.706	11	32	43	22	4	5	17	19	90	17317	 02-06 
33	87	0.379	7	23	0.304	13	17	0.765	11	24	35	21	8	2	8	20	86	15630	 02-07 
39	83	0.47	8	22	0.364	21	28	0.75	15	33	48	21	8	3	20	24	107	14626	 03-07 
37	80	0.463	7	17	0.412	32	38	0.842	9	33	42	19	11	2	10	23	113	12705	 04-07 
37	88	0.42	5	17	0.294	23	30	0.767	11	35	46	26	8	4	10	33	102	19060	 04-08 
35	84	0.417	8	24	0.333	8	15	0.533	7	35	42	24	6	3	13	17	86	18997	 04-09 
42	91	0.462	6	23	0.261	8	10	0.8	12	32	44	24	4	5	15	33	98	17317	 04-10 
40	76	0.526	9	19	0.474	24	28	0.857	11	28	39	22	11	1	24	25	113	15588	 04-11 
35	89	0.393	10	29	0.345	15	19	0.789	13	28	41	24	9	5	8	18	95	15089	 04-12 
37	86	0.43	10	22	0.455	16	22	0.727	18	33	51	25	10	4	15	19	100	17317	 04-13 
39	94	0.415	3	15	0.2	31	38	0.816	13	36	49	26	11	7	10	26	112	16500	 05-13 
38	81	0.469	9	25	0.36	27	34	0.794	11	40	51	23	10	4	21	23	112	15329	 06-13 
35	78	0.449	4	13	0.308	27	33	0.818	13	27	40	13	2	4	12	20	101	15198	 06-14 
38	87	0.437	6	19	0.316	25	29	0.862	17	26	43	12	11	4	15	22	107	14128	 06-15 
39	81	0.481	3	13	0.231	25	30	0.833	7	36	43	17	8	6	15	25	106	15606	 07-15 
30	80	0.375	4	15	0.267	23	28	0.821	9	33	42	18	8	4	15	23	87	11339	 07-16 
40	84	0.476	6	15	0.4	21	25	0.84	7	26	33	25	6	1	13	20	107	10185	 07-17 
43	74	0.581	7	22	0.318	10	24	0.417	7	25	32	25	14	1	20	16	103	19600	 07-18 
39	79	0.494	12	23	0.522	15	23	0.652	12	32	44	17	8	4	15	23	105	14283	 08-18 
31	74	0.419	7	17	0.412	31	42	0.738	16	27	43	15	9	6	22	22	100	17317	 08-19 
41	83	0.494	5	20	0.25	21	25	0.84	10	41	51	23	5	4	22	21	108	17317	 09-19 
41	91	0.451	7	14	0.5	15	20	0.75	16	35	51	20	3	6	7	18	104	18581	 09-20 
42	85	0.494	7	22	0.318	19	23	0.826	9	30	39	22	9	2	13	26	110	18232	 10-20 
35	83	0.422	7	23	0.304	27	37	0.73	16	35	51	14	4	7	22	27	104	16259	 10-21 
42	92	0.457	6	17	0.353	13	19	0.684	17	35	52	17	8	5	14	23	103	16410	 10-22 
40	85	0.471	7	15	0.467	36	50	0.72	12	36	48	20	9	3	8	25	123	15518	 11-22 
41	80	0.513	3	14	0.214	18	19	0.947	11	43	54	23	7	3	14	22	103	15694	 12-22 
42	81	0.519	15	30	0.5	25	30	0.833	12	38	50	21	6	8	15	23	124	16072	 13-22 
39	92	0.424	4	13	0.308	10	17	0.588	15	25	40	13	8	5	15	21	92	17530	 13-23 
45	82	0.549	5	12	0.417	16	19	0.842	9	36	45	19	6	4	19	22	111	12399	 14-23 
33	81	0.407	5	11	0.455	19	23	0.826	10	33	43	17	4	2	14	16	90	17212	 14-24 
33	77	0.429	5	17	0.294	22	28	0.786	14	30	44	17	7	6	20	22	93	18203	 14-25 
42	82	0.512	9	21	0.429	21	31	0.677	15	31	46	25	7	10	12	25	114	16459	 15-25 
34	86	0.395	12	30	0.4	18	30	0.6	11	31	42	19	5	6	13	26	98	16488	 15-26 
39	101	0.386	12	32	0.375	21	29	0.724	19	34	53	14	3	2	18	32	111	17317	 15-27 
42	81	0.519	4	16	0.25	29	34	0.853	9	32	41	23	10	1	16	31	117	15939	 15-28 
37	90	0.411	5	22	0.227	20	26	0.769	20	35	55	15	3	5	10	36	99	16663	 15-29 
38	79	0.481	5	21	0.238	8	8	1	13	21	34	20	5	2	15	12	89	15195	 15-30 
38	75	0.507	7	21	0.333	20	23	0.87	10	29	39	20	4	6	14	26	103	19614	 15-31 
34	83	0.41	5	14	0.357	20	25	0.8	8	35	43	15	8	4	9	26	93	18581	 15-32 
36	69	0.522	2	8	0.25	25	34	0.735	10	43	53	18	7	3	22	26	99	15178	 16-32 
32	81	0.395	4	12	0.333	41	51	0.804	15	26	41	15	10	4	10	23	109	17317	 17-32 
31	87	0.356	5	15	0.333	22	24	0.917	15	32	47	17	3	5	10	15	89	18624	 17-33 
29	82	0.354	2	11	0.182	24	28	0.857	17	32	49	17	9	3	18	19	84	18173	 17-34 
34	74	0.459	8	26	0.308	23	33	0.697	9	27	36	18	4	6	14	18	99	14245	 17-35 
40	85	0.471	10	23	0.435	16	19	0.842	11	31	42	16	7	1	15	18	106	19812	 18-35 
33	79	0.418	6	17	0.353	20	28	0.714	15	34	49	13	4	3	21	19	92	17317	 18-36 
38	73	0.521	5	9	0.556	24	28	0.857	3	35	38	18	6	3	17	27	105	17317	 19-36 
37	78	0.474	5	13	0.385	30	36	0.833	10	35	45	18	12	10	21	21	109	16263	 20-36 
36	90	0.4	5	18	0.278	26	31	0.839	12	25	37	17	13	1	12	27	103	16057	 20-37 
47	93	0.505	5	15	0.333	23	32	0.719	15	29	44	29	11	3	11	16	122	18997	 20-38 
37	82	0.451	7	22	0.318	16	21	0.762	11	36	47	22	4	7	19	28	97	17085	 20-39 
32	68	0.471	1	7	0.143	31	41	0.756	16	31	47	11	4	3	18	25	96	16225	 21-39 
43	83	0.518	4	14	0.286	26	32	0.813	12	34	46	21	7	3	9	23	116	11079	 22-39 
30	72	0.417	5	19	0.263	22	37	0.595	9	30	39	14	9	2	17	23	87	18188	 22-40 
36	81	0.444	5	23	0.217	12	21	0.571	20	33	53	11	3	4	24	18	89	17732	 22-41 
34	84	0.405	3	15	0.2	18	30	0.6	13	37	50	18	6	7	16	19	89	15234	 22-42 
34	74	0.459	7	18	0.389	40	50	0.8	12	36	48	21	12	1	21	25	115	11109	 23-42 
31	85	0.365	2	14	0.143	23	37	0.622	19	36	55	12	6	6	16	22	87	22012	 23-43 
41	85	0.482	6	19	0.316	14	19	0.737	11	37	48	17	5	4	16	25	102	13171	 23-44 
40	87	0.46	6	18	0.333	31	40	0.775	16	41	57	18	8	2	20	29	117	16084	 24-44 
32	80	0.4	4	14	0.286	11	18	0.611	7	41	48	17	3	9	15	22	79	17317	 24-45 
44	86	0.512	7	20	0.35	29	36	0.806	13	31	44	19	5	3	10	23	124	16341	 25-45 
33	69	0.478	6	17	0.353	27	35	0.771	8	24	32	19	7	2	10	18	99	15594	 25-46 
31	85	0.365	9	18	0.5	10	16	0.625	17	32	49	17	6	1	16	22	81	18203	 25-47 
42	81	0.519	3	10	0.3	13	19	0.684	14	33	47	17	10	2	18	29	100	20210	 25-48 
