fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
40	76	0.526	11	20	0.55	10	16	0.625	4	36	40	25	3	6	15	18	101	18581	 01-00 
38	94	0.404	5	21	0.238	10	14	0.714	12	38	50	20	7	0	12	18	91	18997	 02-00 
47	94	0.5	6	12	0.5	5	8	0.625	12	23	35	24	6	2	12	25	105	20028	 02-01 
40	86	0.465	4	16	0.25	18	20	0.9	8	31	39	27	14	9	16	22	102	15721	 03-01 
41	85	0.482	6	16	0.375	11	15	0.733	6	33	39	25	5	7	14	17	99	17870	 04-01 
31	79	0.392	5	19	0.263	9	18	0.5	11	31	42	19	9	3	12	18	76	18581	 05-01 
41	76	0.539	12	28	0.429	26	30	0.867	9	42	51	22	5	4	13	19	120	19812	 06-01 
44	89	0.494	13	28	0.464	8	11	0.727	11	39	50	29	9	2	12	15	109	12424	 07-01 
39	77	0.506	8	22	0.364	6	8	0.75	5	42	47	28	6	4	17	14	92	18581	 08-01 
35	76	0.461	4	15	0.267	17	22	0.773	7	36	43	19	8	5	17	15	91	17530	 09-01 
39	81	0.481	8	21	0.381	18	24	0.75	7	34	41	27	12	6	11	14	104	18581	 10-01 
42	79	0.532	7	17	0.412	11	16	0.688	11	30	41	25	8	3	15	18	102	17109	 11-01 
46	80	0.575	16	24	0.667	18	23	0.783	6	31	37	30	9	5	15	17	126	18581	 12-01 
44	81	0.543	10	25	0.4	14	19	0.737	7	38	45	30	12	7	19	18	112	18323	 13-01 
36	92	0.391	7	27	0.259	9	14	0.643	12	33	45	19	11	3	12	16	88	18203	 13-02 
42	76	0.553	8	17	0.471	17	17	1	7	36	43	24	10	4	19	12	109	15159	 14-02 
44	91	0.484	9	26	0.346	9	13	0.692	4	29	33	27	8	9	15	19	106	18581	 14-03 
42	78	0.538	6	18	0.333	12	17	0.706	9	39	48	27	6	8	17	10	102	17318	 15-03 
41	91	0.451	13	26	0.5	5	6	0.833	10	24	34	24	6	1	11	21	100	18581	 15-04 
45	82	0.549	13	23	0.565	13	16	0.813	8	28	36	30	8	3	14	18	116	17702	 16-04 
46	88	0.523	4	17	0.235	13	17	0.765	17	35	52	25	8	2	15	21	109	11087	 17-04 
48	87	0.552	10	22	0.455	11	13	0.846	7	35	42	32	8	7	13	18	117	18581	 18-04 
41	88	0.466	8	20	0.4	10	12	0.833	11	44	55	24	6	1	10	15	100	19330	 19-04 
37	76	0.487	6	18	0.333	12	21	0.571	9	27	36	20	8	3	22	27	92	19253	 19-05 
41	87	0.471	7	18	0.389	19	24	0.792	14	32	46	23	10	4	18	17	108	13661	 20-05 
40	89	0.449	11	27	0.407	13	19	0.684	9	30	39	21	10	2	19	11	104	19596	 21-05 
35	82	0.427	9	19	0.474	21	26	0.808	7	30	37	25	7	4	11	18	100	18581	 21-06 
41	91	0.451	9	23	0.391	21	27	0.778	16	34	50	27	7	7	13	22	112	18581	 22-06 
37	91	0.407	5	20	0.25	19	23	0.826	14	32	46	18	6	9	9	13	98	18581	 22-07 
37	75	0.493	7	16	0.438	35	42	0.833	8	38	46	22	9	6	18	25	116	20305	 23-07 
44	94	0.468	8	24	0.333	16	19	0.842	10	34	44	29	5	4	4	17	112	18581	 24-07 
40	78	0.513	9	20	0.45	24	28	0.857	14	33	47	27	8	6	15	17	113	17409	 25-07 
37	77	0.481	14	32	0.438	13	19	0.684	9	25	34	29	5	4	12	16	101	18581	 25-08 
50	90	0.556	4	18	0.222	12	16	0.75	11	31	42	34	5	4	12	20	116	18581	 26-08 
43	83	0.518	7	24	0.292	17	25	0.68	9	35	44	24	9	5	17	16	110	15916	 27-08 
40	76	0.526	9	20	0.45	23	26	0.885	12	43	55	25	6	3	16	10	112	18581	 28-08 
42	74	0.568	9	13	0.692	11	14	0.786	7	39	46	31	6	10	20	19	104	18098	 29-08 
35	67	0.522	5	12	0.417	26	31	0.839	3	38	41	19	6	7	13	19	101	15552	 30-08 
43	80	0.538	7	16	0.438	16	18	0.889	3	31	34	29	6	6	11	18	109	17917	 31-08 
38	84	0.452	8	20	0.4	16	20	0.8	7	34	41	21	7	3	12	17	100	18581	 31-09 
43	76	0.566	11	18	0.611	13	21	0.619	7	48	55	28	6	8	15	16	110	18096	 32-09 
40	75	0.533	10	22	0.455	15	22	0.682	8	22	30	25	10	3	17	17	105	18581	 32-10 
41	84	0.488	11	18	0.611	12	17	0.706	15	39	54	26	7	6	22	21	105	17601	 33-10 
38	76	0.5	6	22	0.273	19	23	0.826	6	22	28	24	8	4	12	17	101	19683	 33-11 
35	82	0.427	6	23	0.261	14	21	0.667	13	26	39	23	6	8	11	31	90	18314	 33-12 
33	71	0.465	5	13	0.385	15	16	0.938	6	25	31	16	5	2	19	23	86	18581	 33-13 
36	75	0.48	6	22	0.273	17	26	0.654	7	35	42	23	4	7	13	19	95	18581	 34-13 
38	81	0.469	5	18	0.278	21	25	0.84	5	29	34	20	9	12	7	16	102	17086	 35-13 
48	98	0.49	9	28	0.321	20	25	0.8	11	42	53	30	8	9	20	27	125	15791	 36-13 
29	73	0.397	7	21	0.333	24	29	0.828	8	30	38	14	8	7	17	12	89	17732	 36-14 
36	77	0.468	8	21	0.381	24	28	0.857	7	36	43	24	7	6	13	16	104	19084	 37-14 
43	82	0.524	5	17	0.294	9	11	0.818	8	30	38	27	2	3	19	18	100	13628	 37-15 
41	82	0.5	9	19	0.474	13	14	0.929	6	34	40	24	9	2	9	19	104	17922	 38-15 
44	88	0.5	9	20	0.45	16	21	0.762	12	36	48	26	5	4	17	28	113	19257	 39-15 
43	88	0.489	9	24	0.375	16	21	0.762	9	31	40	16	9	5	14	20	111	20057	 40-15 
29	83	0.349	2	21	0.095	25	27	0.926	15	32	47	12	5	0	18	17	85	18422	 40-16 
44	82	0.537	9	19	0.474	23	25	0.92	9	28	37	34	10	7	18	16	120	18581	 41-16 
34	73	0.466	9	20	0.45	15	15	1	4	40	44	26	4	8	19	15	92	18581	 42-16 
39	84	0.464	10	27	0.37	24	28	0.857	11	35	46	28	5	6	13	14	112	18581	 43-16 
43	90	0.478	14	33	0.424	22	24	0.917	7	35	42	39	12	10	11	18	122	17966	 44-16 
