fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
49	88	0.557	8	22	0.364	15	23	0.652	9	26	35	28	11	5	12	25	121	18624	 01-00 
37	98	0.378	1	25	0.04	15	18	0.833	14	30	44	20	10	8	10	26	90	18309	 01-01 
45	102	0.441	11	31	0.355	12	16	0.75	22	27	49	29	9	6	17	21	113	19948	 01-02 
40	78	0.513	10	26	0.385	17	18	0.944	17	38	55	22	5	3	27	25	107	16249	 01-03 
39	85	0.459	9	27	0.333	14	16	0.875	9	29	38	26	6	3	12	19	101	17122	 02-03 
42	81	0.519	7	19	0.368	15	20	0.75	7	38	45	25	6	3	12	17	106	22104	 03-03 
37	83	0.446	9	33	0.273	11	13	0.846	7	28	35	28	5	3	8	20	94	17043	 03-04 
48	88	0.545	6	20	0.3	19	23	0.826	8	31	39	32	7	1	14	26	121	18624	 03-05 
45	87	0.517	4	10	0.4	20	31	0.645	11	33	44	28	10	4	18	19	114	16726	 03-06 
41	83	0.494	6	20	0.3	13	21	0.619	7	37	44	32	11	4	15	19	101	12701	 04-06 
38	88	0.432	9	27	0.333	15	21	0.714	9	29	38	22	7	7	12	14	100	17712	 04-07 
37	95	0.389	5	23	0.217	9	12	0.75	12	34	46	17	12	1	8	15	88	16692	 04-08 
37	92	0.402	6	22	0.273	22	29	0.759	12	30	42	20	7	2	13	30	102	18203	 04-09 
36	87	0.414	6	18	0.333	11	15	0.733	12	30	42	21	5	5	15	21	89	17121	 04-10 
41	84	0.488	12	23	0.522	11	13	0.846	9	33	42	33	10	3	21	20	105	12705	 04-11 
37	93	0.398	13	30	0.433	22	27	0.815	8	41	49	28	8	6	12	21	109	15870	 05-11 
46	90	0.511	8	20	0.4	13	22	0.591	10	44	54	29	6	2	16	19	113	18624	 06-11 
36	88	0.409	8	17	0.471	21	26	0.808	9	40	49	20	10	7	15	21	101	16716	 07-11 
47	102	0.461	9	22	0.409	29	32	0.906	14	32	46	27	17	4	17	30	132	14828	 07-12 
38	87	0.437	5	23	0.217	6	10	0.6	6	39	45	26	3	1	14	27	87	15276	 07-13 
37	85	0.435	7	22	0.318	14	18	0.778	12	29	41	28	3	3	17	18	95	17989	 07-14 
38	86	0.442	6	25	0.24	23	35	0.657	16	36	52	26	15	5	22	23	105	12903	 08-14 
44	80	0.55	7	19	0.368	14	18	0.778	7	35	42	25	9	8	14	16	109	16764	 09-14 
48	85	0.565	8	23	0.348	10	14	0.714	12	31	43	29	9	6	13	20	114	17042	 10-14 
33	83	0.398	6	23	0.261	12	15	0.8	14	28	42	22	6	4	15	18	84	19720	 10-15 
33	85	0.388	7	23	0.304	22	29	0.759	9	36	45	22	10	4	12	21	95	17489	 10-16 
45	87	0.517	9	24	0.375	8	11	0.727	5	32	37	32	8	3	14	23	107	18624	 10-17 
32	79	0.405	6	24	0.25	18	24	0.75	8	28	36	17	10	2	18	15	88	20356	 10-18 
44	94	0.468	5	21	0.238	13	15	0.867	9	40	49	32	9	7	11	23	106	18624	 11-18 
38	89	0.427	12	34	0.353	13	19	0.684	9	29	38	22	6	2	12	21	101	18624	 11-19 
45	100	0.45	5	17	0.294	9	11	0.818	10	35	45	26	9	6	20	28	104	21820	 11-20 
36	91	0.396	7	18	0.389	16	23	0.696	10	23	33	22	8	7	6	23	95	16720	 11-21 
35	88	0.398	5	18	0.278	14	17	0.824	11	30	41	22	8	2	6	26	89	16005	 12-21 
41	103	0.398	10	34	0.294	11	16	0.688	13	37	50	25	10	7	10	27	103	18165	 12-22 
39	83	0.47	6	18	0.333	12	20	0.6	9	34	43	23	7	3	18	21	96	19800	 12-23 
37	88	0.42	8	24	0.333	26	31	0.839	17	27	44	24	8	5	11	23	108	16905	 13-23 
34	83	0.41	11	33	0.333	12	14	0.857	13	27	40	22	5	2	16	23	91	16067	 13-24 
42	85	0.494	5	16	0.313	14	16	0.875	11	34	45	29	5	4	13	16	103	18624	 13-25 
33	84	0.393	12	29	0.414	15	21	0.714	12	31	43	24	6	2	13	14	93	19060	 13-26 
39	87	0.448	7	19	0.368	5	7	0.714	10	37	47	23	8	5	16	19	90	19567	 14-26 
37	75	0.493	9	21	0.429	17	27	0.63	8	33	41	20	8	6	14	24	100	16133	 15-26 
41	95	0.432	10	28	0.357	19	27	0.704	13	35	48	23	5	3	14	21	111	19596	 15-27 
35	74	0.473	8	19	0.421	21	23	0.913	5	32	37	18	8	3	14	15	99	18947	 16-27 
42	91	0.462	7	23	0.304	7	9	0.778	9	30	39	22	9	4	13	22	98	11434	 16-28 
32	90	0.356	7	24	0.292	16	23	0.696	14	34	48	14	8	5	11	23	87	17675	 16-29 
30	81	0.37	4	19	0.211	11	18	0.611	8	32	40	24	7	3	13	19	75	17366	 16-30 
42	77	0.545	6	24	0.25	18	23	0.783	11	28	39	23	6	0	15	11	108	19812	 17-30 
40	99	0.404	12	28	0.429	12	17	0.706	19	32	51	27	10	3	13	21	104	15126	 18-30 
39	86	0.453	10	27	0.37	19	25	0.76	11	42	53	27	8	4	10	24	107	18322	 19-30 
36	86	0.419	7	29	0.241	14	20	0.7	11	33	44	20	7	1	11	19	93	16470	 19-31 
30	93	0.323	10	31	0.323	19	20	0.95	16	40	56	21	7	4	10	23	89	16083	 20-31 
40	100	0.4	6	22	0.273	15	26	0.577	19	21	40	24	14	3	11	23	101	17317	 20-32 
42	98	0.429	8	33	0.242	19	27	0.704	13	35	48	27	9	5	16	31	111	18997	 20-33 
39	89	0.438	14	29	0.483	23	30	0.767	9	33	42	26	13	1	15	14	115	17076	 21-33 
42	83	0.506	14	31	0.452	17	20	0.85	8	38	46	29	6	1	13	26	115	16899	 22-33 
40	96	0.417	14	35	0.4	12	15	0.8	14	33	47	24	8	5	8	15	106	18624	 23-33 
40	109	0.367	8	31	0.258	13	17	0.765	21	39	60	21	4	3	8	17	101	18624	 23-34 
31	88	0.352	7	28	0.25	10	13	0.769	11	31	42	23	4	3	14	21	79	20562	 23-35 
33	88	0.375	8	27	0.296	11	20	0.55	12	27	39	21	5	3	3	20	85	16354	 24-35 
36	79	0.456	10	23	0.435	22	25	0.88	7	30	37	19	8	1	11	17	104	17274	 25-35 
35	89	0.393	15	34	0.441	13	16	0.813	18	30	48	24	9	3	14	23	98	17041	 25-36 
39	87	0.448	6	25	0.24	16	17	0.941	16	27	43	17	7	2	9	25	100	19600	 26-36 
37	85	0.435	8	27	0.296	13	17	0.765	12	24	36	28	11	5	16	16	95	17135	 27-36 
37	86	0.43	10	26	0.385	11	20	0.55	10	37	47	19	7	4	16	23	95	18624	 28-36 
35	83	0.422	8	28	0.286	15	21	0.714	9	38	47	28	7	4	11	18	93	18165	 29-36 
44	88	0.5	8	20	0.4	12	15	0.8	5	37	42	27	7	3	11	21	108	16553	 30-36 
44	84	0.524	13	34	0.382	17	28	0.607	11	28	39	32	10	5	20	28	118	18203	 30-37 
35	88	0.398	5	20	0.25	14	20	0.7	14	33	47	19	10	2	15	19	89	18581	 30-38 
38	105	0.362	8	27	0.296	13	17	0.765	18	41	59	24	7	5	13	23	97	18624	 30-39 
47	92	0.511	6	22	0.273	10	14	0.714	8	39	47	25	7	4	9	21	110	16814	 31-39 
