fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
31	73	0.425	12	29	0.414	34	50	0.68	14	33	47	22	7	3	13	30	108	18997	 01-00 
40	77	0.519	14	27	0.519	10	14	0.714	8	27	35	18	7	6	18	23	104	19911	 02-00 
32	76	0.421	12	34	0.353	28	40	0.7	10	39	49	20	9	8	17	24	104	18309	 03-00 
32	75	0.427	16	34	0.471	24	30	0.8	13	34	47	27	12	6	21	20	104	12896	 04-00 
35	68	0.515	17	37	0.459	21	27	0.778	9	29	38	22	8	5	16	26	108	19666	 05-00 
34	72	0.472	10	27	0.37	20	33	0.606	8	36	44	18	7	6	21	20	98	18311	 06-00 
30	86	0.349	10	42	0.238	17	21	0.81	16	30	46	13	14	0	22	17	87	18312	 06-01 
43	89	0.483	13	28	0.464	14	19	0.737	13	27	40	25	7	7	13	29	113	18996	 07-01 
29	78	0.372	7	34	0.206	23	37	0.622	13	34	47	16	17	11	21	25	88	18138	 08-01 
23	80	0.288	7	35	0.2	16	30	0.533	22	32	54	11	5	6	14	23	69	18203	 09-01 
34	78	0.436	8	34	0.235	17	21	0.81	10	25	35	24	6	4	21	19	93	17012	 09-02 
30	74	0.405	15	38	0.395	17	23	0.739	6	32	38	20	8	6	17	25	92	18245	 09-03 
30	82	0.366	15	46	0.326	20	23	0.87	14	33	47	17	8	0	17	23	95	18244	 10-03 
32	76	0.421	14	36	0.389	13	19	0.684	10	28	38	19	13	4	16	19	91	18133	 11-03 
42	94	0.447	12	35	0.343	6	15	0.4	13	28	41	26	13	5	4	25	102	18058	 12-03 
32	82	0.39	10	37	0.27	11	15	0.733	8	32	40	17	7	6	14	27	85	18226	 12-04 
44	87	0.506	15	38	0.395	14	16	0.875	13	31	44	26	7	5	13	24	117	16119	 13-04 
41	93	0.441	10	28	0.357	13	20	0.65	23	29	52	22	14	8	19	26	105	18151	 14-04 
38	78	0.487	12	32	0.375	26	31	0.839	7	35	42	19	3	3	22	28	114	12101	 15-04 
33	81	0.407	11	27	0.407	23	31	0.742	19	38	57	16	7	7	22	23	100	18060	 16-04 
37	90	0.411	9	35	0.257	10	15	0.667	12	32	44	15	9	2	15	17	93	19596	 16-05 
