fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
33	81	0.407	2	16	0.125	21	26	0.808	14	29	43	19	9	5	13	28	89	19441	 00-01 
28	65	0.431	6	21	0.286	28	34	0.824	8	39	47	23	5	2	22	27	90	19060	 00-02 
37	80	0.463	6	20	0.3	22	31	0.71	6	35	41	24	8	6	13	20	102	18203	 01-02 
32	82	0.39	8	23	0.348	13	21	0.619	15	29	44	14	3	3	17	17	85	17732	 01-03 
34	65	0.523	6	21	0.286	14	25	0.56	6	35	41	23	4	3	19	27	88	18877	 01-04 
37	79	0.468	12	25	0.48	3	11	0.273	10	34	44	16	3	1	17	18	89	18203	 01-05 
36	78	0.462	6	18	0.333	23	27	0.852	11	29	40	16	5	6	14	22	101	18203	 02-05 
29	87	0.333	6	20	0.3	14	19	0.737	13	33	46	15	6	5	15	22	78	12390	 02-06 
40	82	0.488	10	24	0.417	19	22	0.864	8	33	41	23	1	3	8	13	109	17043	 03-06 
38	96	0.396	12	36	0.333	1	6	0.167	10	32	42	23	9	7	14	23	89	18203	 03-07 
20	68	0.294	3	19	0.158	22	28	0.786	11	34	45	14	6	15	15	30	65	18203	 03-08 
30	84	0.357	8	23	0.348	13	19	0.684	12	32	44	17	8	6	13	22	81	17190	 03-09 
36	79	0.456	10	23	0.435	18	25	0.72	13	26	39	21	5	0	10	24	100	14140	 03-10 
38	85	0.447	4	20	0.2	12	19	0.632	13	23	36	18	9	9	13	25	92	18203	 03-11 
32	90	0.356	3	17	0.176	19	27	0.704	13	44	57	13	3	12	11	23	86	18203	 03-12 
40	83	0.482	12	26	0.462	5	10	0.5	12	33	45	21	9	7	16	26	97	18203	 04-12 
38	86	0.442	10	24	0.417	19	23	0.826	18	39	57	20	9	0	14	30	105	18203	 05-12 
37	84	0.44	7	24	0.292	23	27	0.852	9	36	45	16	7	6	17	32	104	13903	 05-13 
