fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
45	82	0.549	16	32	0.5	13	18	0.722	9	31	40	23	5	3	14	25	119	17523	 01-00 
35	87	0.402	2	18	0.111	22	26	0.846	12	38	50	15	2	5	7	21	94	15050	 02-00 
36	87	0.414	7	31	0.226	12	15	0.8	6	28	34	17	8	7	11	22	91	17721	 02-01 
41	91	0.451	6	18	0.333	24	31	0.774	13	39	52	28	6	7	13	29	112	18997	 03-01 
32	69	0.464	8	21	0.381	19	21	0.905	5	30	35	13	11	4	18	20	91	15377	 03-02 
42	98	0.429	10	31	0.323	18	25	0.72	9	33	42	19	7	7	12	33	112	15476	 03-03 
34	79	0.43	12	30	0.4	27	33	0.818	9	30	39	17	9	2	21	19	107	16046	 04-03 
39	81	0.481	8	24	0.333	26	29	0.897	12	32	44	20	10	2	20	22	112	15184	 05-03 
37	86	0.43	8	29	0.276	13	14	0.929	11	34	45	16	3	6	11	23	95	16291	 05-04 
38	99	0.384	11	30	0.367	20	23	0.87	16	27	43	26	9	3	10	30	107	19060	 05-05 
48	93	0.516	9	21	0.429	13	16	0.813	8	32	40	30	11	2	18	23	118	16726	 06-05 
37	75	0.493	4	15	0.267	10	13	0.769	5	36	41	21	10	4	17	22	88	10686	 07-05 
44	86	0.512	13	31	0.419	21	23	0.913	11	35	46	24	11	0	13	25	122	16789	 08-05 
38	85	0.447	12	31	0.387	18	20	0.9	13	38	51	17	10	4	12	19	106	16870	 09-05 
39	84	0.464	14	33	0.424	8	11	0.727	11	31	42	22	6	3	20	26	100	19800	 09-06 
45	88	0.511	13	25	0.52	17	21	0.81	13	28	41	27	9	8	16	22	120	16099	 10-06 
33	85	0.388	8	23	0.348	23	29	0.793	9	25	34	14	4	5	15	27	97	15509	 10-07 
34	85	0.4	7	26	0.269	15	18	0.833	11	32	43	22	5	3	19	18	90	15558	 10-08 
43	86	0.5	12	25	0.48	18	26	0.692	9	35	44	18	13	5	12	19	116	15059	 11-08 
45	80	0.563	13	26	0.5	15	17	0.882	7	34	41	27	5	3	13	25	118	20010	 12-08 
34	93	0.366	7	28	0.25	20	26	0.769	16	24	40	16	14	8	12	20	95	18060	 12-09 
44	91	0.484	16	37	0.432	16	20	0.8	7	36	43	32	9	3	16	28	120	19060	 12-10 
