fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
36	75	0.48	6	19	0.316	17	24	0.708	7	29	36	20	7	2	14	20	95	19744	 00-01 
39	80	0.488	7	13	0.538	20	26	0.769	6	31	37	22	10	0	12	25	105	18846	 01-01 
40	73	0.548	4	13	0.308	24	33	0.727	6	28	34	28	18	5	19	21	108	17992	 02-01 
39	80	0.488	8	18	0.444	12	19	0.632	10	31	41	26	8	4	12	25	98	19812	 03-01 
34	91	0.374	7	17	0.412	21	23	0.913	7	36	43	24	7	7	12	22	96	15268	 04-01 
30	83	0.361	3	19	0.158	21	32	0.656	16	34	50	19	7	5	13	29	84	19800	 04-02 
39	81	0.481	2	11	0.182	17	23	0.739	13	36	49	23	8	4	14	25	97	17302	 05-02 
40	83	0.482	3	11	0.273	24	33	0.727	11	35	46	27	10	6	11	22	107	14708	 06-02 
42	84	0.5	3	10	0.3	11	16	0.688	9	31	40	31	5	8	11	16	98	19110	 07-02 
37	84	0.44	10	22	0.455	18	21	0.857	9	33	42	25	8	3	13	27	102	16374	 07-03 
41	84	0.488	4	10	0.4	5	9	0.556	10	35	45	24	10	5	17	21	91	20356	 08-03 
43	93	0.462	8	18	0.444	17	22	0.773	20	33	53	27	7	6	14	24	111	14254	 09-03 
36	84	0.429	9	20	0.45	21	29	0.724	16	31	47	25	2	3	20	25	102	15440	 09-04 
33	71	0.465	5	13	0.385	16	22	0.727	7	19	26	24	5	5	18	28	87	20562	 09-05 
35	76	0.461	5	12	0.417	8	12	0.667	12	34	46	21	9	9	14	18	83	17581	 10-05 
39	72	0.542	10	19	0.526	19	24	0.792	7	35	42	29	7	3	12	23	107	15150	 11-05 
45	93	0.484	6	19	0.316	15	19	0.789	12	41	53	33	6	3	11	15	111	18490	 12-05 
45	85	0.529	7	20	0.35	22	27	0.815	14	38	52	35	12	11	15	20	119	19451	 13-05 
34	93	0.366	11	27	0.407	14	21	0.667	16	36	52	21	5	8	19	20	93	16716	 13-06 
49	94	0.521	7	16	0.438	28	34	0.824	11	38	49	32	10	3	23	26	133	14828	 14-06 
41	81	0.506	5	12	0.417	4	9	0.444	8	33	41	26	5	5	9	13	91	16081	 15-06 
39	80	0.488	9	16	0.563	17	21	0.81	9	28	37	28	10	6	14	25	104	17437	 16-06 
41	84	0.488	4	13	0.308	7	12	0.583	10	31	41	20	11	9	15	21	93	15220	 17-06 
43	86	0.5	10	17	0.588	13	18	0.722	10	36	46	29	7	8	10	25	109	15823	 18-06 
39	79	0.494	3	14	0.214	24	33	0.727	13	23	36	24	6	3	9	17	105	19600	 19-06 
34	83	0.41	3	14	0.214	21	29	0.724	15	27	42	11	11	4	11	23	92	18207	 19-07 
38	89	0.427	5	9	0.556	10	16	0.625	7	34	41	21	7	5	8	17	91	20356	 19-08 
44	86	0.512	7	16	0.438	7	10	0.7	13	32	45	25	4	3	10	20	102	19812	 20-08 
45	90	0.5	5	13	0.385	6	10	0.6	9	39	48	28	11	4	18	24	101	20356	 21-08 
35	73	0.479	8	18	0.444	26	28	0.929	6	29	35	21	11	4	18	21	104	18322	 22-08 
33	74	0.446	4	12	0.333	17	27	0.63	10	38	48	22	5	3	22	26	87	20397	 22-09 
39	84	0.464	11	21	0.524	13	15	0.867	8	31	39	27	3	1	15	19	102	18203	 22-10 
40	82	0.488	4	14	0.286	8	13	0.615	9	22	31	23	6	6	6	18	92	18581	 22-11 
38	79	0.481	2	10	0.2	14	17	0.824	11	29	40	23	10	7	10	15	92	16182	 23-11 
39	76	0.513	8	16	0.5	15	21	0.714	9	35	44	28	9	4	16	13	101	16902	 24-11 
41	86	0.477	8	15	0.533	12	19	0.632	12	36	48	27	9	7	13	18	102	20356	 25-11 
36	76	0.474	5	20	0.25	12	15	0.8	8	31	39	25	5	7	19	16	89	18057	 25-12 
37	75	0.493	6	12	0.5	21	24	0.875	8	40	48	20	4	7	15	14	101	18116	 26-12 
40	78	0.513	5	15	0.333	20	25	0.8	10	33	43	29	4	4	15	24	105	21498	 27-12 
31	73	0.425	4	17	0.235	14	16	0.875	8	29	37	23	6	5	19	26	80	17788	 27-13 
40	77	0.519	5	16	0.313	14	27	0.519	13	36	49	23	7	5	13	15	99	17732	 28-13 
45	81	0.556	7	13	0.538	14	18	0.778	13	40	53	26	8	5	22	22	111	19040	 29-13 
38	100	0.38	7	30	0.233	20	26	0.769	13	45	58	23	8	3	9	20	103	20356	 29-14 
40	82	0.488	5	15	0.333	11	14	0.786	2	39	41	24	8	3	12	19	96	19775	 29-15 
48	90	0.533	4	14	0.286	17	23	0.739	10	40	50	29	5	2	17	27	117	15410	 30-15 
38	78	0.487	4	16	0.25	18	27	0.667	9	42	51	19	8	2	16	18	98	18997	 31-15 
37	88	0.42	8	18	0.444	16	23	0.696	15	35	50	13	2	3	13	16	98	16209	 31-16 
37	79	0.468	10	24	0.417	32	41	0.78	12	28	40	26	8	6	22	24	116	20356	 31-17 
33	81	0.407	6	15	0.4	16	19	0.842	10	33	43	19	7	3	12	23	88	15816	 31-18 
34	77	0.442	4	16	0.25	24	30	0.8	5	36	41	19	7	2	12	24	96	18047	 31-19 
35	84	0.417	5	10	0.5	12	17	0.706	9	28	37	20	2	5	12	26	87	17019	 31-20 
44	87	0.506	9	20	0.45	17	23	0.739	16	35	51	31	9	3	14	24	114	20356	 32-20 
33	77	0.429	7	25	0.28	23	27	0.852	13	40	53	25	7	3	20	14	96	16031	 33-20 
39	85	0.459	5	21	0.238	10	16	0.625	15	35	50	25	7	6	16	15	93	19800	 33-21 
38	86	0.442	1	16	0.063	12	16	0.75	12	31	43	22	7	7	17	23	89	20356	 33-22 
37	85	0.435	6	17	0.353	9	14	0.643	11	32	43	28	4	2	12	22	89	18371	 33-23 
42	79	0.532	5	18	0.278	18	21	0.857	9	36	45	23	4	4	26	20	107	20356	 33-24 
33	87	0.379	4	18	0.222	7	8	0.875	10	33	43	21	5	3	19	27	77	19856	 33-25 
30	93	0.323	4	17	0.235	17	22	0.773	13	38	51	20	4	5	13	25	81	18089	 33-26 
37	78	0.474	7	20	0.35	18	25	0.72	12	31	43	21	14	2	12	16	99	20356	 34-26 
35	84	0.417	8	22	0.364	14	19	0.737	10	29	39	23	10	11	11	23	92	21468	 34-27 
38	82	0.463	7	23	0.304	16	18	0.889	10	33	43	24	6	4	15	21	99	20356	 35-27 
31	81	0.383	9	28	0.321	14	22	0.636	14	35	49	19	9	3	17	19	85	16216	 35-28 
44	85	0.518	2	14	0.143	5	5	1	8	41	49	21	10	4	13	19	95	15119	 36-28 
40	80	0.5	5	17	0.294	22	31	0.71	10	32	42	25	11	5	13	24	107	18186	 37-28 
43	81	0.531	13	26	0.5	14	17	0.824	9	32	41	28	8	6	13	25	113	20356	 38-28 
41	82	0.5	7	12	0.583	16	26	0.615	6	37	43	25	5	4	6	17	105	17324	 39-28 
33	63	0.524	6	11	0.545	16	23	0.696	6	35	41	16	4	3	21	21	88	19498	 40-28 
37	86	0.43	6	19	0.316	19	23	0.826	8	28	36	27	6	2	9	16	99	19218	 40-29 
35	87	0.402	3	17	0.176	13	18	0.722	16	28	44	21	7	3	16	18	86	17008	 40-30 
27	81	0.333	3	11	0.273	19	26	0.731	5	33	38	15	5	2	11	15	76	19596	 40-31 
33	75	0.44	5	14	0.357	30	38	0.789	6	40	46	13	6	4	10	23	101	18514	 40-32 
44	113	0.389	9	25	0.36	13	22	0.591	17	55	72	25	9	9	16	26	110	18441	 41-32 
29	75	0.387	4	15	0.267	29	37	0.784	11	32	43	17	14	5	17	22	91	20356	 41-33 
44	76	0.579	4	12	0.333	14	22	0.636	9	38	47	33	7	4	16	20	106	17501	 42-33 
43	93	0.462	7	16	0.438	8	12	0.667	12	36	48	32	8	8	11	17	101	19389	 43-33 
38	79	0.481	8	22	0.364	8	10	0.8	6	34	40	24	9	0	15	18	92	18119	 44-33 
47	72	0.653	8	15	0.533	17	23	0.739	6	39	45	35	4	8	14	21	119	12611	 45-33 
32	82	0.39	5	15	0.333	11	17	0.647	17	33	50	23	3	4	17	21	80	17732	 45-34 
39	85	0.459	9	21	0.429	21	27	0.778	14	37	51	22	8	6	19	19	108	19041	 46-34 
37	104	0.356	7	24	0.292	14	17	0.824	13	46	59	22	8	2	11	22	95	18165	 46-35 
42	97	0.433	8	22	0.364	16	21	0.762	15	35	50	26	8	5	13	13	108	20562	 46-36 
