fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
37	82	0.451	8	27	0.296	12	15	0.8	7	33	40	22	9	4	15	25	94	19187	 00-01 
42	83	0.506	10	24	0.417	18	26	0.692	7	32	39	26	11	4	15	18	112	19812	 01-01 
36	83	0.434	8	23	0.348	17	22	0.773	8	37	45	23	9	4	15	17	97	17024	 02-01 
37	88	0.42	7	29	0.241	13	14	0.929	9	39	48	22	9	6	11	16	94	18691	 03-01 
37	90	0.411	7	21	0.333	17	22	0.773	16	35	51	25	10	1	15	14	98	19600	 04-01 
37	76	0.487	8	22	0.364	19	24	0.792	6	28	34	27	15	10	13	17	101	14044	 05-01 
41	77	0.532	9	21	0.429	30	35	0.857	6	35	41	30	10	6	15	21	121	16983	 06-01 
43	92	0.467	13	33	0.394	15	15	1	10	29	39	37	12	4	14	15	114	18047	 07-01 
44	86	0.512	13	31	0.419	6	7	0.857	4	23	27	30	13	6	17	19	107	12016	 07-02 
42	86	0.488	10	26	0.385	12	16	0.75	8	36	44	26	10	7	12	16	106	15597	 08-02 
36	76	0.474	6	20	0.3	15	20	0.75	5	30	35	26	3	2	16	14	93	17138	 08-03 
37	76	0.487	8	22	0.364	14	17	0.824	8	25	33	26	9	5	15	16	96	14436	 08-04 
33	76	0.434	12	29	0.414	10	14	0.714	8	36	44	22	7	7	20	17	88	12241	 08-05 
38	89	0.427	9	30	0.3	18	24	0.75	12	33	45	23	9	6	11	15	103	13008	 09-05 
32	86	0.372	11	28	0.393	22	25	0.88	12	26	38	22	10	4	12	20	97	20562	 09-06 
45	80	0.563	12	24	0.5	19	22	0.864	6	37	43	33	8	7	20	25	121	18968	 10-06 
31	82	0.378	8	31	0.258	25	35	0.714	15	38	53	14	10	7	14	20	95	14289	 10-07 
35	75	0.467	14	39	0.359	32	36	0.889	6	34	40	25	4	3	10	21	116	17684	 11-07 
37	87	0.425	6	26	0.231	8	13	0.615	12	31	43	28	9	5	18	17	88	18418	 11-08 
39	90	0.433	10	28	0.357	18	20	0.9	14	37	51	23	9	8	12	15	106	17768	 12-08 
33	90	0.367	8	27	0.296	12	16	0.75	13	30	43	22	8	7	12	20	86	12559	 12-09 
37	74	0.5	10	26	0.385	16	20	0.8	9	34	43	24	11	9	17	11	100	19051	 13-09 
39	81	0.481	6	20	0.3	14	18	0.778	6	41	47	26	7	7	14	19	98	19936	 14-09 
35	78	0.449	10	28	0.357	14	23	0.609	5	29	34	21	9	7	9	19	94	18203	 14-10 
30	80	0.375	5	24	0.208	13	16	0.813	7	26	33	21	15	3	17	15	78	17752	 14-11 
33	84	0.393	8	33	0.242	14	15	0.933	7	30	37	25	7	4	14	21	88	15039	 14-12 
48	78	0.615	10	21	0.476	21	24	0.875	2	23	25	32	11	7	12	21	127	14827	 15-12 
41	88	0.466	4	20	0.2	23	29	0.793	9	33	42	23	11	4	12	28	109	18624	 16-12 
39	78	0.5	11	22	0.5	14	20	0.7	8	33	41	25	6	7	19	21	103	16982	 17-12 
37	77	0.481	9	29	0.31	23	28	0.821	2	29	31	21	8	1	10	17	106	18373	 18-12 
43	89	0.483	6	20	0.3	15	20	0.75	10	32	42	25	8	4	13	25	107	17575	 19-12 
47	88	0.534	8	25	0.32	15	18	0.833	10	27	37	33	13	4	9	17	117	19015	 20-12 
31	74	0.419	6	25	0.24	19	25	0.76	8	36	44	16	9	6	20	16	87	18165	 20-13 
43	99	0.434	14	41	0.341	21	25	0.84	17	28	45	27	10	7	12	24	121	18211	 21-13 
37	84	0.44	8	26	0.308	15	20	0.75	8	24	32	26	11	5	15	14	97	19812	 21-14 
37	87	0.425	15	39	0.385	12	19	0.632	14	27	41	22	3	4	13	24	101	15082	 21-15 
49	92	0.533	13	32	0.406	15	19	0.789	14	34	48	36	18	6	16	23	126	12611	 22-15 
49	94	0.521	10	24	0.417	12	15	0.8	8	32	40	33	15	13	15	22	120	19010	 23-15 
30	81	0.37	7	25	0.28	17	21	0.81	6	31	37	17	5	4	16	21	84	15334	 23-16 
43	100	0.43	9	30	0.3	6	6	1	7	36	43	29	5	9	17	25	101	15144	 23-17 
44	79	0.557	8	29	0.276	18	24	0.75	5	35	40	34	14	5	10	20	114	17052	 24-17 
41	80	0.513	9	19	0.474	7	10	0.7	4	43	47	31	9	6	17	20	98	17460	 25-17 
39	87	0.448	10	24	0.417	16	23	0.696	10	33	43	25	7	3	13	13	104	18783	 26-17 
35	84	0.417	8	33	0.242	10	15	0.667	7	35	42	21	15	9	19	19	88	17019	 26-18 
34	84	0.405	12	34	0.353	15	18	0.833	11	32	43	23	8	7	16	17	95	17034	 26-19 
43	86	0.5	9	27	0.333	24	26	0.923	10	32	42	28	11	3	14	24	119	10280	 27-19 
33	79	0.418	10	23	0.435	7	14	0.5	8	41	49	21	6	3	22	17	83	17664	 27-20 
33	83	0.398	7	28	0.25	19	21	0.905	5	27	32	20	9	4	14	22	92	15196	 27-21 
27	70	0.386	5	22	0.227	28	32	0.875	2	29	31	13	10	3	17	23	87	19937	 27-22 
42	80	0.525	14	35	0.4	14	19	0.737	5	45	50	29	2	6	15	25	112	15455	 28-22 
48	92	0.522	10	20	0.5	18	25	0.72	11	41	52	28	13	7	18	12	124	10429	 29-22 
39	76	0.513	10	27	0.37	14	20	0.7	3	29	32	29	10	5	15	16	102	17225	 30-22 
35	91	0.385	13	28	0.464	11	15	0.733	18	32	50	22	7	7	16	13	94	16021	 30-23 
43	92	0.467	12	29	0.414	12	20	0.6	8	39	47	31	9	4	14	20	110	13057	 30-24 
43	90	0.478	13	33	0.394	14	15	0.933	11	35	46	25	16	7	12	14	113	21709	 31-24 
41	87	0.471	16	36	0.444	13	13	1	8	34	42	27	7	4	21	23	111	19043	 31-25 
44	106	0.415	9	41	0.22	12	18	0.667	10	39	49	31	11	8	16	27	109	18653	 31-26 
36	86	0.419	10	34	0.294	10	16	0.625	8	39	47	23	7	7	17	17	92	19330	 31-27 
