fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
33	84	0.393	6	24	0.25	22	29	0.759	11	32	43	16	4	1	8	16	94	19724	 00-01 
36	88	0.409	12	30	0.4	10	13	0.769	13	41	54	23	7	6	18	20	94	17024	 00-02 
32	86	0.372	14	37	0.378	14	15	0.933	9	36	45	27	7	13	11	14	92	18691	 00-03 
47	91	0.516	14	23	0.609	22	23	0.957	12	40	52	26	6	4	9	11	130	15136	 01-03 
44	89	0.494	6	27	0.222	14	17	0.824	8	40	48	19	8	6	11	25	108	19635	 02-03 
34	73	0.466	6	19	0.316	20	31	0.645	6	27	33	15	7	0	15	18	94	18418	 02-04 
38	78	0.487	8	26	0.308	20	27	0.741	4	30	34	18	8	5	16	20	104	14722	 03-04 
35	84	0.417	8	23	0.348	17	28	0.607	7	26	33	21	11	5	5	9	95	16643	 04-04 
36	95	0.379	15	33	0.455	10	12	0.833	9	36	45	21	9	4	6	21	97	21749	 04-05 
41	83	0.494	9	31	0.29	15	19	0.789	7	30	37	29	6	9	11	16	106	15317	 05-05 
36	82	0.439	5	20	0.25	17	25	0.68	8	34	42	13	7	7	7	16	94	19812	 05-06 
39	80	0.488	11	25	0.44	27	36	0.75	9	40	49	27	5	8	15	16	116	14040	 06-06 
40	81	0.494	12	25	0.48	21	22	0.955	5	36	41	25	7	10	11	21	113	17926	 07-06 
49	98	0.5	9	29	0.31	20	26	0.769	8	40	48	24	10	7	19	19	127	14163	 08-06 
39	83	0.47	8	26	0.308	15	15	1	9	42	51	22	5	6	19	17	101	17064	 09-06 
33	80	0.413	5	25	0.2	19	25	0.76	7	31	38	20	7	7	11	25	90	19093	 09-07 
27	70	0.386	15	31	0.484	18	22	0.818	7	36	43	20	6	6	13	16	87	14224	 10-07 
35	94	0.372	9	31	0.29	20	30	0.667	13	28	41	19	10	7	8	13	99	19542	 10-08 
37	89	0.416	10	34	0.294	18	25	0.72	13	37	50	23	10	3	9	18	102	21770	 11-08 
36	84	0.429	8	26	0.308	24	35	0.686	14	43	57	21	5	5	14	20	104	15481	 12-08 
40	81	0.494	11	27	0.407	8	17	0.471	3	37	40	27	9	5	10	21	99	17404	 13-08 
39	78	0.5	18	37	0.486	27	30	0.9	7	34	41	23	5	5	13	24	123	17111	 14-08 
36	88	0.409	11	35	0.314	10	10	1	7	45	52	17	1	5	11	12	93	18490	 14-09 
36	79	0.456	14	34	0.412	12	15	0.8	7	26	33	23	12	3	16	19	98	16019	 14-10 
37	85	0.435	10	29	0.345	25	31	0.806	6	45	51	23	5	9	13	23	109	15817	 15-10 
39	93	0.419	10	33	0.303	13	16	0.813	18	33	51	23	8	4	17	20	101	16987	 15-11 
29	83	0.349	12	41	0.293	25	31	0.806	9	26	35	20	8	3	11	27	95	18236	 15-12 
29	81	0.358	8	28	0.286	23	32	0.719	12	32	44	19	6	6	16	18	89	19082	 15-13 
28	69	0.406	14	32	0.438	28	32	0.875	7	36	43	21	10	13	16	24	98	19091	 16-13 
43	89	0.483	6	25	0.24	16	22	0.727	7	39	46	28	7	6	10	16	108	19632	 17-13 
38	88	0.432	9	30	0.3	32	36	0.889	17	25	42	20	8	3	11	26	117	19145	 17-14 
34	85	0.4	10	32	0.313	16	18	0.889	14	29	43	15	7	7	10	16	94	19800	 17-15 
29	84	0.345	6	22	0.273	26	34	0.765	7	27	34	18	7	7	4	27	90	19387	 17-16 
38	86	0.442	7	21	0.333	18	19	0.947	8	33	41	15	7	1	11	12	101	19596	 17-17 
38	87	0.437	11	28	0.393	15	22	0.682	9	35	44	20	9	5	13	15	102	16910	 17-18 
31	84	0.369	7	23	0.304	14	19	0.737	11	36	47	14	4	3	15	16	83	19060	 17-19 
30	83	0.361	12	36	0.333	20	24	0.833	9	31	40	24	6	4	12	18	92	11343	 17-20 
36	82	0.439	13	39	0.333	22	26	0.846	11	43	54	26	8	9	16	24	107	15334	 18-20 
42	86	0.488	14	35	0.4	9	12	0.75	3	35	38	21	1	1	11	17	107	16876	 18-21 
33	87	0.379	9	36	0.25	17	22	0.773	13	22	35	27	8	2	5	20	92	18288	 18-22 
41	88	0.466	14	27	0.519	28	32	0.875	7	43	50	20	6	4	16	18	124	17459	 19-22 
34	81	0.42	9	27	0.333	18	21	0.857	6	28	34	17	8	2	16	21	95	18203	 19-23 
45	101	0.446	10	27	0.37	20	22	0.909	14	34	48	23	10	4	9	19	120	18083	 20-23 
28	82	0.341	9	31	0.29	32	37	0.865	11	38	49	17	5	3	11	20	97	17768	 21-23 
44	110	0.4	20	44	0.455	21	26	0.808	16	30	46	27	11	2	9	31	129	16991	 22-23 
25	68	0.368	6	25	0.24	17	21	0.81	5	30	35	10	6	0	18	15	73	16683	 22-24 
31	80	0.388	10	29	0.345	19	28	0.679	14	33	47	17	9	4	16	12	91	19393	 22-25 
36	96	0.375	13	36	0.361	16	26	0.615	14	45	59	28	8	8	10	16	101	18997	 23-25 
39	79	0.494	9	27	0.333	19	23	0.826	11	38	49	26	4	3	14	14	106	19189	 24-25 
36	81	0.444	10	26	0.385	13	15	0.867	3	38	41	23	5	10	12	16	95	19147	 24-26 
38	81	0.469	12	27	0.444	20	25	0.8	7	36	43	23	7	5	15	21	108	18450	 25-26 
35	80	0.438	14	36	0.389	24	31	0.774	10	46	56	20	6	8	13	19	108	15886	 26-26 
45	87	0.517	12	28	0.429	15	19	0.789	10	35	45	24	6	8	13	13	117	15653	 27-26 
37	86	0.43	9	31	0.29	15	18	0.833	8	29	37	13	13	6	17	16	98	16370	 28-26 
40	79	0.506	10	27	0.37	14	15	0.933	6	35	41	23	7	1	15	21	104	16155	 29-26 
37	76	0.487	10	29	0.345	19	27	0.704	8	35	43	23	7	2	14	20	103	20562	 29-27 
36	83	0.434	11	28	0.393	13	19	0.684	6	32	38	23	8	7	14	21	96	18165	 30-27 
27	81	0.333	7	32	0.219	15	23	0.652	10	31	41	16	7	4	6	12	76	17156	 30-28 
45	93	0.484	13	27	0.481	23	27	0.852	15	43	58	27	8	6	12	21	126	16849	 31-28 
40	81	0.494	10	25	0.4	29	35	0.829	8	42	50	20	9	7	12	21	119	11143	 32-28 
38	79	0.481	13	31	0.419	19	23	0.826	7	34	41	20	4	9	11	19	108	19099	 33-28 
41	90	0.456	12	30	0.4	14	17	0.824	6	36	42	20	8	7	13	17	108	15912	 34-28 
38	82	0.463	15	35	0.429	31	38	0.816	4	39	43	21	6	3	5	18	122	16335	 35-28 
42	83	0.506	10	25	0.4	24	29	0.828	9	28	37	28	9	5	10	19	118	18189	 36-28 
48	88	0.545	15	31	0.484	14	16	0.875	10	34	44	28	6	5	11	25	125	19303	 37-28 
32	76	0.421	10	30	0.333	22	34	0.647	7	33	40	18	9	7	15	16	96	15686	 37-29 
40	100	0.4	11	37	0.297	16	21	0.762	15	44	59	23	3	4	8	12	107	16148	 38-29 
40	86	0.465	13	26	0.5	16	21	0.762	9	30	39	19	3	0	8	19	109	19848	 39-29 
35	83	0.422	9	32	0.281	14	20	0.7	8	30	38	22	6	13	11	18	93	19271	 39-30 
35	87	0.402	8	19	0.421	13	19	0.684	10	36	46	18	11	5	14	12	91	18260	 40-30 
39	82	0.476	10	28	0.357	17	21	0.81	3	33	36	21	7	5	8	21	105	15739	 41-30 
37	93	0.398	14	30	0.467	17	22	0.773	7	35	42	24	8	2	7	21	105	17209	 41-31 
41	74	0.554	16	29	0.552	17	21	0.81	5	30	35	30	6	8	8	11	115	15544	 42-31 
38	87	0.437	7	25	0.28	17	18	0.944	9	55	64	26	6	6	15	7	100	14486	 43-31 
36	84	0.429	7	27	0.259	21	27	0.778	8	47	55	23	9	6	11	14	100	19244	 44-31 
34	76	0.447	9	26	0.346	26	27	0.963	11	24	35	23	15	4	15	13	103	20562	 44-32 
32	88	0.364	11	35	0.314	15	21	0.714	11	32	43	20	5	6	6	22	90	19800	 44-33 
42	90	0.467	12	26	0.462	15	17	0.882	11	27	38	19	9	3	8	14	111	19812	 45-33 
41	83	0.494	14	37	0.378	17	20	0.85	10	32	42	26	11	12	12	17	113	18337	 46-33 
28	81	0.346	12	33	0.364	30	35	0.857	9	37	46	21	7	2	15	25	98	19187	 46-34 
41	81	0.506	14	32	0.438	18	22	0.818	7	37	44	23	10	7	14	20	114	18624	 47-34 
47	86	0.547	11	29	0.379	12	19	0.632	5	41	46	32	6	5	9	14	117	17372	 48-34 
