fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
40	85	0.471	10	21	0.476	21	31	0.677	6	42	48	24	7	3	8	25	111	18055	 01-00 
35	97	0.361	6	30	0.2	12	15	0.8	14	41	55	22	4	2	12	26	88	19218	 01-01 
40	87	0.46	11	30	0.367	12	16	0.75	8	41	49	28	5	4	11	22	103	18997	 02-01 
33	86	0.384	7	23	0.304	18	25	0.72	14	30	44	20	5	3	15	25	91	20034	 02-02 
32	82	0.39	6	29	0.207	24	27	0.889	8	36	44	17	8	2	13	13	94	19635	 02-03 
40	84	0.476	9	24	0.375	18	22	0.818	6	36	42	20	5	2	9	17	107	20454	 03-03 
39	88	0.443	5	20	0.25	22	26	0.846	8	36	44	20	4	4	13	17	105	17128	 03-04 
42	76	0.553	11	24	0.458	23	30	0.767	8	36	44	23	8	3	13	29	118	19805	 04-04 
30	82	0.366	7	27	0.259	23	29	0.793	7	41	48	19	9	4	15	15	90	20260	 05-04 
43	89	0.483	8	28	0.286	16	21	0.762	8	37	45	24	6	7	11	21	110	18231	 06-04 
30	76	0.395	7	24	0.292	25	30	0.833	6	33	39	16	12	2	19	23	92	11555	 07-04 
37	72	0.514	7	20	0.35	25	35	0.714	7	32	39	22	7	7	17	22	106	17262	 08-04 
39	83	0.47	8	28	0.286	16	17	0.941	8	26	34	24	10	5	8	19	102	20028	 09-04 
44	83	0.53	10	19	0.526	16	28	0.571	9	27	36	26	8	4	17	17	114	18203	 09-05 
30	77	0.39	11	34	0.324	25	28	0.893	4	44	48	22	4	6	19	25	96	17381	 09-06 
34	83	0.41	6	22	0.273	9	12	0.75	9	37	46	21	7	1	13	21	83	18418	 09-07 
33	77	0.429	7	26	0.269	19	27	0.704	10	32	42	18	13	3	13	14	92	20339	 10-07 
36	84	0.429	9	37	0.243	17	22	0.773	9	31	40	22	8	3	16	30	98	16937	 10-08 
43	94	0.457	9	29	0.31	20	24	0.833	12	37	49	23	7	5	12	17	115	19393	 11-08 
37	81	0.457	8	29	0.276	14	20	0.7	11	31	42	23	8	5	17	17	96	20339	 11-09 
38	76	0.5	16	31	0.516	24	27	0.889	6	44	50	25	5	4	16	17	116	16394	 12-09 
37	82	0.451	13	31	0.419	17	20	0.85	7	36	43	21	7	3	9	14	104	19812	 13-09 
36	100	0.36	7	31	0.226	16	19	0.842	20	31	51	18	7	3	9	15	95	19936	 13-10 
38	89	0.427	14	33	0.424	21	24	0.875	11	35	46	23	5	3	12	12	111	20088	 13-11 
38	77	0.494	12	32	0.375	16	21	0.762	5	36	41	17	12	1	16	22	104	19822	 14-11 
33	90	0.367	8	33	0.242	7	10	0.7	11	36	47	16	2	3	11	16	81	14824	 14-12 
34	78	0.436	10	29	0.345	19	21	0.905	11	39	50	27	7	4	19	17	97	20199	 15-12 
40	92	0.435	11	29	0.379	8	11	0.727	4	30	34	23	8	7	6	25	99	19800	 15-13 
45	82	0.549	16	34	0.471	13	15	0.867	5	29	34	27	3	4	17	18	119	15994	 16-13 
40	87	0.46	16	33	0.485	22	28	0.786	16	26	42	24	10	1	11	25	118	20392	 17-13 
38	84	0.452	10	22	0.455	17	26	0.654	6	28	34	25	9	2	4	15	103	20300	 18-13 
42	82	0.512	14	27	0.519	16	20	0.8	12	40	52	20	6	4	15	19	114	20494	 19-13 
