fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
35	90	0.389	9	34	0.265	32	35	0.914	12	36	48	18	2	4	13	29	111	18997	 00-01 
41	89	0.461	11	34	0.324	21	27	0.778	8	29	37	20	7	9	19	24	114	17391	 00-02 
31	85	0.365	10	34	0.294	21	28	0.75	8	34	42	18	8	9	12	20	93	18997	 00-03 
36	86	0.419	6	26	0.231	31	38	0.816	11	29	40	18	9	4	10	28	109	18997	 00-04 
33	78	0.423	7	23	0.304	31	40	0.775	5	35	40	14	9	6	15	22	104	17732	 01-04 
36	94	0.383	9	27	0.333	14	23	0.609	12	34	46	19	7	3	9	20	95	19812	 01-05 
34	77	0.442	11	22	0.5	9	12	0.75	5	31	36	21	7	7	17	21	88	19825	 01-06 
39	79	0.494	7	22	0.318	14	18	0.778	7	36	43	25	5	7	13	11	99	18846	 01-07 
29	88	0.33	9	27	0.333	15	18	0.833	15	42	57	18	10	7	20	27	82	20260	 01-08 
31	75	0.413	6	19	0.316	29	39	0.744	7	39	46	24	5	5	16	19	97	18997	 02-08 
37	77	0.481	9	20	0.45	18	20	0.9	7	30	37	12	5	2	16	23	101	18055	 02-09 
35	77	0.455	8	25	0.32	13	17	0.765	9	32	41	21	8	4	15	18	91	18997	 02-10 
32	88	0.364	6	18	0.333	23	27	0.852	15	36	51	17	2	6	10	12	93	18997	 02-11 
31	83	0.373	3	21	0.143	12	16	0.75	8	37	45	16	8	2	14	15	77	19596	 02-12 
36	82	0.439	7	23	0.304	17	23	0.739	6	27	33	20	12	2	9	19	96	20019	 02-13 
38	99	0.384	11	33	0.333	16	22	0.727	15	39	54	17	6	5	10	27	103	18997	 02-14 
33	89	0.371	8	34	0.235	17	24	0.708	12	34	46	15	4	2	11	19	91	20510	 02-15 
41	96	0.427	8	25	0.32	18	20	0.9	16	29	45	17	18	3	16	22	108	20356	 03-15 
32	86	0.372	13	27	0.481	10	13	0.769	15	27	42	19	10	7	16	14	87	19051	 03-16 
32	80	0.4	5	18	0.278	22	29	0.759	8	31	39	12	6	4	15	21	91	20228	 03-17 
34	83	0.41	7	19	0.368	18	20	0.9	14	33	47	14	4	4	15	23	93	20163	 03-18 
48	93	0.516	9	23	0.391	17	27	0.63	9	31	40	19	9	1	9	23	122	18076	 03-19 
36	88	0.409	9	25	0.36	6	10	0.6	9	27	36	20	7	5	15	21	87	18418	 03-20 
35	88	0.398	10	32	0.313	17	20	0.85	11	29	40	21	11	4	19	23	97	18456	 03-21 
41	89	0.461	10	27	0.37	21	25	0.84	18	34	52	26	7	3	14	18	113	18997	 04-21 
36	84	0.429	5	24	0.208	10	18	0.556	13	33	46	22	5	5	14	27	87	18997	 04-22 
30	86	0.349	8	28	0.286	10	17	0.588	8	24	32	14	10	2	14	20	78	18203	 04-23 
40	84	0.476	7	26	0.269	24	32	0.75	11	29	40	17	6	6	11	21	111	19124	 05-23 
32	89	0.36	7	25	0.28	14	22	0.636	12	23	35	19	6	5	10	18	85	18997	 05-24 
32	77	0.416	7	23	0.304	13	25	0.52	6	34	40	17	10	2	15	13	84	18997	 05-25 
32	84	0.381	8	29	0.276	24	32	0.75	18	28	46	16	6	5	13	18	96	18119	 05-26 
35	85	0.412	9	29	0.31	19	23	0.826	6	35	41	24	7	4	11	17	98	19632	 05-27 
43	94	0.457	9	19	0.474	17	23	0.739	13	39	52	22	5	2	10	22	112	18624	 06-27 
33	87	0.379	5	16	0.313	22	29	0.759	13	37	50	17	11	6	10	17	93	18997	 07-27 
38	84	0.452	8	22	0.364	13	17	0.765	9	45	54	26	8	7	15	16	97	18997	 08-27 
29	91	0.319	5	21	0.238	25	30	0.833	15	37	52	15	7	4	12	16	88	18997	 08-28 
41	76	0.539	8	24	0.333	25	29	0.862	6	27	33	20	10	4	18	26	115	17386	 08-29 
40	84	0.476	9	26	0.346	24	25	0.96	10	24	34	19	9	5	11	22	113	18997	 08-30 
29	89	0.326	3	21	0.143	13	15	0.867	16	25	41	15	9	4	11	22	74	18997	 08-31 
32	87	0.368	6	29	0.207	25	32	0.781	11	36	47	16	7	4	8	17	95	18997	 09-31 
40	90	0.444	4	23	0.174	14	24	0.583	16	31	47	17	13	3	21	19	98	19596	 09-32 
31	90	0.344	9	23	0.391	11	18	0.611	16	28	44	16	4	4	14	14	82	19911	 09-33 
37	82	0.451	6	19	0.316	15	19	0.789	3	33	36	25	8	7	14	16	95	18997	 09-34 
32	90	0.356	4	25	0.16	25	31	0.806	12	29	41	17	6	5	9	22	93	18997	 09-35 
38	84	0.452	6	16	0.375	13	18	0.722	12	33	45	19	3	5	11	12	95	18997	 09-36 
34	69	0.493	7	17	0.412	28	32	0.875	4	26	30	14	4	6	18	20	103	19728	 09-37 
30	74	0.405	7	25	0.28	23	28	0.821	8	39	47	15	4	7	12	25	90	18997	 09-38 
32	85	0.376	9	25	0.36	18	23	0.783	11	30	41	21	6	4	14	17	91	18997	 09-39 
34	78	0.436	5	13	0.385	20	25	0.8	11	37	48	19	6	4	17	21	93	19495	 09-40 
27	80	0.338	8	29	0.276	20	23	0.87	4	38	42	13	6	8	15	20	82	18997	 09-41 
40	80	0.5	12	26	0.462	27	35	0.771	7	24	31	23	9	2	9	24	119	18997	 10-41 
39	81	0.481	7	20	0.35	14	20	0.7	9	39	48	14	4	0	16	22	99	18420	 11-41 
34	86	0.395	10	30	0.333	24	27	0.889	13	33	46	19	5	3	8	22	102	18418	 11-42 
29	93	0.312	8	35	0.229	21	26	0.808	14	37	51	13	10	2	12	24	87	18165	 11-43 
38	86	0.442	13	28	0.464	22	27	0.815	11	33	44	16	5	3	11	19	111	20562	 11-44 
40	81	0.494	10	22	0.455	23	26	0.885	12	24	36	20	5	4	15	17	113	18997	 11-45 
43	93	0.462	7	21	0.333	22	33	0.667	17	27	44	13	5	4	7	20	115	23143	 11-46 
28	76	0.368	12	29	0.414	33	43	0.767	11	35	46	18	7	2	17	24	101	18717	 11-47 
39	88	0.443	17	39	0.436	24	33	0.727	15	30	45	16	5	3	7	21	119	18119	 11-48 
32	78	0.41	5	23	0.217	26	39	0.667	11	27	38	14	9	3	7	14	95	18997	 11-49 
41	83	0.494	11	26	0.423	14	21	0.667	8	38	46	22	5	4	13	22	107	18997	 12-49 
35	79	0.443	11	31	0.355	26	32	0.813	6	25	31	19	7	4	6	25	107	20096	 12-50 
29	85	0.341	5	27	0.185	14	20	0.7	17	29	46	19	5	1	10	16	77	18997	 12-51 
41	87	0.471	9	25	0.36	21	22	0.955	9	32	41	23	12	6	11	24	112	18997	 13-51 
40	81	0.494	9	27	0.333	18	23	0.783	10	35	45	21	7	2	15	22	107	18997	 14-51 
42	80	0.525	7	22	0.318	17	21	0.81	4	30	34	18	8	4	10	22	108	18997	 14-52 
34	85	0.4	3	16	0.188	16	21	0.762	10	35	45	14	6	2	9	20	87	18997	 14-53 
37	84	0.44	5	26	0.192	19	26	0.731	10	39	49	20	10	5	22	23	98	18997	 14-54 
31	86	0.36	6	23	0.261	22	26	0.846	12	38	50	21	4	6	12	21	90	18997	 14-55 
39	77	0.506	6	19	0.316	23	24	0.958	11	29	40	21	10	4	20	23	107	18997	 15-55 
39	93	0.419	7	27	0.259	22	26	0.846	14	27	41	13	6	6	10	24	107	18191	 15-56 
37	85	0.435	10	23	0.435	21	26	0.808	7	36	43	23	6	3	11	19	105	18997	 15-57 
33	87	0.379	7	28	0.25	15	17	0.882	12	30	42	15	12	0	18	26	88	18997	 15-58 
26	85	0.306	7	20	0.35	16	22	0.727	7	30	37	11	5	6	9	19	75	19911	 15-59 
37	102	0.363	6	20	0.3	22	29	0.759	19	30	49	14	9	5	9	21	102	18997	 16-59 
