fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
29	82	0.354	2	16	0.125	16	22	0.727	11	29	40	15	8	3	16	18	76	18119	 00-01 
41	82	0.5	7	16	0.438	23	29	0.793	12	30	42	26	12	5	14	25	112	18165	 01-01 
34	80	0.425	9	23	0.391	24	28	0.857	11	31	42	26	6	2	9	19	101	16013	 02-01 
26	96	0.271	3	23	0.13	14	20	0.7	11	33	44	21	8	7	11	24	69	19596	 02-02 
40	83	0.482	3	20	0.15	20	25	0.8	12	38	50	23	5	7	16	31	103	17317	 03-02 
37	77	0.481	7	20	0.35	15	21	0.714	7	29	36	20	4	5	8	14	96	19393	 03-03 
30	91	0.33	6	19	0.316	13	14	0.929	13	31	44	16	8	1	14	21	79	19456	 03-04 
35	80	0.438	2	11	0.182	20	29	0.69	10	30	40	21	11	3	14	28	92	19060	 03-05 
24	70	0.343	3	15	0.2	33	36	0.917	10	31	41	15	14	5	21	26	84	18119	 03-06 
36	86	0.419	6	16	0.375	23	27	0.852	14	21	35	22	10	0	8	21	101	16919	 04-06 
40	71	0.563	9	17	0.529	25	27	0.926	4	30	34	21	7	6	15	16	114	12086	 05-06 
37	84	0.44	12	17	0.706	36	39	0.923	12	22	34	23	11	4	10	22	122	17270	 06-06 
36	85	0.424	8	24	0.333	16	19	0.842	8	39	47	26	16	4	11	30	96	17555	 07-06 
32	74	0.432	1	9	0.111	17	17	1	7	28	35	19	13	2	16	23	82	18418	 07-07 
37	86	0.43	7	21	0.333	29	37	0.784	5	37	42	20	12	4	9	24	110	17381	 08-07 
39	80	0.488	3	16	0.188	21	23	0.913	9	32	41	21	8	3	17	23	102	18143	 09-07 
35	80	0.438	12	30	0.4	19	21	0.905	5	32	37	20	3	1	13	25	101	17684	 09-08 
34	81	0.42	4	13	0.308	20	27	0.741	15	34	49	19	11	7	26	18	92	15322	 10-08 
43	90	0.478	2	10	0.2	25	26	0.962	13	36	49	21	3	4	6	23	113	16020	 11-08 
30	80	0.375	2	16	0.125	21	25	0.84	9	28	37	19	6	6	11	17	83	17013	 11-09 
36	90	0.4	5	15	0.333	18	24	0.75	15	31	46	23	8	5	12	16	95	16022	 12-09 
33	81	0.407	3	14	0.214	19	22	0.864	11	22	33	14	6	4	15	17	88	16415	 12-10 
41	88	0.466	4	15	0.267	7	13	0.538	16	37	53	23	4	4	17	15	93	13411	 13-10 
32	80	0.4	7	20	0.35	28	37	0.757	11	29	40	19	8	5	12	24	99	17111	 13-11 
40	77	0.519	7	19	0.368	10	14	0.714	5	28	33	23	10	3	13	21	97	19813	 13-12 
