fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
38	83	0.458	5	20	0.25	31	37	0.838	6	33	39	24	3	4	8	26	112	18997	 01-00 
30	71	0.423	2	11	0.182	33	41	0.805	7	42	49	18	7	6	17	24	95	17660	 02-00 
34	79	0.43	3	13	0.231	30	39	0.769	8	33	41	22	10	4	15	22	101	18903	 02-01 
30	85	0.353	4	12	0.333	20	22	0.909	10	34	44	16	7	6	16	27	84	11794	 02-02 
39	96	0.406	7	16	0.438	17	27	0.63	14	44	58	26	8	7	15	23	102	21988	 03-02 
46	80	0.575	7	15	0.467	18	22	0.818	8	32	40	27	10	5	19	18	117	12016	 04-02 
36	80	0.45	9	19	0.474	14	19	0.737	10	38	48	25	6	4	22	21	95	14722	 04-03 
43	87	0.494	3	9	0.333	27	36	0.75	15	32	47	21	4	1	13	18	116	16130	 04-04 
42	83	0.506	7	20	0.35	12	13	0.923	8	31	39	16	5	0	15	19	103	16797	 04-05 
41	82	0.5	5	16	0.313	19	21	0.905	9	24	33	20	10	2	12	24	106	12086	 04-06 
36	97	0.371	4	21	0.19	27	35	0.771	15	39	54	14	12	5	8	26	103	19600	 05-06 
36	85	0.424	4	18	0.222	25	30	0.833	11	46	57	21	4	13	14	23	101	16048	 05-07 
33	77	0.429	3	13	0.231	17	25	0.68	6	34	40	17	7	4	17	19	86	13445	 05-08 
36	78	0.462	3	12	0.25	25	27	0.926	8	33	41	20	8	7	17	25	100	11382	 06-08 
34	82	0.415	9	21	0.429	22	29	0.759	7	38	45	22	9	4	11	23	99	14289	 07-08 
37	77	0.481	9	25	0.36	18	19	0.947	12	34	46	20	4	3	17	19	101	17317	 08-08 
37	82	0.451	8	16	0.5	17	21	0.81	7	32	39	21	7	3	13	27	99	19060	 08-09 
29	77	0.377	4	19	0.211	31	38	0.816	12	34	46	14	7	11	13	20	93	10694	 08-10 
38	83	0.458	5	15	0.333	22	26	0.846	13	32	45	24	3	4	14	24	103	16203	 08-11 
36	82	0.439	7	18	0.389	27	35	0.771	11	35	46	18	10	3	18	29	106	11467	 08-12 
46	93	0.495	7	19	0.368	24	31	0.774	14	33	47	30	4	4	14	20	123	18076	 09-12 
38	87	0.437	7	19	0.368	25	29	0.862	8	35	43	22	5	8	10	27	108	12533	 09-13 
33	73	0.452	8	19	0.421	27	34	0.794	9	29	38	22	7	4	24	26	101	16919	 09-14 
36	77	0.468	4	10	0.4	24	31	0.774	10	21	31	21	6	6	9	24	100	11323	 09-15 
42	101	0.416	4	21	0.19	14	14	1	16	34	50	21	12	2	7	23	102	19812	 09-16 
39	82	0.476	6	18	0.333	15	16	0.938	14	35	49	25	2	6	18	19	99	12770	 10-16 
38	80	0.475	3	12	0.25	21	24	0.875	7	39	46	29	12	5	13	21	100	14552	 11-16 
36	79	0.456	2	13	0.154	25	32	0.781	6	30	36	20	9	6	12	19	99	18624	 11-17 
30	72	0.417	3	10	0.3	20	25	0.8	8	23	31	19	5	2	13	17	83	16788	 11-18 
35	75	0.467	4	12	0.333	14	18	0.778	9	24	33	22	14	2	21	16	88	15076	 11-19 
39	82	0.476	3	11	0.273	14	24	0.583	6	26	32	25	12	4	15	29	95	18493	 11-20 
36	77	0.468	5	10	0.5	17	27	0.63	13	34	47	27	13	3	10	16	94	14326	 12-20 
35	86	0.407	5	14	0.357	15	19	0.789	6	30	36	22	9	3	15	24	90	15475	 12-21 
