fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
35	83	0.422	6	18	0.333	19	27	0.704	8	25	33	21	9	3	18	26	95	19596	 00-01 
36	91	0.396	11	33	0.333	11	18	0.611	5	34	39	19	7	2	11	17	94	19393	 00-02 
46	100	0.46	8	22	0.364	20	23	0.87	16	32	48	22	4	4	15	23	120	18406	 00-03 
32	90	0.356	12	36	0.333	18	25	0.72	10	36	46	23	12	9	14	14	94	16876	 00-04 
42	84	0.5	10	30	0.333	21	24	0.875	6	26	32	30	9	7	12	24	115	16983	 00-05 
39	86	0.453	9	28	0.321	11	13	0.846	7	35	42	21	7	6	12	24	98	20454	 00-06 
46	92	0.5	14	33	0.424	14	18	0.778	9	39	48	25	9	5	11	27	120	17128	 01-06 
37	83	0.446	14	29	0.483	10	15	0.667	8	32	40	21	6	0	19	21	98	15597	 01-07 
30	82	0.366	7	23	0.304	14	20	0.7	10	28	38	15	10	4	14	22	81	19800	 01-08 
32	71	0.451	6	21	0.286	17	19	0.895	4	32	36	16	5	5	18	22	87	19812	 01-09 
41	83	0.494	7	23	0.304	9	11	0.818	8	25	33	25	4	8	9	17	98	17269	 01-10 
43	95	0.453	8	32	0.25	9	9	1	10	30	40	21	8	4	11	25	103	18203	 01-11 
40	88	0.455	8	22	0.364	16	17	0.941	7	46	53	26	3	3	9	17	104	16698	 02-11 
39	85	0.459	11	30	0.367	33	40	0.825	10	39	49	23	11	6	14	26	122	16680	 03-11 
42	81	0.519	10	22	0.455	26	34	0.765	5	37	42	20	4	6	14	23	120	16338	 04-11 
34	94	0.362	5	20	0.25	17	23	0.739	15	35	50	20	8	1	12	23	90	19162	 04-12 
29	69	0.42	5	17	0.294	24	30	0.8	4	31	35	19	8	4	16	19	87	19911	 04-13 
35	81	0.432	9	27	0.333	25	33	0.758	9	28	37	25	3	11	8	21	104	16020	 04-14 
36	88	0.409	7	25	0.28	22	25	0.88	16	40	56	20	5	6	23	32	101	17339	 04-15 
42	85	0.494	9	25	0.36	21	31	0.677	11	35	46	25	10	2	15	25	114	17906	 05-15 
37	90	0.411	4	13	0.308	15	18	0.833	13	31	44	21	8	6	14	17	93	15715	 05-16 
39	79	0.494	16	27	0.593	13	18	0.722	7	34	41	21	9	0	16	18	107	16875	 06-16 
40	89	0.449	6	16	0.375	8	11	0.727	5	36	41	26	9	6	10	22	94	21605	 06-17 
36	82	0.439	8	25	0.32	21	27	0.778	5	36	41	15	9	9	9	22	101	19231	 06-18 
34	73	0.466	10	21	0.476	26	28	0.929	8	28	36	14	9	2	10	24	104	17899	 07-18 
26	71	0.366	4	22	0.182	32	38	0.842	10	26	36	13	8	7	21	23	88	17227	 07-19 
44	78	0.564	11	24	0.458	31	39	0.795	7	29	36	24	4	11	10	22	130	13857	 08-19 
41	85	0.482	13	31	0.419	20	23	0.87	8	41	49	27	5	8	11	17	115	16686	 09-19 
36	90	0.4	6	20	0.3	10	11	0.909	7	38	45	19	10	3	17	20	88	19845	 09-20 
38	75	0.507	13	24	0.542	21	26	0.808	8	32	40	25	5	8	15	17	110	18248	 10-20 
37	83	0.446	5	20	0.25	10	15	0.667	10	32	42	23	5	5	13	15	89	17606	 10-21 
36	82	0.439	7	25	0.28	10	15	0.667	5	37	42	21	6	3	15	22	89	16920	 10-22 
