fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
37	100	0.37	5	26	0.192	8	12	0.667	17	39	56	20	9	6	14	22	87	18846	 00-01 
47	106	0.443	12	33	0.364	30	38	0.789	14	35	49	25	10	10	16	31	136	18846	 00-02 
35	90	0.389	7	23	0.304	10	17	0.588	12	31	43	21	7	11	16	19	87	21585	 00-03 
42	90	0.467	7	18	0.389	12	12	1	10	45	55	24	5	3	18	18	103	16876	 01-03 
46	91	0.505	7	20	0.35	15	19	0.789	9	29	38	28	12	6	14	25	114	16735	 01-04 
33	77	0.429	9	25	0.36	17	22	0.773	6	34	40	22	4	4	12	25	92	16578	 02-04 
39	83	0.47	6	13	0.462	21	24	0.875	10	31	41	24	10	7	13	23	105	15207	 03-04 
31	78	0.397	10	33	0.303	12	17	0.706	7	37	44	16	9	3	21	20	84	13104	 03-05 
40	100	0.4	13	28	0.464	8	12	0.667	23	31	54	22	7	4	8	19	101	18846	 04-05 
32	76	0.421	10	27	0.37	28	31	0.903	10	35	45	20	11	11	20	20	102	16709	 05-05 
38	87	0.437	4	18	0.222	19	24	0.792	6	39	45	19	7	2	12	22	99	18311	 05-06 
41	110	0.373	9	21	0.429	13	21	0.619	20	34	54	20	10	4	9	21	104	16048	 06-06 
38	92	0.413	9	31	0.29	6	8	0.75	15	35	50	27	8	7	17	26	91	16104	 06-07 
40	81	0.494	10	22	0.455	13	21	0.619	9	30	39	25	6	6	10	21	103	20562	 06-08 
34	86	0.395	5	16	0.313	27	32	0.844	15	33	48	20	2	7	7	21	100	18846	 07-08 
43	82	0.524	12	27	0.444	16	22	0.727	8	33	41	30	9	5	18	18	114	16317	 08-08 
45	93	0.484	9	25	0.36	11	16	0.688	17	37	54	24	6	7	13	20	110	16209	 09-08 
38	86	0.442	5	17	0.294	15	20	0.75	11	33	44	19	7	5	13	30	96	10694	 10-08 
40	89	0.449	8	23	0.348	15	15	1	9	31	40	19	13	4	10	20	103	19247	 11-08 
40	90	0.444	6	20	0.3	15	18	0.833	15	36	51	22	8	6	13	21	101	19146	 11-09 
38	88	0.432	1	16	0.063	8	10	0.8	10	44	54	14	9	8	20	19	85	13925	 12-09 
40	85	0.471	12	25	0.48	12	16	0.75	5	27	32	28	11	1	16	26	104	17637	 12-10 
28	72	0.389	6	22	0.273	14	20	0.7	6	24	30	16	8	3	19	24	76	17239	 12-11 
41	76	0.539	9	21	0.429	14	20	0.7	7	36	43	24	12	3	16	18	105	12946	 13-11 
43	77	0.558	14	24	0.583	13	15	0.867	4	36	40	28	12	4	17	15	113	16019	 14-11 
39	84	0.464	2	15	0.133	22	31	0.71	13	35	48	19	11	5	13	18	102	17156	 15-11 
38	81	0.469	4	12	0.333	20	24	0.833	8	28	36	27	16	5	13	22	100	16982	 15-12 
44	86	0.512	10	22	0.455	9	11	0.818	8	25	33	19	8	3	9	17	107	19812	 16-12 
44	84	0.524	7	16	0.438	9	13	0.692	11	31	42	26	5	3	12	15	104	17061	 17-12 
43	79	0.544	9	19	0.474	6	13	0.462	9	25	34	31	7	2	9	18	101	18846	 17-13 
45	82	0.549	7	17	0.412	7	11	0.636	4	33	37	28	7	1	9	14	104	17606	 18-13 
36	82	0.439	9	26	0.346	19	21	0.905	17	33	50	21	6	4	16	18	100	18397	 19-13 
40	85	0.471	5	20	0.25	6	8	0.75	7	32	39	29	6	4	15	13	91	16986	 19-14 
29	76	0.382	6	25	0.24	15	17	0.882	5	40	45	16	1	2	14	29	79	20562	 19-15 
36	81	0.444	6	20	0.3	11	11	1	5	25	30	17	6	7	8	16	89	14301	 19-16 
32	79	0.405	6	31	0.194	16	17	0.941	9	30	39	17	7	6	17	21	86	18846	 19-17 
33	83	0.398	13	28	0.464	4	6	0.667	13	36	49	25	7	4	14	22	83	13907	 20-17 
38	74	0.514	5	14	0.357	18	24	0.75	11	26	37	22	9	2	15	12	99	18058	 20-18 
44	97	0.454	9	23	0.391	6	8	0.75	6	40	46	28	4	9	15	22	103	18689	 20-19 
30	87	0.345	6	22	0.273	15	20	0.75	11	31	42	21	11	5	13	13	81	17460	 20-20 
33	84	0.393	4	17	0.235	17	26	0.654	13	34	47	19	12	3	14	14	87	17746	 20-21 
45	91	0.495	11	23	0.478	15	19	0.789	7	41	48	31	6	9	19	25	116	18083	 20-22 
40	86	0.465	10	28	0.357	12	14	0.857	8	38	46	24	2	6	19	22	102	15779	 20-23 
33	80	0.413	13	24	0.542	21	29	0.724	12	27	39	22	6	4	11	22	100	11884	 20-24 
32	79	0.405	7	20	0.35	23	29	0.793	9	32	41	17	9	4	16	18	94	17729	 20-25 
44	82	0.537	10	24	0.417	21	35	0.6	12	38	50	27	7	6	15	24	119	18846	 21-25 
39	96	0.406	5	17	0.294	9	11	0.818	19	32	51	19	9	6	16	19	92	18418	 21-26 
47	95	0.495	10	23	0.435	10	12	0.833	12	27	39	25	3	5	9	18	114	18203	 21-27 
34	81	0.42	4	20	0.2	21	28	0.75	11	28	39	19	6	1	18	20	93	16647	 21-28 
39	85	0.459	7	25	0.28	11	12	0.917	8	35	43	24	9	10	18	13	96	16021	 22-28 
46	93	0.495	9	29	0.31	16	22	0.727	6	41	47	37	11	8	13	22	117	13057	 23-28 
37	91	0.407	8	20	0.4	14	16	0.875	13	37	50	26	7	7	15	18	96	17467	 23-29 
41	102	0.402	13	35	0.371	15	17	0.882	14	49	63	25	10	4	12	20	110	17764	 24-29 
38	91	0.418	7	25	0.28	19	29	0.655	11	34	45	27	12	3	14	23	102	17242	 24-30 
41	85	0.482	7	14	0.5	35	41	0.854	13	30	43	26	11	2	11	22	124	13745	 25-30 
41	90	0.456	10	26	0.385	22	28	0.786	8	29	37	23	11	4	15	17	114	19189	 25-31 
39	93	0.419	6	27	0.222	11	16	0.688	15	32	47	24	6	1	12	24	95	19812	 25-32 
49	86	0.57	10	16	0.625	22	25	0.88	6	27	33	28	9	6	12	27	130	16168	 26-32 
41	91	0.451	9	30	0.3	17	20	0.85	18	27	45	29	11	4	16	29	108	19546	 26-33 
39	97	0.402	7	21	0.333	17	22	0.773	8	51	59	25	5	6	10	14	102	16072	 27-33 
