fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
44,88,0.5,12,26,14,18,0.778,14,38,52,28,13,7,21,19,114,19049, 01-0 
42,85,0.494,5,20,15,23,0.652,6,41,47,31,11,7,12,14,104,16312, 02-0 
33,79,0.418,11,30,29,47,0.617,17,26,43,24,11,6,13,20,106,12501, 03-0 
41,85,0.482,11,32,23,29,0.793,10,27,37,30,10,1,18,19,116,13800, 03-1 
32,83,0.386,5,25,23,36,0.639,10,37,47,22,12,3,18,24,92,14663, 03-2 
45,85,0.529,8,20,14,24,0.583,13,31,44,29,17,6,19,13,112,16895, 04-2 
41,81,0.506,11,29,17,24,0.708,11,39,50,22,1,4,19,21,110,20562, 05-2 
42,83,0.506,9,20,22,27,0.815,13,35,48,24,8,7,21,20,115,16354, 06-2 
48,95,0.505,13,32,8,14,0.571,15,37,52,31,10,6,16,14,117,17399, 07-2 
37,80,0.463,6,17,13,19,0.684,6,29,35,18,14,4,19,13,93,19600, 08-2 
35,72,0.486,10,32,27,31,0.871,3,36,39,29,6,8,16,17,107,14656, 09-2 
39,84,0.464,7,28,11,17,0.647,8,41,49,25,9,6,16,18,96,17989, 09-3 
34,85,0.4,6,21,20,29,0.69,14,34,48,17,7,6,13,15,94,19812, 09-4 
39,85,0.459,10,29,6,10,0.6,6,34,40,22,5,6,15,15,94,19120, 09-5 
32,88,0.364,6,24,15,20,0.75,6,26,32,22,6,2,7,12,85,15500, 10-10 
35,88,0.398,7,28,7,14,0.5,13,25,38,21,7,5,18,13,84,19800, 10-11 
34,77,0.442,7,22,24,32,0.75,7,29,36,26,13,3,18,24,99,14654, 10-12 
36,85,0.424,5,20,19,22,0.864,17,39,56,17,11,7,21,18,96,16032, 10-5 
26,83,0.313,8,25,8,12,0.667,6,34,40,11,8,4,14,16,68,19911, 10-6 
39,88,0.443,12,35,4,10,0.4,7,31,38,25,5,6,12,19,94,18997, 10-7 
36,85,0.424,7,29,21,30,0.7,13,37,50,20,11,4,18,22,100,19596, 10-8 
45,89,0.506,9,25,8,10,0.8,7,33,40,20,9,6,20,22,107,15909, 10-9 
43,88,0.489,4,19,13,15,0.867,14,33,47,27,9,9,14,20,103,11326, 11-12 
40,84,0.476,12,34,22,29,0.759,9,37,46,32,7,8,17,11,114,16289, 12-12 
45,89,0.506,11,28,19,21,0.905,13,32,45,29,6,4,15,16,120,13585, 12-13 
46,86,0.535,11,25,22,32,0.688,15,29,44,26,6,6,14,22,125,19800, 13-13 
40,86,0.465,10,26,9,16,0.563,9,38,47,26,4,2,12,18,99,17918, 13-14 
41,75,0.547,9,23,19,24,0.792,5,30,35,24,5,2,15,20,110,18203, 14-14 
34,82,0.415,7,26,9,13,0.692,8,27,35,19,9,8,10,15,84,17578, 14-15 
37,86,0.43,8,25,27,33,0.818,9,31,40,26,10,4,8,25,109,13823, 15-15 
35,83,0.422,8,32,12,17,0.706,17,29,46,20,8,7,19,19,90,15617, 15-16 
37,101,0.366,7,27,21,27,0.778,17,38,55,19,8,3,13,19,102,19066, 16-16 
39,88,0.443,8,26,19,25,0.76,12,32,44,29,10,2,15,21,105,19009, 17-16 
42,92,0.457,14,28,16,27,0.593,11,35,46,25,6,6,11,21,114,18088, 18-16 
44,81,0.543,10,19,13,18,0.722,3,36,39,27,12,3,12,12,111,18846, 19-16 
38,90,0.422,9,23,14,17,0.824,12,43,55,23,9,6,14,14,99,15003, 20-16 
30,74,0.405,11,22,26,32,0.813,6,41,47,19,8,1,10,15,97,19655, 21-16 
44,92,0.478,7,23,22,38,0.579,15,38,53,25,11,12,12,17,117,13279, 22-16 
36,84,0.429,11,30,18,21,0.857,12,31,43,22,5,5,12,17,101,18216, 22-17 
42,80,0.525,13,26,14,18,0.778,14,23,37,29,9,4,19,20,111,14231, 23-17 
40,87,0.46,12,32,16,23,0.696,8,28,36,26,11,3,10,15,108,19812, 24-17 
30,78,0.385,6,25,29,37,0.784,8,24,32,22,1,4,12,21,95,15159, 24-18 
39,82,0.476,9,22,15,19,0.789,10,30,40,23,16,3,19,19,102,16328, 25-18 
45,91,0.495,7,20,13,23,0.565,11,36,47,24,8,5,13,18,110,15116, 26-18 
37,88,0.42,9,29,22,26,0.846,8,32,40,28,8,2,8,17,105,12853, 26-19 
43,83,0.518,17,30,16,19,0.842,6,33,39,29,5,5,13,20,119,21445, 27-19 
30,83,0.361,9,31,17,25,0.68,8,33,41,18,9,8,19,16,86,16968, 27-20 
52,119,0.437,10,31,28,40,0.7,17,47,64,36,4,2,14,24,142,13643, 28-20 
34,86,0.395,7,26,18,21,0.857,9,34,43,13,10,6,15,14,93,19600, 28-21 
44,85,0.518,8,30,17,23,0.739,8,48,56,26,8,5,20,20,113,15602, 29-21 
41,78,0.526,10,28,21,27,0.778,10,38,48,28,8,2,15,20,113,16691, 30-21 
33,74,0.446,6,17,23,32,0.719,7,23,30,16,6,3,12,18,95,13126, 30-22 
47,93,0.505,8,27,15,18,0.833,12,36,48,31,6,4,10,18,117,14222, 31-22 
36,71,0.507,11,30,24,31,0.774,3,34,37,19,6,5,16,17,107,17608, 31-23 
32,83,0.386,8,28,37,48,0.771,7,45,52,20,9,11,9,23,109,19475, 32-23 
32,79,0.405,7,26,13,19,0.684,10,35,45,20,5,1,20,13,84,19060, 32-24 
30,79,0.38,6,20,24,36,0.667,8,37,45,14,7,6,10,12,90,18122, 32-25 
32,85,0.376,8,25,14,26,0.538,12,36,48,21,4,4,17,19,86,18498, 32-26 
46,95,0.484,6,25,16,20,0.8,13,42,55,22,10,10,14,19,114,18624, 33-26 
36,64,0.563,10,21,18,24,0.75,4,30,34,24,12,4,22,19,100,12483, 34-26 
49,91,0.538,10,26,22,30,0.733,11,32,43,30,7,4,12,15,130,18877, 34-27 
34,77,0.442,9,27,19,31,0.613,11,33,44,21,12,1,14,19,96,15366, 34-28 
38,82,0.463,13,28,22,31,0.71,14,33,47,19,6,6,19,23,111,18890, 34-29 
41,95,0.432,4,20,24,32,0.75,11,36,47,19,12,7,15,22,110,11931, 35-29 
39,75,0.52,8,22,19,29,0.655,8,37,45,24,8,6,21,20,105,16078, 36-29 
36,72,0.5,15,30,20,26,0.769,6,40,46,22,9,6,18,23,107,17523, 37-29 
37,81,0.457,6,22,19,30,0.633,6,30,36,27,13,3,16,20,99,18418, 37-30 
29,71,0.408,8,27,25,34,0.735,8,30,38,19,6,9,17,17,91,17063, 37-31 
32,88,0.364,7,26,26,32,0.813,12,23,35,22,13,7,13,12,97,16543, 37-32 
37,84,0.44,12,37,4,10,0.4,12,33,45,26,3,5,15,17,90,14278, 37-33 
34,86,0.395,8,25,24,29,0.828,11,33,44,20,11,5,16,19,100,18137, 37-34 
34,83,0.41,8,22,21,24,0.875,13,36,49,20,5,3,17,19,97,16786, 37-35 
34,98,0.347,5,27,19,32,0.594,26,32,58,16,10,3,20,19,92,15921, 37-36 
34,85,0.4,6,27,21,29,0.724,9,42,51,24,5,6,19,23,95,13412, 38-36 
34,80,0.425,9,18,22,26,0.846,15,32,47,19,7,3,17,15,99,15212, 39-36 
40,90,0.444,11,28,13,17,0.765,11,34,45,25,4,1,13,16,104,22019, 39-37 
30,80,0.375,7,24,15,23,0.652,8,36,44,19,9,4,19,19,82,15040, 39-38 
44,89,0.494,11,23,24,34,0.706,13,39,52,26,7,4,17,30,123,18688, 40-38 
45,89,0.506,16,37,8,8,1,6,36,42,39,7,3,11,17,114,20562, 41-38 
44,94,0.468,9,31,29,37,0.784,10,35,45,31,8,4,12,22,126,18835, 42-38 
41,79,0.519,7,27,14,18,0.778,11,39,50,30,6,4,16,17,103,14205, 43-38 
30,72,0.417,11,29,15,19,0.789,8,29,37,19,5,4,18,15,86,17923, 43-39 
