fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
48,89,0.539,11,32,15,18,0.833,12,35,47,36,13,9,19,20,122,18624, 01-0 
38,76,0.5,8,23,15,24,0.625,3,33,36,22,6,6,11,25,99,21501, 01-1 
39,81,0.481,15,31,11,17,0.647,4,38,42,25,4,6,13,26,104,18708, 02-1 
41,87,0.471,14,32,11,17,0.647,10,29,39,28,10,4,12,24,107,18624, 03-1 
46,96,0.479,11,32,19,22,0.864,10,29,39,25,4,6,8,28,122,20562, 03-2 
41,90,0.456,8,25,17,21,0.81,11,28,39,31,3,4,11,24,107,17452, 03-3 
35,81,0.432,10,31,13,22,0.591,7,24,31,21,5,4,11,19,93,12675, 03-4 
35,90,0.389,11,27,34,43,0.791,19,34,53,23,16,3,15,18,115,18624, 04-4 
35,80,0.438,8,25,27,33,0.818,15,32,47,22,7,7,13,21,105,17923, 05-4 
38,95,0.4,12,41,17,20,0.85,11,33,44,19,9,0,10,27,105,15001, 05-5 
33,76,0.434,7,21,17,23,0.739,13,40,53,18,6,3,19,17,90,18624, 06-5 
31,83,0.373,11,32,15,19,0.789,7,36,43,19,6,3,13,12,88,18624, 06-6 
33,82,0.402,12,31,16,17,0.941,9,37,46,22,3,7,8,13,94,16107, 07-6 
38,84,0.452,12,38,11,14,0.786,6,33,39,20,5,4,11,21,99,13167, 08-6 
45,98,0.459,15,38,6,8,0.75,12,39,51,26,13,6,13,22,111,16210, 09-6 
42,91,0.462,12,34,7,9,0.778,8,28,36,32,8,4,10,21,103,18624, 09-7 
40,83,0.482,11,27,21,26,0.808,6,34,40,26,4,3,9,27,112,19600, 10-7 
40,91,0.44,15,42,19,20,0.95,9,24,33,26,6,3,5,17,114,17338, 10-8 
36,88,0.409,11,28,14,15,0.933,11,34,45,25,10,9,13,22,97,18624, 11-8 
38,76,0.5,8,26,23,29,0.793,6,31,37,22,5,3,10,21,107,17063, 12-8 
42,99,0.424,11,32,11,12,0.917,10,32,42,27,7,4,11,20,106,15730, 12-9 
31,83,0.373,17,42,15,22,0.682,8,38,46,24,5,4,13,18,94,18624, 13-10 
40,90,0.444,11,32,5,8,0.625,12,28,40,28,9,4,13,22,96,18203, 13-11 
37,84,0.44,10,31,17,20,0.85,8,27,35,25,12,3,12,13,101,18418, 13-12 
43,84,0.512,7,26,24,29,0.828,11,38,49,29,7,4,10,19,117,17009, 13-9 
34,78,0.436,9,28,19,26,0.731,5,41,46,26,7,8,13,15,96,18624, 14-12 
41,90,0.456,9,28,14,19,0.737,11,26,37,21,13,2,11,16,105,19600, 15-12 
33,81,0.407,12,37,34,38,0.895,8,33,41,22,7,5,11,22,112,16519, 16-12 
38,92,0.413,10,39,23,27,0.852,9,35,44,19,10,2,10,27,109,17577, 17-12 
41,93,0.441,9,28,21,26,0.808,10,29,39,29,8,2,12,29,112,18624, 17-13 
45,93,0.484,14,36,15,20,0.75,12,27,39,25,10,2,5,20,119,19812, 18-13 
41,85,0.482,12,31,19,21,0.905,14,33,47,30,6,7,17,24,113,18624, 19-13 
43,85,0.506,12,37,20,21,0.952,6,23,29,26,15,4,11,23,118,20562, 19-14 
38,74,0.514,17,32,24,29,0.828,5,25,30,28,6,2,13,11,117,18624, 20-14 
41,74,0.554,17,31,16,17,0.941,4,28,32,31,5,6,13,22,115,18624, 21-14 
35,87,0.402,19,40,21,25,0.84,12,30,42,28,6,11,17,22,110,18624, 22-14 
40,93,0.43,18,36,19,21,0.905,15,32,47,26,6,5,10,22,117,18624, 23-14 
40,85,0.471,9,27,17,20,0.85,6,27,33,21,7,3,14,20,106,19800, 23-15 
43,85,0.506,17,41,14,18,0.778,10,35,45,20,5,7,14,10,117,18624, 24-15 
36,83,0.434,17,44,14,19,0.737,9,34,43,22,7,3,12,16,103,18216, 25-15 
42,84,0.5,15,39,9,10,0.9,8,36,44,29,6,3,12,11,108,18624, 26-15 
35,91,0.385,9,33,27,29,0.931,9,24,33,25,8,8,3,15,106,18624, 26-16 
42,92,0.457,13,35,26,31,0.839,14,33,47,26,6,2,21,29,123,18624, 26-17 
38,84,0.452,10,33,22,24,0.917,8,24,32,24,10,3,13,20,108,16387, 26-18 
47,91,0.516,11,32,15,16,0.938,12,36,48,33,10,3,18,27,120,18624, 27-18 
50,89,0.562,16,34,12,15,0.8,7,40,47,39,8,5,10,17,128,18624, 28-18 
37,89,0.416,14,41,24,30,0.8,9,35,44,26,6,7,13,23,112,18717, 29-18 
36,82,0.439,13,32,28,33,0.848,6,38,44,23,6,5,9,18,113,18188, 30-18 
36,87,0.414,12,36,25,30,0.833,12,27,39,24,6,2,9,21,109,18624, 31-18 
39,82,0.476,13,35,22,28,0.786,7,40,47,28,8,1,16,19,113,18624, 32-18 
37,88,0.42,16,52,17,20,0.85,9,36,45,24,9,3,11,21,107,18624, 33-18 
