fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
43,97,0.443,15,44,16,20,0.8,15,29,44,22,8,3,16,19,117,18624, 00-1 
38,87,0.437,10,33,17,20,0.85,12,40,52,20,6,4,16,23,103,17732, 01-1 
37,84,0.44,11,34,23,28,0.821,11,34,45,23,12,6,18,22,108,12570, 01-2 
33,96,0.344,5,31,17,21,0.81,16,29,45,14,12,3,15,15,88,15842, 01-3 
41,76,0.539,13,27,14,17,0.824,5,40,45,27,10,3,19,23,109,13650, 02-3 
35,87,0.402,9,36,16,21,0.762,7,39,46,20,12,4,15,22,95,15775, 02-4 
42,76,0.553,12,33,23,26,0.885,5,38,43,20,5,5,20,19,119,13610, 03-4 
33,79,0.418,11,33,19,27,0.704,7,33,40,19,9,4,18,20,96,19812, 03-5 
34,86,0.395,10,31,14,22,0.636,9,36,45,18,7,7,19,12,92,16210, 04-10 
36,79,0.456,11,34,14,23,0.609,9,29,38,24,8,4,19,17,97,16083, 04-11 
38,87,0.437,16,40,13,14,0.929,9,33,42,19,7,1,15,21,105,13646, 04-12 
40,84,0.476,16,37,26,30,0.867,6,49,55,22,6,10,17,19,122,17126, 04-5 
34,77,0.442,10,33,17,22,0.773,9,28,37,18,6,2,21,21,95,19060, 04-6 
45,99,0.455,12,41,16,20,0.8,9,38,47,23,8,6,14,27,118,18426, 04-7 
35,83,0.422,11,29,24,30,0.8,7,23,30,19,6,2,16,19,105,18203, 04-8 
37,93,0.398,10,35,25,31,0.806,11,25,36,22,5,3,9,20,109,16608, 04-9 
45,104,0.433,13,38,24,36,0.667,8,46,54,22,9,3,13,23,127,15681, 05-12 
34,89,0.382,12,40,13,16,0.813,12,28,40,20,9,9,17,22,93,12675, 05-13 
34,91,0.374,11,41,24,33,0.727,10,36,46,21,6,5,14,26,103,15565, 05-14 
40,81,0.494,11,27,22,30,0.733,13,37,50,25,5,3,21,15,113,12529, 05-15 
41,85,0.482,9,26,25,31,0.806,10,32,42,18,11,5,15,19,116,14159, 06-15 
36,87,0.414,7,27,22,25,0.88,11,36,47,21,6,2,16,16,101,18418, 06-16 
42,80,0.525,7,20,27,36,0.75,6,35,41,21,9,4,19,27,118,13619, 06-17 
33,86,0.384,11,35,30,40,0.75,19,42,61,19,7,4,15,26,107,17732, 07-17 
39,83,0.47,11,27,22,26,0.846,6,39,45,21,5,6,17,32,111,17668, 07-18 
