fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
36,92,0.391,11,25,22,30,0.733,18,37,55,25,5,1,12,21,105,21501, 01-0 
45,86,0.523,9,21,19,21,0.905,13,34,47,34,8,6,12,14,118,21373, 02-0 
45,89,0.506,11,27,17,18,0.944,13,45,58,26,9,9,19,22,118,15842, 03-0 
35,81,0.432,7,20,23,31,0.742,15,34,49,21,7,7,19,19,100,18624, 03-1 
37,84,0.44,8,23,22,27,0.815,15,27,42,15,4,4,12,16,104,22376, 03-2 
34,79,0.43,6,18,20,25,0.8,13,27,40,17,8,5,16,13,94,17020, 03-3 
42,89,0.472,3,19,25,31,0.806,15,41,56,26,7,4,8,11,112,21320, 04-3 
41,91,0.451,9,27,16,21,0.762,8,23,31,24,14,3,13,21,107,16354, 04-4 
37,89,0.416,6,16,18,20,0.9,12,36,48,18,7,2,10,12,98,19600, 05-4 
39,97,0.402,5,15,23,25,0.92,15,37,52,21,7,6,10,20,106,21962, 06-4 
41,98,0.418,7,20,24,28,0.857,19,48,67,16,7,4,10,19,113,19393, 07-4 
33,90,0.367,5,17,14,16,0.875,14,32,46,8,7,6,8,16,85,19911, 08-4 
33,77,0.429,9,30,20,24,0.833,15,26,41,17,7,4,12,20,95,19060, 08-5 
45,87,0.517,8,22,20,28,0.714,16,40,56,27,6,3,16,16,118,18997, 09-5 
43,95,0.453,6,18,15,18,0.833,10,38,48,22,6,11,6,18,107,14328, 09-6 
40,90,0.444,6,21,19,26,0.731,11,40,51,24,10,5,12,17,105,18234, 10-6 
32,91,0.352,4,21,22,29,0.759,14,32,46,22,15,11,14,26,90,21773, 10-7 
33,75,0.44,2,15,23,32,0.719,9,36,45,15,6,7,14,20,91,14305, 11-10 
47,96,0.49,3,18,14,17,0.824,16,33,49,31,11,4,12,16,111,21775, 11-7 
32,71,0.451,3,13,15,21,0.714,11,32,43,9,4,5,20,22,82,19857, 11-8 
35,83,0.422,7,23,33,38,0.868,15,35,50,16,8,11,15,17,110,21351, 11-9 
35,80,0.438,4,17,21,27,0.778,11,40,51,24,7,5,20,13,95,21489, 12-10 
38,84,0.452,1,8,28,31,0.903,12,35,47,17,8,6,11,15,105,21450, 13-10 
38,87,0.437,4,15,14,19,0.737,13,29,42,20,7,6,9,16,94,21146, 13-11 
35,74,0.473,5,20,22,29,0.759,6,35,41,23,5,3,16,16,97,16704, 13-12 
28,92,0.304,5,21,8,15,0.533,19,31,50,17,7,2,12,14,69,21324, 13-13 
49,82,0.598,8,16,7,7,1,9,37,46,34,9,5,13,13,113,21400, 14-13 
38,95,0.4,6,21,15,19,0.789,17,32,49,25,4,5,14,18,97,21358, 14-14 
38,96,0.396,7,22,8,10,0.8,17,35,52,20,5,6,9,20,91,19249, 14-15 
39,86,0.453,7,18,15,20,0.75,14,24,38,20,9,1,14,19,100,18428, 14-16 
32,83,0.386,6,25,20,28,0.714,16,32,48,17,10,3,13,15,90,21922, 15-16 
35,88,0.398,3,13,28,29,0.966,17,37,54,20,8,8,18,17,101,21957, 16-16 
35,84,0.417,6,23,25,31,0.806,15,32,47,17,8,5,13,23,101,17923, 16-17 
33,83,0.398,10,27,20,28,0.714,14,23,37,23,9,5,11,21,96,21838, 16-18 
42,90,0.467,7,23,27,29,0.931,15,30,45,23,10,9,10,17,118,21612, 17-18 
41,85,0.482,13,30,11,15,0.733,12,31,43,23,8,3,12,18,106,20562, 18-18 
38,97,0.392,11,28,36,39,0.923,17,43,60,25,5,2,14,27,123,21195, 19-18 
34,83,0.41,7,19,19,22,0.864,9,29,38,18,7,2,11,13,94,21923, 19-19 
35,88,0.398,10,27,19,21,0.905,12,32,44,19,10,2,17,18,99,14361, 19-20 
