fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
40,89,0.449,7,23,20,24,0.833,11,40,51,27,5,10,10,22,107,18717, 01-0 
35,92,0.38,7,22,20,24,0.833,13,36,49,20,10,9,8,20,97,19600, 02-0 
32,79,0.405,9,32,25,33,0.758,6,32,38,22,8,6,8,17,98,18708, 02-1 
39,79,0.494,13,34,18,26,0.692,9,35,44,25,8,3,15,17,109,15275, 03-1 
36,86,0.419,10,30,17,24,0.708,7,42,49,24,7,3,16,18,99,15775, 04-1 
41,84,0.488,12,32,28,32,0.875,3,40,43,30,12,4,11,15,122,16880, 05-1 
38,82,0.463,8,26,20,29,0.69,5,32,37,24,8,3,8,19,104,15712, 06-1 
38,93,0.409,17,41,18,24,0.75,18,39,57,22,1,4,11,16,111,18107, 06-2 
36,95,0.379,11,29,10,12,0.833,10,35,45,23,7,3,5,19,93,20562, 06-3 
43,80,0.538,11,24,18,22,0.818,4,33,37,25,10,6,13,17,115,10349, 07-3 
37,90,0.411,10,29,16,24,0.667,8,36,44,25,11,4,11,16,100,17989, 08-3 
40,97,0.412,15,43,21,28,0.75,8,44,52,29,7,5,14,21,116,15739, 08-4 
30,73,0.411,9,31,21,33,0.636,8,31,39,20,6,9,10,13,90,14181, 08-5 
45,89,0.506,11,20,13,18,0.722,12,32,44,30,3,3,15,16,114,18515, 08-6 
43,93,0.462,8,29,17,27,0.63,10,36,46,25,6,4,13,14,111,19812, 08-7 
35,80,0.438,8,22,29,42,0.69,10,42,52,16,3,9,10,14,107,19195, 09-7 
36,82,0.439,9,26,23,31,0.742,9,38,47,24,3,4,13,14,104,13143, 10-7 
31,78,0.397,9,27,18,21,0.857,5,35,40,21,7,5,13,16,89,14266, 10-8 
35,74,0.473,5,18,22,31,0.71,4,35,39,24,5,6,10,18,97,14471, 11-8 
44,101,0.436,14,36,18,26,0.692,13,37,50,30,6,8,14,16,120,16982, 11-9 
40,79,0.506,3,18,26,28,0.929,9,44,53,21,2,5,12,19,109,19228, 12-9 
30,88,0.341,6,21,21,29,0.724,5,46,51,13,7,2,5,11,87,15141, 13-9 
39,86,0.453,10,27,17,24,0.708,12,27,39,24,5,0,14,24,105,20562, 14-10 
28,84,0.333,10,26,28,32,0.875,9,37,46,16,8,4,13,15,94,14138, 14-11 
38,74,0.514,14,33,16,21,0.762,5,28,33,25,7,8,18,18,106,13447, 14-12 
32,97,0.33,8,30,16,19,0.842,16,37,53,21,10,4,12,21,88,18624, 14-13 
41,85,0.482,9,22,18,23,0.783,13,46,59,23,4,5,12,13,109,15707, 14-9 
43,88,0.489,12,27,9,13,0.692,7,36,43,26,8,3,12,17,107,17918, 15-13 
43,94,0.457,11,25,20,24,0.833,16,28,44,30,5,2,10,13,117,19093, 16-13 
37,84,0.44,5,18,24,28,0.857,12,36,48,25,6,13,10,8,103,19249, 17-13 
44,94,0.468,8,26,22,25,0.88,12,32,44,23,11,3,11,24,118,17732, 17-14 
46,84,0.548,10,24,18,19,0.947,10,36,46,25,7,3,13,13,120,18273, 18-14 
36,93,0.387,5,26,14,18,0.778,11,43,54,18,9,8,8,11,91,19471, 19-14 
40,78,0.513,9,24,20,23,0.87,10,29,39,24,3,7,11,19,109,19519, 19-15 
41,83,0.494,9,19,20,22,0.909,7,27,34,24,7,3,14,19,111,21612, 19-16 
37,80,0.463,9,24,40,49,0.816,10,33,43,25,8,10,11,21,123,18418, 20-16 
37,91,0.407,10,26,30,34,0.882,8,41,49,20,4,5,5,23,114,13723, 20-17 
30,75,0.4,4,21,21,25,0.84,8,40,48,18,5,4,15,14,85,18418, 20-18 
44,92,0.478,19,43,7,9,0.778,5,38,43,30,3,4,11,21,114,16196, 20-19 
28,85,0.329,6,23,31,32,0.969,16,25,41,11,12,2,19,19,93,18215, 20-20 
38,86,0.442,8,25,14,17,0.824,10,32,42,25,4,4,11,15,98,18624, 20-21 
41,87,0.471,11,26,14,17,0.824,8,43,51,28,11,7,12,13,107,15451, 21-21 
40,80,0.5,12,25,21,25,0.84,11,40,51,24,9,4,14,13,113,18378, 22-21 
39,82,0.476,14,30,20,22,0.909,6,40,46,26,7,4,13,18,112,18583, 23-21 
35,90,0.389,8,32,21,25,0.84,12,31,43,24,7,5,8,19,99,15285, 23-22 
38,92,0.413,7,23,20,21,0.952,12,31,43,26,6,6,14,18,103,19639, 23-23 
40,90,0.444,13,37,14,15,0.933,9,38,47,18,5,4,13,16,107,19812, 23-24 
36,75,0.48,12,37,22,24,0.917,7,27,34,24,4,7,11,25,106,18597, 23-25 
33,83,0.398,11,31,21,25,0.84,3,39,42,20,3,6,9,13,98,19393, 23-26 
39,88,0.443,9,31,24,26,0.923,6,39,45,33,4,3,10,14,111,19596, 23-27 
35,82,0.427,13,33,15,18,0.833,3,35,38,20,7,3,9,20,98,19911, 23-28 
40,102,0.392,7,26,24,29,0.828,12,39,51,19,6,7,7,17,111,15322, 24-28 
37,85,0.435,8,26,13,14,0.929,10,37,47,26,8,5,21,17,95,16270, 24-29 
37,85,0.435,13,37,15,20,0.75,8,32,40,24,6,4,8,20,102,19483, 24-30 
34,78,0.436,11,31,20,26,0.769,3,30,33,19,11,5,15,17,99,15775, 24-31 
32,76,0.421,13,38,8,9,0.889,5,39,44,21,9,6,17,18,85,19800, 24-32 
38,92,0.413,7,30,25,26,0.962,5,45,50,19,5,7,7,15,108,14913, 24-33 
34,85,0.4,14,38,17,18,0.944,13,37,50,26,10,3,10,13,99,17608, 25-33 
38,80,0.475,18,40,27,30,0.9,5,38,43,16,1,1,16,32,121,19060, 25-34 
38,85,0.447,16,39,17,24,0.708,11,34,45,25,3,5,12,11,109,18997, 26-34 
35,89,0.393,10,34,23,28,0.821,9,25,34,19,14,1,16,20,103,16572, 26-35 
41,90,0.456,16,27,14,17,0.824,13,30,43,25,8,6,5,18,112,14708, 27-35 
35,86,0.407,11,31,19,21,0.905,13,37,50,21,10,2,10,8,100,16387, 28-35 
37,80,0.463,7,21,20,21,0.952,6,33,39,14,7,8,12,17,101,19600, 28-36 
