fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
45,94,0.479,13,35,14,19,0.737,11,40,51,31,12,5,14,22,117,20562, 01-0 
33,79,0.418,12,32,16,22,0.727,9,31,40,20,8,3,17,15,94,19800, 02-0 
36,88,0.409,11,37,22,30,0.733,13,27,40,17,8,6,9,27,105,20562, 03-0 
43,83,0.518,16,32,26,31,0.839,12,34,46,22,4,2,11,21,128,20562, 04-0 
41,84,0.488,14,34,32,37,0.865,7,35,42,24,6,6,8,19,128,20562, 05-0 
37,91,0.407,14,38,14,18,0.778,11,38,49,23,10,5,16,15,102,20497, 06-0 
37,99,0.374,11,42,21,25,0.84,13,26,39,21,12,1,6,20,106,20562, 06-1 
36,86,0.419,14,33,19,26,0.731,13,34,47,16,9,6,15,21,105,20356, 07-1 
39,92,0.424,14,38,8,15,0.533,12,41,53,25,3,8,9,13,100,20562, 08-1 
44,83,0.53,13,33,20,28,0.714,10,36,46,26,4,7,17,18,121,20562, 09-1 
35,86,0.407,11,30,12,20,0.6,11,40,51,19,3,5,18,16,93,17022, 09-2 
40,83,0.482,11,25,13,14,0.929,5,47,52,26,4,8,13,14,104,20562, 10-2 
48,90,0.533,21,36,20,27,0.741,9,32,41,30,6,3,10,15,137,20562, 11-2 
43,85,0.506,20,43,22,24,0.917,9,38,47,30,9,3,14,16,128,20562, 12-2 
38,92,0.413,12,40,24,28,0.857,14,32,46,19,5,3,9,14,112,19311, 13-2 
32,75,0.427,14,39,23,31,0.742,7,28,35,17,7,6,19,19,101,16559, 13-3 
28,69,0.406,9,24,29,39,0.744,6,30,36,12,5,3,18,24,94,20562, 13-4 
45,83,0.542,10,26,5,10,0.5,6,27,33,30,5,1,18,15,105,21775, 13-5 
40,84,0.476,14,32,22,27,0.815,13,35,48,21,4,3,14,21,116,19800, 14-5 
39,80,0.488,22,40,26,31,0.839,10,36,46,23,11,4,12,18,126,19812, 15-5 
46,83,0.554,9,24,13,19,0.684,11,36,47,23,7,9,11,16,114,20562, 16-5 
42,73,0.575,13,31,19,28,0.679,7,33,40,25,8,2,17,24,116,20562, 17-5 
37,81,0.457,12,31,17,23,0.739,10,36,46,21,8,4,17,16,103,20562, 18-5 
28,75,0.373,9,25,20,31,0.645,7,32,39,10,10,2,11,16,85,17449, 18-6 
46,89,0.517,15,33,12,18,0.667,11,33,44,30,8,3,8,12,119,20562, 19-6 
37,91,0.407,17,40,23,27,0.852,9,34,43,19,5,2,10,21,114,17053, 20-6 
43,87,0.494,15,27,12,19,0.632,9,33,42,30,3,7,11,20,113,20562, 21-6 
45,99,0.455,8,35,21,24,0.875,11,40,51,28,12,4,11,20,119,20562, 22-6 
37,95,0.389,12,35,23,32,0.719,18,26,44,20,14,2,12,19,109,20562, 23-6 
30,79,0.38,11,28,19,23,0.826,10,37,47,19,8,3,21,23,90,18123, 23-7 
43,83,0.518,14,38,24,33,0.727,13,33,46,29,7,3,18,16,124,20562, 24-7 
43,85,0.506,14,31,21,25,0.84,8,27,35,17,6,1,6,17,121,19519, 25-7 
34,90,0.378,6,31,16,22,0.727,11,45,56,16,9,4,11,13,90,20562, 26-7 
34,83,0.41,8,25,18,24,0.75,16,28,44,13,6,2,15,16,94,20562, 26-8 
38,88,0.432,9,33,31,43,0.721,5,41,46,19,14,3,12,16,116,17732, 27-8 
28,82,0.341,9,30,21,28,0.75,13,35,48,14,5,4,15,20,86,19393, 28-10 
44,82,0.537,15,34,17,19,0.895,13,25,38,15,8,5,20,12,120,18055, 28-8 
31,85,0.365,9,31,21,25,0.84,13,29,42,15,6,2,16,19,92,19911, 28-9 
44,87,0.506,15,37,17,22,0.773,10,29,39,27,11,3,12,20,120,17608, 29-10 
31,88,0.352,9,34,20,27,0.741,7,28,35,11,7,4,15,21,91,19596, 29-11 
43,85,0.506,19,42,13,19,0.684,4,32,36,29,7,6,12,24,118,20562, 30-11 
45,91,0.495,13,34,12,22,0.545,11,36,47,25,7,1,18,16,115,20562, 30-12 
43,93,0.462,15,37,21,25,0.84,11,34,45,24,6,3,11,20,122,17758, 30-13 
40,82,0.488,15,38,17,34,0.5,13,34,47,29,9,6,18,21,112,20562, 30-14 
49,92,0.533,13,36,13,20,0.65,9,38,47,26,4,5,14,14,124,20562, 31-14 
41,92,0.446,8,29,17,22,0.773,8,43,51,22,9,6,10,16,107,20562, 32-14 
35,75,0.467,12,32,15,21,0.714,6,36,42,17,6,3,17,17,97,20202, 32-15 
48,89,0.539,15,37,14,22,0.636,12,36,48,37,10,10,10,13,125,20562, 33-15 
41,84,0.488,16,40,13,18,0.722,12,37,49,20,3,0,15,19,111,19812, 34-15 
49,92,0.533,19,38,23,28,0.821,12,34,46,31,7,2,20,26,140,20356, 35-15 
46,84,0.548,16,36,24,26,0.923,5,34,39,24,7,5,9,16,132,17580, 36-15 
38,79,0.481,10,21,23,30,0.767,5,30,35,14,9,6,16,14,109,18203, 36-16 
46,84,0.548,15,30,18,22,0.818,8,37,45,30,9,3,15,16,125,20562, 37-16 
44,86,0.512,13,39,15,22,0.682,9,34,43,27,3,4,10,18,116,17738, 38-16 
39,82,0.476,18,39,17,19,0.895,9,31,40,23,6,2,8,19,113,20562, 39-16 
46,87,0.529,15,38,12,15,0.8,8,36,44,29,5,10,12,16,119,20562, 40-16 
37,80,0.463,14,37,11,15,0.733,4,36,40,24,5,3,12,17,99,20562, 40-17 
35,70,0.5,10,28,22,26,0.846,4,41,45,20,4,2,16,11,102,20562, 41-17 
37,91,0.407,10,33,15,22,0.682,12,29,41,20,3,5,10,21,99,18624, 41-18 
