fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
45,104,0.433,18,48,13,18,0.722,10,39,49,26,8,8,15,27,121,17923, 00-1 
35,80,0.438,8,29,20,24,0.833,6,28,34,13,11,2,9,21,98,20163, 00-2 
32,86,0.372,11,31,17,20,0.85,13,30,43,17,8,3,9,17,92,18055, 00-3 
33,77,0.429,7,26,8,10,0.8,6,30,36,18,4,4,12,20,81,19318, 00-4 
34,83,0.41,10,28,17,20,0.85,7,37,44,18,5,3,12,21,95,19475, 00-5 
33,88,0.375,9,38,11,12,0.917,10,36,46,14,12,2,15,20,86,19345, 01-5 
26,77,0.338,13,28,22,27,0.815,5,29,34,13,8,5,13,16,87,18846, 02-10 
35,74,0.473,8,27,13,20,0.65,10,30,40,16,10,3,17,23,91,18418, 02-11 
38,84,0.452,11,24,17,18,0.944,10,34,44,23,7,3,16,24,104,20042, 02-12 
37,91,0.407,8,35,8,12,0.667,11,28,39,29,5,4,13,21,90,20562, 02-13 
43,82,0.524,10,23,13,15,0.867,8,29,37,24,11,4,11,12,109,18997, 02-5 
34,86,0.395,6,28,21,28,0.75,13,29,42,20,10,2,7,20,95,19596, 02-6 
32,84,0.381,5,27,8,11,0.727,11,29,40,15,8,7,11,16,77,19812, 02-7 
34,83,0.41,8,23,7,10,0.7,5,27,32,16,9,3,9,19,83,18624, 02-8 
21,73,0.288,5,25,17,22,0.773,10,35,45,9,3,7,17,14,64,19715, 02-9 
32,77,0.416,10,27,17,20,0.85,11,35,46,19,7,3,12,18,91,19302, 03-13 
32,86,0.372,9,31,14,18,0.778,9,32,41,18,6,2,11,25,87,14471, 03-15 
40,87,0.46,13,31,14,18,0.778,13,29,42,31,11,2,10,19,107,19857, 04-15 
37,89,0.416,13,36,14,18,0.778,9,26,35,23,4,2,7,19,101,19228, 04-16 
32,78,0.41,10,30,15,20,0.75,9,31,40,17,7,5,20,22,89,19711, 04-17 
39,80,0.488,15,32,18,24,0.75,5,28,33,23,8,1,8,19,111,19486, 05-17 
32,79,0.405,11,34,12,14,0.857,6,26,32,18,7,3,9,18,87,15761, 05-18 
