fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,
37,83,0.446,8,24,25,33,0.758,11,47,58,18,7,4,24,22,107,15869,Denver Nuggets (01-0)
38,100,0.38,6,23,31,39,0.795,16,45,61,19,10,5,17,21,113,18055,Denver Nuggets (01-1)
33,81,0.407,9,22,27,35,0.771,11,35,46,14,2,9,8,18,102,19800,Denver Nuggets (01-2)
39,81,0.481,6,22,18,25,0.72,7,37,44,24,10,2,20,24,102,11219,Denver Nuggets (02-2)
31,94,0.33,7,25,17,20,0.85,16,32,48,15,8,2,16,15,86,16218,Denver Nuggets (02-3)
44,84,0.524,11,23,24,31,0.774,9,38,47,21,7,6,17,23,123,17452,Denver Nuggets (03-3)
35,70,0.5,10,24,27,34,0.794,6,33,39,24,6,4,22,23,107,15109,Denver Nuggets (03-4)
38,94,0.404,13,36,12,17,0.706,17,27,44,26,7,3,18,18,101,17569,Denver Nuggets (03-5)
36,84,0.429,9,25,14,19,0.737,14,28,42,15,6,4,15,14,95,13997,Denver Nuggets (03-6)
36,91,0.396,11,29,22,29,0.759,16,43,59,11,4,6,18,25,105,19362,Denver Nuggets (03-7)
45,93,0.484,8,17,22,24,0.917,14,35,49,23,8,4,14,24,120,10247,Denver Nuggets (04-7)
39,83,0.47,4,25,29,39,0.744,9,50,59,29,7,4,19,26,111,12476,Denver Nuggets (04-8)
42,86,0.488,8,22,13,30,0.433,12,37,49,31,4,3,8,19,105,12565,Denver Nuggets (05-8)
48,101,0.475,12,34,21,27,0.778,13,39,52,34,9,7,16,21,129,14327,Denver Nuggets (06-10)
43,100,0.43,10,22,14,17,0.824,17,38,55,26,5,6,10,14,110,14328,Denver Nuggets (06-8)
28,88,0.318,9,27,18,31,0.581,14,35,49,14,5,5,10,22,83,19229,Denver Nuggets (06-9)
39,89,0.438,13,29,29,32,0.906,10,39,49,21,5,1,12,25,120,15365,Denver Nuggets (07-10)
38,91,0.418,7,22,15,24,0.625,14,41,55,28,3,7,19,21,98,11471,Denver Nuggets (07-11)
46,104,0.442,9,31,9,16,0.563,24,30,54,22,5,4,16,20,110,15549,Denver Nuggets (07-12)
37,83,0.446,13,24,11,14,0.786,7,30,37,19,7,5,14,21,98,19911,Denver Nuggets (07-13)
35,76,0.461,10,27,26,34,0.765,10,35,45,17,13,8,19,20,106,11815,Denver Nuggets (08-13)
42,105,0.4,11,37,16,21,0.762,26,32,58,18,7,2,17,24,111,14159,Denver Nuggets (08-14)
31,76,0.408,7,32,16,24,0.667,14,31,45,24,8,2,27,24,85,12645,Denver Nuggets (08-15)
47,83,0.566,8,19,19,25,0.76,9,35,44,25,2,4,12,20,121,17010,Denver Nuggets (09-15)
35,83,0.422,7,25,15,18,0.833,20,23,43,19,6,3,16,15,92,19425,Denver Nuggets (09-16)
43,84,0.512,15,31,31,35,0.886,5,31,36,27,10,4,15,28,132,10022,Denver Nuggets (10-16)
50,90,0.556,10,27,17,29,0.586,11,30,41,26,6,7,10,27,127,12042,Denver Nuggets (11-16)
45,80,0.563,13,25,14,18,0.778,7,34,41,32,7,0,11,13,117,12581,Denver Nuggets (12-16)
39,90,0.433,11,39,13,20,0.65,15,31,46,22,5,1,12,15,102,19060,Denver Nuggets (12-17)
37,78,0.474,8,25,26,35,0.743,7,39,46,27,3,7,15,29,108,13823,Denver Nuggets (12-18)
36,82,0.439,11,31,23,28,0.821,11,40,51,22,10,1,14,18,106,19060,Denver Nuggets (13-18)
42,81,0.519,10,28,11,14,0.786,8,30,38,29,6,4,15,17,105,15093,Denver Nuggets (14-18)
39,84,0.464,11,27,33,41,0.805,11,34,45,29,5,1,10,26,122,13619,Denver Nuggets (14-19)
48,101,0.475,9,35,14,18,0.778,16,32,48,33,10,2,14,21,119,19596,Denver Nuggets (14-20)
41,82,0.5,18,38,13,13,1,4,28,32,29,6,4,14,18,113,11018,Denver Nuggets (14-21)
39,86,0.453,7,25,14,17,0.824,11,27,38,25,7,3,13,17,99,14391,Denver Nuggets (14-22)
40,99,0.404,9,24,17,24,0.708,15,38,53,18,7,4,12,23,106,18203,Denver Nuggets (14-23)
52,90,0.578,15,32,21,23,0.913,12,35,47,37,10,5,15,16,140,18689,Denver Nuggets (15-23)
52,89,0.584,9,27,12,15,0.8,9,30,39,33,11,3,14,17,125,11217,Denver Nuggets (16-23)
50,88,0.568,11,26,16,26,0.615,13,32,45,29,5,9,17,17,127,18412,Denver Nuggets (17-23)
37,91,0.407,10,31,20,26,0.769,11,32,43,27,5,7,15,19,104,18418,Denver Nuggets (17-24)
