fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
35,84,0.417,4,22,17,22,0.773,8,32,40,17,8,0,13,24,91,19800, 00-1 
48,95,0.505,7,19,5,6,0.833,9,44,53,27,8,4,12,11,108,19122, 01-1 
39,88,0.443,5,20,15,20,0.75,16,42,58,23,8,4,15,14,98,15161, 02-1 
41,89,0.461,8,13,12,21,0.571,10,38,48,19,7,5,10,16,102,13087, 03-1 
37,88,0.42,9,25,18,21,0.857,10,28,38,21,11,6,13,18,101,13650, 03-2 
40,84,0.476,7,20,16,22,0.727,9,38,47,22,9,9,13,16,103,16218, 04-2 
30,82,0.366,4,12,18,26,0.692,11,28,39,14,5,2,11,19,82,19060, 04-3 
32,89,0.36,9,22,27,32,0.844,9,32,41,20,11,5,11,24,100,16719, 04-4 
32,76,0.421,5,25,17,21,0.81,9,33,42,14,2,4,11,14,86,18418, 04-5 
46,90,0.511,4,18,10,14,0.714,11,26,37,23,11,1,9,16,106,13997, 05-5 
43,92,0.467,5,16,13,16,0.813,4,43,47,25,4,9,9,14,104,14172, 06-5 
42,85,0.494,8,23,10,12,0.833,8,32,40,19,6,1,10,14,102,19812, 06-6 
29,93,0.312,6,19,17,20,0.85,11,33,44,23,5,4,7,15,81,20562, 06-7 
37,86,0.43,7,20,11,16,0.688,11,39,50,22,5,4,5,13,92,16107, 06-8 
36,87,0.414,7,17,17,24,0.708,12,27,39,19,7,3,14,20,96,13632, 06-9 
40,81,0.494,6,19,21,25,0.84,10,39,49,22,8,7,13,19,107,14520, 07-9 
37,82,0.451,1,19,13,17,0.765,6,26,32,11,7,1,8,20,88,18203, 08-10 
47,90,0.522,9,19,5,7,0.714,9,33,42,26,7,0,10,22,108,17023, 08-9 
45,92,0.489,12,28,10,11,0.909,9,35,44,21,7,4,11,19,112,14266, 09-10 
48,87,0.552,9,20,16,21,0.762,13,39,52,28,4,8,11,19,121,17338, 10-10 
48,89,0.539,17,29,8,12,0.667,11,43,54,28,4,3,15,15,121,15500, 11-10 
38,86,0.442,10,27,6,13,0.462,10,34,44,16,8,3,12,12,92,15206, 11-11 
40,88,0.455,8,21,14,21,0.667,9,35,44,24,10,5,9,23,102,14305, 12-11 
34,89,0.382,4,27,5,8,0.625,7,50,57,21,3,8,12,18,77,15141, 12-12 
42,84,0.5,14,29,19,23,0.826,11,31,42,23,6,1,7,23,117,14109, 13-12 
32,82,0.39,5,19,10,14,0.714,10,24,34,15,15,2,15,18,79,7244, 13-13 
36,71,0.507,5,17,18,22,0.818,10,40,50,18,4,2,19,19,95,19687, 14-13 
42,86,0.488,10,28,14,21,0.667,10,30,40,22,3,1,9,19,108,15573, 14-14 
32,84,0.381,10,30,16,22,0.727,10,30,40,22,6,1,8,18,90,15231, 14-15 
34,83,0.41,3,23,11,13,0.846,10,22,32,19,8,3,11,8,82,21400, 14-16 
26,72,0.361,6,23,28,37,0.757,10,36,46,17,2,3,17,18,86,16033, 14-17 
43,85,0.506,10,29,17,28,0.607,5,31,36,22,12,3,13,22,113,21012, 14-18 
41,92,0.446,16,28,8,15,0.533,10,35,45,25,12,4,12,19,106,18123, 15-18 
39,88,0.443,6,24,10,16,0.625,11,33,44,28,4,1,10,12,94,17222, 15-19 
35,84,0.417,9,31,19,21,0.905,14,29,43,22,9,7,18,24,98,19009, 15-20 
42,86,0.488,9,22,14,22,0.636,10,38,48,16,7,5,12,18,107,19844, 16-20 
48,97,0.495,10,29,10,12,0.833,16,26,42,31,5,5,10,19,116,13435, 16-21 
39,97,0.402,10,28,27,32,0.844,16,40,56,24,2,6,7,23,115,13723, 17-21 
54,105,0.514,8,25,9,12,0.75,6,35,41,19,14,3,9,16,125,13506, 18-21 
36,82,0.439,12,27,10,16,0.625,8,27,35,14,12,9,12,24,94,17608, 18-22 
43,88,0.489,6,28,15,20,0.75,9,31,40,20,10,4,19,19,107,19596, 18-23 
30,76,0.395,6,17,11,16,0.688,3,32,35,15,5,4,13,16,77,19911, 18-24 
41,95,0.432,9,25,11,16,0.688,10,36,46,24,6,6,7,22,102,18997, 19-24 
45,91,0.495,10,25,18,28,0.643,18,42,60,27,6,0,12,29,118,15159, 20-24 
43,87,0.494,11,28,16,22,0.727,13,36,49,25,9,4,20,27,113,18231, 21-24 
41,82,0.5,10,28,12,17,0.706,6,32,38,27,8,1,15,21,104,14017, 21-25 
46,89,0.517,4,12,7,12,0.583,13,29,42,11,6,3,12,16,103,19600, 21-26 
43,97,0.443,3,27,20,29,0.69,12,39,51,18,6,7,7,23,109,18188, 21-27 
