fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
40,85,0.471,7,33,13,18,0.722,8,27,35,24,11,6,16,19,100,19596,(0-1)
44,91,0.484,9,28,25,28,0.893,9,40,49,32,8,2,14,22,122,18217,(01-01)
35,83,0.422,8,29,28,33,0.848,7,36,43,27,6,5,15,23,106,17011,(02-01)
50,89,0.562,10,26,17,23,0.739,7,38,45,36,14,4,16,19,127,19393,(03-01)
46,89,0.517,14,30,16,20,0.8,15,31,46,27,9,14,15,18,122,19596,(04-01)
39,86,0.453,5,32,14,20,0.7,9,31,40,26,13,3,20,13,97,18997,(04-02)
45,90,0.5,16,35,10,12,0.833,10,28,38,35,14,4,15,17,116,19596,(05-02)
43,74,0.581,17,33,13,22,0.591,5,34,39,33,3,5,15,22,116,19596,(06-02)
46,85,0.541,14,30,19,20,0.95,9,35,44,33,15,6,15,18,125,17569,(07-02)
45,87,0.517,16,33,27,31,0.871,8,35,43,32,8,7,16,20,133,19596,(08-02)
44,87,0.506,13,36,26,28,0.929,7,28,35,33,9,7,12,25,127,21050,(09-02)
44,90,0.489,9,28,7,12,0.583,9,41,50,33,10,7,11,20,104,18624,(10-2)
42,95,0.442,14,38,26,32,0.813,18,27,45,30,8,5,12,25,124,18717,(11-2)
40,90,0.444,13,36,27,32,0.844,12,48,60,31,9,10,12,17,120,17923,(12-2)
53,86,0.616,19,36,24,35,0.686,6,42,48,47,7,5,10,20,149,19596,(13-2)
43,83,0.518,11,28,12,17,0.706,4,40,44,31,10,10,17,21,109,18997,(14-2)
45,81,0.556,11,22,14,17,0.824,12,33,45,25,9,8,18,14,115,19596,(15-2)
37,85,0.435,12,35,19,24,0.792,7,34,41,25,6,10,14,20,105,19596,(16-2)
43,104,0.413,12,44,29,37,0.784,13,41,54,31,12,7,17,27,127,19596,(16-3)
49,78,0.628,14,21,26,34,0.765,6,32,38,37,9,5,17,19,138,19596,(17-3)
54,104,0.519,14,37,20,26,0.769,16,38,54,45,12,13,11,22,142,19596,(18-3)
42,89,0.472,7,31,24,29,0.828,12,34,46,32,11,5,10,24,115,19239,(19-3)
39,80,0.488,12,29,16,23,0.696,9,38,47,26,10,4,16,23,106,19911,(20-3)
34,77,0.442,9,27,12,20,0.6,10,32,42,15,6,8,23,23,89,18119,(20-4)
38,83,0.458,13,32,27,30,0.9,6,31,37,30,9,4,8,24,116,18452,(21-4)
42,95,0.442,14,34,15,19,0.789,9,36,45,30,6,5,12,12,113,17789,(22-4)
45,96,0.469,9,32,4,8,0.5,15,42,57,41,7,10,17,17,103,19596,(23-4)
51,87,0.586,14,28,19,26,0.731,9,47,56,36,7,5,15,16,135,19596,(24-4)
40,90,0.444,9,23,15,17,0.882,9,41,50,24,13,3,10,18,104,19596,(25-4)
47,104,0.452,12,37,11,14,0.786,11,40,51,29,19,7,12,19,117,17732,(26-4)
43,77,0.558,11,27,22,24,0.917,4,37,41,35,9,2,22,21,119,21012,(27-4)
37,77,0.481,9,30,25,29,0.862,5,37,42,25,8,4,19,24,108,20562,(27-5)
46,81,0.568,14,23,15,18,0.833,9,42,51,33,4,9,20,16,121,19596,(28-5)
42,84,0.5,11,33,13,15,0.867,4,39,43,31,5,4,13,12,108,19596,(29-5)
50,95,0.526,11,25,16,21,0.762,12,31,43,33,7,2,13,14,127,19596,(30-5)
44,87,0.506,13,36,24,29,0.828,8,31,39,31,14,9,15,20,125,19596,(31-5)
41,83,0.494,8,30,29,39,0.744,7,37,44,23,7,5,16,21,119,19596,(31-6)
45,89,0.506,10,29,17,20,0.85,13,33,46,33,11,6,17,22,117,17608,(32-6)
39,86,0.453,11,27,18,22,0.818,5,43,48,28,6,7,11,16,107,19596,(33-6)
50,89,0.562,15,29,12,18,0.667,6,31,37,39,14,4,18,14,127,19596,(34-6)
46,91,0.505,15,34,19,24,0.792,11,47,58,37,10,11,16,22,126,19596,(35-6)
46,85,0.541,10,21,19,27,0.704,11,35,46,35,11,8,18,16,121,19596,(36-6)
47,89,0.528,15,38,16,21,0.762,8,33,41,30,8,7,14,18,125,18055,(37-6)
42,89,0.472,19,42,15,19,0.789,13,39,52,27,8,4,18,15,118,18846,(38-6)
41,88,0.466,8,30,12,20,0.6,7,36,43,27,9,4,14,20,102,19600,(38-7)
39,82,0.476,11,28,24,27,0.889,5,36,41,23,7,14,12,19,113,19639,(39-7)
57,92,0.62,17,34,13,16,0.813,9,39,48,35,9,7,11,17,144,19596,(40-7)
36,79,0.456,8,26,33,39,0.846,8,31,39,28,13,6,18,18,113,19393,(41-7)
47,96,0.49,21,48,11,14,0.786,9,38,47,35,9,13,10,18,126,19596,(42-7)
52,99,0.525,14,34,15,18,0.833,15,31,46,38,10,2,11,26,133,19385,(43-7)
36,87,0.414,15,44,19,24,0.792,7,33,40,22,10,10,17,17,106,17608,(43-8)
48,85,0.565,15,28,12,13,0.923,5,40,45,37,9,5,12,17,123,19596,(44-8)
39,77,0.506,15,33,29,38,0.763,5,29,34,31,14,13,12,26,122,18119,(45-8)
