fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
44,86,0.512,7,29,19,27,0.704,10,29,39,29,10,1,14,23,114,18997, (0-1)
33,70,0.471,15,32,25,31,0.806,5,36,41,21,6,1,18,22,106,20163, (01-01)
34,81,0.42,11,31,14,21,0.667,9,38,47,16,5,4,17,21,93,18055, (02-01)
43,90,0.478,17,44,17,25,0.68,11,21,32,30,5,2,7,25,120,20562, (02-02)
42,89,0.472,15,40,19,27,0.704,19,35,54,25,12,8,19,21,118,19812, (03-02)
37,85,0.435,12,36,11,13,0.846,12,31,43,22,9,7,26,26,97,16895, (03-03)
41,79,0.519,17,37,15,18,0.833,6,31,37,28,6,7,18,18,114,13173, (04-03)
37,78,0.474,10,30,17,22,0.773,8,37,45,25,7,4,19,24,101,18418, (05-03)
34,89,0.382,15,47,17,21,0.81,16,30,46,22,6,4,14,19,100,18055, (05-04)
44,91,0.484,17,40,10,17,0.588,16,39,55,20,6,10,17,19,115,13183, (06-04)
40,92,0.435,14,40,9,14,0.643,12,35,47,25,10,4,16,10,103,18203, (06-05)
46,95,0.484,14,32,20,25,0.8,17,37,54,26,6,6,13,17,126,15550, (07-05)
42,94,0.447,12,32,15,20,0.75,10,29,39,28,8,3,4,16,111,14760, (08-05)
35,78,0.449,10,31,19,27,0.704,12,34,46,22,4,6,15,20,99,13632, (09-05)
38,78,0.487,14,42,12,12,1,11,28,39,29,6,7,26,22,102,"18,055", (09-06)
40,85,0.471,21,50,16,20,0.8,8,34,42,27,8,2,14,19,117,17608, (10-6)
46,82,0.561,17,36,21,28,0.75,7,29,36,26,7,8,11,23,130,19393, (11-6)
37,91,0.407,11,30,16,22,0.727,15,23,38,14,5,6,7,20,101,19911, (11-7)
48,108,0.444,14,44,22,30,0.733,15,41,56,26,11,4,19,28,132,19596, (12-7)
45,88,0.511,17,37,21,25,0.84,10,31,41,25,11,7,11,14,128,15549, (13-7)
34,76,0.447,12,38,27,31,0.871,7,39,46,20,8,7,16,14,107,15730, (14-7)
51,94,0.543,15,36,17,21,0.81,15,37,52,35,20,2,20,22,134,16141, (15-7)
36,92,0.391,11,42,19,30,0.633,16,36,52,26,9,1,15,24,102,18203, (16-7)
37,74,0.5,19,37,16,22,0.727,10,38,48,31,4,1,15,16,109,15761, (17-7)
42,91,0.462,17,43,21,36,0.583,11,28,39,23,10,5,14,25,122,13619, (18-7)
50,85,0.588,22,42,10,16,0.625,8,39,47,40,8,5,16,11,132,15039, (19-7)
42,94,0.447,24,61,14,19,0.737,13,44,57,27,7,4,14,18,122,16728, (20-7)
39,96,0.406,17,51,16,20,0.8,10,37,47,25,14,4,16,22,111,14689, (21-7)
35,92,0.38,6,38,24,27,0.889,20,31,51,22,10,5,16,17,100,18055, (21-8)
46,86,0.535,18,38,15,26,0.577,9,28,37,30,4,8,11,22,125,18055, (22-8)
38,89,0.427,20,52,13,15,0.867,10,30,40,27,5,3,13,22,109,17454, (22-9)
46,92,0.5,15,43,24,30,0.8,10,37,47,28,11,4,20,22,131,18055, (23-9)
41,78,0.526,17,32,24,28,0.857,10,37,47,23,7,5,16,22,123,20425, (24-9)
45,81,0.556,14,40,36,43,0.837,9,36,45,29,12,5,13,17,140,18055, (25-9)
42,92,0.457,21,55,24,29,0.828,10,36,46,30,3,2,13,20,129,18055, (26-9)
37,86,0.43,12,39,15,21,0.714,7,34,41,25,9,9,13,12,101,16569, (27-9)
41,86,0.477,15,39,21,30,0.7,9,34,43,27,6,3,9,20,118,18055, (28-9)
