fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
47,93,0.505,10,19,26,34,0.765,8,44,52,30,11,6,16,23,130,17923, 01-0 
37,98,0.378,7,24,13,20,0.65,14,35,49,22,7,6,13,22,94,17732, 01-1 
43,88,0.489,7,18,8,9,0.889,8,25,33,34,8,7,13,16,101,21373, 01-2 
41,87,0.471,10,28,23,29,0.793,11,32,43,19,10,8,15,20,115,15348, 02-2 
38,81,0.469,10,23,21,27,0.778,10,22,32,29,14,4,21,23,107,11374, 02-3 
46,86,0.535,12,26,7,12,0.583,8,28,36,27,8,9,11,20,111,17020, 03-3 
40,94,0.426,9,33,11,15,0.733,12,40,52,23,8,4,18,25,100,16880, 03-4 
49,90,0.544,9,19,15,20,0.75,7,36,43,25,9,6,16,17,122,15360, 04-4 
39,88,0.443,5,19,22,23,0.957,4,36,40,23,14,3,13,28,105,17643, 04-5 
36,86,0.419,6,27,21,28,0.75,11,29,40,17,9,9,13,22,99,17923, 04-6 
35,90,0.389,8,25,10,10,1,7,42,49,22,9,9,9,14,88,14825, 05-6 
43,86,0.5,10,28,7,11,0.636,5,35,40,22,8,12,10,16,103,17022, 06-6 
36,76,0.474,1,7,23,29,0.793,10,25,35,18,5,8,18,19,96,16780, 06-7 
40,89,0.449,11,22,24,31,0.774,15,36,51,23,13,2,22,20,115,18203, 07-7 
33,103,0.32,6,23,11,12,0.917,15,34,49,13,5,4,11,23,83,17923, 07-8 
34,84,0.405,7,27,10,14,0.714,7,30,37,16,15,5,18,20,85,16032, 07-9 
48,87,0.552,11,26,11,16,0.688,9,38,47,25,11,5,14,19,118,16083, 08-9 
36,72,0.5,6,14,31,35,0.886,4,28,32,19,3,4,15,14,109,19107, 09-10 
40,92,0.435,5,19,6,7,0.857,13,39,52,26,8,4,13,21,91,15572, 09-9 
39,79,0.494,5,14,28,35,0.8,5,31,36,21,9,2,9,24,111,19060, 10-10 
35,85,0.412,3,15,33,35,0.943,9,31,40,20,10,5,14,21,106,19596, 10-11 
35,78,0.449,7,23,32,41,0.78,12,37,49,16,11,3,18,16,109,17452, 11-11 
32,69,0.464,14,25,25,26,0.962,4,34,38,21,5,4,13,18,103,19486, 11-12 
40,83,0.482,15,29,23,28,0.821,10,29,39,24,11,9,13,13,118,16211, 12-12 
43,88,0.489,17,36,7,10,0.7,5,37,42,24,4,11,11,21,110,14138, 13-12 
33,89,0.371,9,27,14,17,0.824,6,32,38,14,8,5,8,21,89,19600, 13-13 
36,87,0.414,3,21,20,24,0.833,7,39,46,23,6,4,12,21,95,15472, 13-14 
40,83,0.482,6,19,19,25,0.76,9,42,51,20,6,3,9,16,105,15231, 14-14 
41,87,0.471,7,21,18,21,0.857,9,32,41,18,6,5,15,20,107,17686, 15-14 
39,91,0.429,6,23,27,33,0.818,11,33,44,22,10,5,9,14,111,19812, 15-15 
35,82,0.427,7,23,25,29,0.862,8,42,50,20,5,3,19,21,102,17577, 15-16 
34,81,0.42,9,25,8,10,0.8,9,31,40,26,5,5,16,21,85,21922, 15-17 
35,79,0.443,11,28,24,29,0.828,5,29,34,24,10,4,13,29,105,16172, 15-18 
39,81,0.481,7,19,26,30,0.867,8,34,42,26,7,6,11,22,111,17923, 16-18 
43,86,0.5,9,22,22,24,0.917,8,38,46,28,5,5,11,16,117,17530, 17-18 
43,74,0.581,9,16,26,30,0.867,6,28,34,26,7,7,11,8,121,13435, 18-18 
