fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
37,91,0.407,8,29,32,46,0.696,15,33,48,12,10,4,7,25,114,19500, 01-0 
34,83,0.41,6,27,14,20,0.7,14,35,49,17,8,4,13,14,88,19060, 02-0 
40,80,0.5,6,16,30,38,0.789,5,39,44,21,8,4,16,23,116,19060, 03-0 
34,87,0.391,7,22,8,18,0.444,8,33,41,22,13,5,17,19,83,19060, 03-1 
32,85,0.376,8,27,27,33,0.818,11,36,47,19,17,6,11,23,99,17115, 04-1 
47,91,0.516,9,23,13,14,0.929,7,34,41,24,8,6,8,19,116,18418, 05-1 
41,76,0.539,13,25,19,22,0.864,2,44,46,28,8,7,10,20,114,19060, 06-1 
38,87,0.437,11,32,24,33,0.727,14,41,55,24,9,7,7,15,111,19060, 07-1 
39,86,0.453,11,27,21,35,0.6,11,34,45,18,9,3,10,20,110,18203, 08-1 
40,76,0.526,11,24,28,37,0.757,9,33,42,25,7,4,14,19,119,14494, 09-1 
48,90,0.533,14,25,17,21,0.81,9,34,43,32,17,6,11,22,127,19060, 10-1 
37,81,0.457,9,25,24,34,0.706,8,27,35,15,13,7,8,19,107,19060, 10-2 
40,76,0.526,13,29,28,34,0.824,5,32,37,27,7,6,14,24,121,17608, 11-2 
36,77,0.468,11,27,19,23,0.826,11,27,38,20,6,2,13,20,102,19060, 12-2 
39,74,0.527,10,25,35,42,0.833,6,36,42,23,5,4,14,24,123,19060, 13-2 
43,85,0.506,15,32,23,31,0.742,6,37,43,26,11,4,9,17,124,20042, 14-2 
35,73,0.479,7,21,20,26,0.769,6,27,33,26,4,5,14,16,97,17023, 14-3 
22,70,0.314,4,24,22,27,0.815,6,34,40,11,9,4,20,13,70,15572, 14-4 
46,109,0.422,13,40,17,22,0.773,11,45,56,21,10,3,14,29,122,15681, 14-5 
