fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
45,89,0.506,12,35,18,22,0.818,11,28,39,21,10,4,15,24,120,18997, 01-0 
32,84,0.381,9,23,16,21,0.762,11,32,43,16,6,7,14,29,89,19911, 01-1 
35,87,0.402,7,32,19,24,0.792,11,30,41,20,15,2,21,18,96,18203, 01-2 
40,89,0.449,6,28,22,25,0.88,11,33,44,14,8,2,19,25,108,15348, 01-3 
48,90,0.533,9,22,18,20,0.9,11,31,42,24,11,9,15,25,123,13800, 02-3 
45,95,0.474,8,30,19,21,0.905,16,35,51,26,9,5,16,19,117,18997, 03-3 
41,90,0.456,10,23,27,35,0.771,15,38,53,22,8,5,19,22,119,18997, 04-3 
38,78,0.487,10,26,11,14,0.786,8,29,37,20,6,1,16,19,97,18997, 04-4 
38,74,0.514,9,27,16,22,0.727,4,38,42,18,8,2,21,19,101,17608, 05-4 
52,94,0.553,16,30,6,7,0.857,10,37,47,36,8,5,10,17,126,17138, 06-4 
33,71,0.465,8,24,25,30,0.833,5,34,39,16,6,5,17,31,99,14432, 06-5 
41,92,0.446,9,28,34,43,0.791,14,41,55,24,9,2,11,17,125,18426, 07-5 
39,87,0.448,12,25,17,21,0.81,15,30,45,24,6,1,13,21,107,18997, 07-6 
41,93,0.441,13,31,15,21,0.714,10,27,37,26,11,3,10,19,110,18997, 07-7 
42,83,0.506,14,27,13,16,0.813,6,29,35,25,8,7,17,17,111,18997, 08-7 
40,93,0.43,8,20,18,22,0.818,7,30,37,22,5,1,11,25,106,19596, 08-8 
32,90,0.356,5,22,16,23,0.696,14,31,45,20,12,3,18,16,85,18997, 08-9 
37,87,0.425,5,30,9,18,0.5,9,38,47,26,8,5,12,17,88,14024, 09-10 
42,95,0.442,8,20,17,20,0.85,15,38,53,20,7,2,9,15,109,18997, 09-9 
33,81,0.407,2,8,28,41,0.683,18,42,60,17,12,3,23,24,96,21773, 10-10 
32,93,0.344,6,26,10,17,0.588,19,27,46,16,6,2,16,18,80,19800, 10-11 
35,81,0.432,7,21,23,29,0.793,14,30,44,16,7,4,18,18,100,17017, 10-12 
39,87,0.448,5,14,18,23,0.783,15,28,43,15,8,1,10,23,101,18279, 10-13 
34,87,0.391,5,20,22,27,0.815,14,25,39,14,13,4,27,22,95,16141, 10-14 
40,87,0.46,9,26,26,34,0.765,10,39,49,18,4,2,15,21,115,18997, 10-15 
42,88,0.477,10,28,18,22,0.818,9,32,41,26,7,1,14,22,112,18997, 10-16 
33,84,0.393,10,23,16,21,0.762,17,22,39,18,12,3,19,16,92,17608, 10-17 
35,91,0.385,6,27,21,34,0.618,18,31,49,11,8,6,10,26,97,17732, 10-18 
36,79,0.456,9,30,19,22,0.864,8,38,46,19,10,4,20,21,100,20491, 11-18 
41,86,0.477,16,37,10,13,0.769,10,31,41,30,3,2,11,16,108,20562, 11-19 
44,90,0.489,16,33,9,11,0.818,10,30,40,29,5,12,12,20,113,19093, 11-20 
40,90,0.444,14,38,13,15,0.867,9,31,40,18,7,2,13,14,107,19712, 11-21 
31,87,0.356,8,23,20,24,0.833,12,34,46,16,8,6,16,14,90,18846, 11-22 
40,84,0.476,8,25,23,30,0.767,13,35,48,18,7,3,13,21,111,18997, 12-22 
39,83,0.47,4,16,18,22,0.818,15,25,40,19,8,3,14,21,100,18997, 12-23 
32,68,0.471,7,19,18,25,0.72,7,27,34,15,8,1,15,18,89,18997, 12-24 
37,92,0.402,15,32,25,31,0.806,16,27,43,19,8,3,7,21,114,18997, 12-25 
42,82,0.512,17,33,15,28,0.536,9,34,43,34,5,2,9,23,116,18997, 13-25 
36,86,0.419,10,31,27,33,0.818,10,30,40,15,7,3,11,25,109,19403, 13-26 
48,96,0.5,10,28,21,29,0.724,18,44,62,22,6,2,11,22,127,18997, 14-26 
42,87,0.483,8,32,19,24,0.792,6,41,47,23,8,5,13,21,111,18997, 15-26 
32,83,0.386,9,24,14,26,0.538,9,29,38,18,7,5,10,18,87,18483, 15-27 
35,85,0.412,6,20,18,25,0.72,9,20,29,23,6,3,9,25,94,18418, 15-28 
36,80,0.45,10,21,15,27,0.556,6,34,40,21,3,2,14,20,97,19060, 15-29 
36,83,0.434,6,26,19,24,0.792,9,41,50,19,2,4,14,18,97,18997, 15-30 
47,108,0.435,11,30,16,18,0.889,20,23,43,28,11,5,12,21,121,18412, 15-31 
41,87,0.471,14,33,12,15,0.8,16,35,51,27,15,3,23,20,108,18997, 16-31 
28,73,0.384,3,21,14,17,0.824,5,27,32,11,3,4,17,20,73,19484, 16-32 
37,94,0.394,11,30,13,14,0.929,14,37,51,16,5,9,13,17,98,19393, 16-33 
36,84,0.429,4,14,12,13,0.923,10,38,48,13,5,2,12,24,88,19911, 16-34 
47,89,0.528,12,26,14,18,0.778,10,34,44,25,7,10,15,16,120,18997, 17-34 
40,87,0.46,12,39,16,22,0.727,12,35,47,19,6,8,20,23,108,16473, 17-35 
37,94,0.394,14,38,19,26,0.731,15,37,52,24,9,3,12,23,107,18624, 17-36 
44,102,0.431,8,28,25,31,0.806,20,35,55,19,9,5,7,28,121,19812, 18-36 
37,86,0.43,6,23,22,26,0.846,7,34,41,21,7,3,21,21,102,15121, 18-37 
39,75,0.52,15,31,29,35,0.829,6,27,33,25,9,3,17,24,122,16380, 19-37 
38,83,0.458,12,29,8,15,0.533,13,30,43,22,10,3,17,21,96,19997, 19-38 
35,93,0.376,9,26,22,28,0.786,7,29,36,16,9,3,12,27,101,18055, 19-39 
40,101,0.396,7,35,6,14,0.429,15,36,51,23,15,8,13,19,93,18203, 19-40 
40,87,0.46,7,22,11,18,0.611,13,31,44,16,8,2,18,18,98,18997, 19-41 
41,84,0.488,12,32,10,13,0.769,6,33,39,22,9,5,14,23,104,18997, 19-42 
37,87,0.425,6,24,15,20,0.75,6,28,34,23,11,7,14,21,95,18997, 19-43 
38,83,0.458,10,28,11,15,0.733,11,38,49,22,7,5,25,24,97,18997, 19-44 
42,90,0.467,11,30,16,22,0.727,11,33,44,25,9,3,11,20,111,20484, 19-45 
47,98,0.48,12,27,16,24,0.667,14,28,42,21,11,7,9,20,122,17552, 20-45 
44,88,0.5,4,20,24,28,0.857,7,33,40,24,10,10,15,21,116,18997, 20-46 
42,97,0.433,6,20,11,19,0.579,16,30,46,17,10,3,16,21,101,17344, 20-47 
42,91,0.462,3,25,13,18,0.722,9,29,38,16,10,0,22,25,100,18055, 20-48 
38,84,0.452,11,29,16,26,0.615,11,29,40,24,7,4,14,20,103,18997, 20-49 
47,91,0.516,11,27,15,19,0.789,10,30,40,23,5,1,5,25,120,18997, 20-50 
43,92,0.467,6,20,17,27,0.63,14,27,41,23,8,3,8,22,109,18724, 20-51 
46,88,0.523,14,23,24,28,0.857,9,33,42,26,6,2,20,23,130,18997, 21-51 
33,84,0.393,5,21,10,17,0.588,1,41,42,19,6,3,10,17,81,18698, 21-52 
43,85,0.506,8,22,14,16,0.875,11,32,43,21,6,9,18,19,108,18997, 21-53 
40,84,0.476,9,27,15,16,0.938,14,28,42,20,4,5,16,22,104,18179, 21-54 
39,90,0.433,6,23,20,30,0.667,15,26,41,26,12,2,11,27,104,19060, 21-55 
40,85,0.471,7,19,21,27,0.778,17,34,51,14,11,2,13,12,108,18997, 22-55 
42,86,0.488,7,14,11,14,0.786,8,39,47,23,8,5,16,13,102,18418, 23-55 
38,86,0.442,4,24,18,25,0.72,16,25,41,20,12,1,14,15,98,18997, 24-55 
42,86,0.488,10,27,16,20,0.8,12,28,40,26,10,8,16,23,110,18997, 25-55 
42,88,0.477,8,22,16,23,0.696,8,39,47,24,15,3,11,18,108,18997, 26-55 
41,93,0.441,4,17,8,14,0.571,11,29,40,23,13,2,18,22,94,19596, 26-56 
