fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
36,80,0.45,11,24,19,27,0.704,11,34,45,19,6,11,13,25,102,18119, 01-0 
37,86,0.43,9,25,21,26,0.808,11,29,40,19,3,2,12,30,104,19812, 01-1 
39,88,0.443,15,31,19,26,0.731,11,36,47,24,9,2,14,26,112,15573, 02-1 
27,75,0.36,4,24,22,29,0.759,8,24,32,10,17,4,20,22,80,14774, 02-2 
33,94,0.351,8,27,15,20,0.75,13,39,52,20,12,5,17,22,89,15881, 03-2 
31,84,0.369,9,26,17,22,0.773,13,35,48,26,4,9,18,28,88,17115, 03-3 
31,81,0.383,6,26,26,32,0.813,12,32,44,15,9,5,13,20,94,16233, 03-4 
44,86,0.512,7,24,13,19,0.684,8,24,32,29,14,5,14,30,108,15109, 04-4 
35,78,0.449,6,30,20,21,0.952,3,29,32,20,8,4,13,26,96,14327, 04-5 
36,76,0.474,8,21,22,26,0.846,14,30,44,13,4,2,16,26,102,18176, 05-5 
40,82,0.488,15,26,16,19,0.842,9,34,43,24,6,2,15,22,111,19060, 06-5 
31,77,0.403,9,25,9,12,0.75,7,41,48,16,7,3,12,25,80,19715, 07-5 
29,76,0.382,2,18,33,38,0.868,13,33,46,15,8,7,9,19,93,17112, 08-5 
40,84,0.476,12,26,13,17,0.765,6,34,40,24,7,8,10,24,105,14181, 09-5 
38,99,0.384,10,29,18,24,0.75,9,37,46,24,13,9,15,28,104,15880, 10-5 
29,82,0.354,4,19,19,23,0.826,16,35,51,14,3,14,17,16,81,17222, 10-6 
37,73,0.507,9,25,27,33,0.818,2,32,34,23,5,5,6,19,110,19600, 11-6 
36,89,0.404,7,29,6,13,0.462,8,34,42,21,10,4,12,25,85,13143, 11-7 
36,82,0.439,11,27,22,26,0.846,12,18,30,16,13,1,14,25,105,19800, 11-8 
33,79,0.418,7,18,22,28,0.786,8,31,39,18,9,9,10,25,95,13344, 12-8 
41,88,0.466,10,30,11,15,0.733,14,29,43,32,13,7,11,19,103,17017, 13-8 
42,104,0.404,13,34,13,21,0.619,13,48,61,23,8,4,14,22,110,13795, 14-8 
33,86,0.384,2,17,28,35,0.8,12,41,53,18,8,5,13,25,96,13521, 15-8 
31,87,0.356,6,20,20,30,0.667,15,43,58,13,8,2,12,28,88,14317, 16-8 
