fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
47,97,0.485,4,16,10,16,0.625,16,36,52,27,5,7,10,22,108,19298, 01-0 
32,86,0.372,14,34,13,20,0.65,11,41,52,19,2,4,19,23,91,19600, 01-1 
37,80,0.463,7,20,18,26,0.692,6,30,36,19,7,6,12,24,99,19678, 01-2 
37,86,0.43,13,29,21,29,0.724,6,39,45,24,10,9,15,21,108,19612, 02-2 
34,88,0.386,9,28,10,15,0.667,12,31,43,19,10,5,13,22,87,19800, 02-3 
31,84,0.369,4,17,19,22,0.864,12,29,41,12,8,7,12,16,85,18203, 02-4 
36,88,0.409,13,29,10,15,0.667,14,32,46,22,8,5,13,19,95,19600, 02-5 
38,81,0.469,5,17,10,19,0.526,4,35,39,21,5,4,8,17,91,19600, 02-6 
37,84,0.44,4,15,12,21,0.571,10,31,41,22,14,8,13,23,90,18418, 02-7 
36,89,0.404,7,23,11,14,0.786,17,31,48,13,11,7,23,23,90,19600, 02-8 
39,97,0.402,7,30,11,21,0.524,17,42,59,19,5,8,7,18,96,19600, 03-8 
27,75,0.36,7,26,23,30,0.767,7,30,37,19,5,4,14,22,84,14520, 04-10 
43,85,0.506,13,27,15,26,0.577,17,30,47,21,6,7,16,21,114,15848, 04-8 
34,88,0.386,7,31,19,28,0.679,21,29,50,17,7,6,13,22,94,16477, 04-9 
33,85,0.388,12,31,12,18,0.667,10,34,44,17,8,8,8,21,90,17222, 05-10 
40,81,0.494,11,31,16,24,0.667,8,31,39,18,3,6,9,21,107,19600, 05-11 
38,80,0.475,6,30,22,32,0.688,7,34,41,24,6,2,13,25,104,19600, 05-12 
41,93,0.441,9,24,15,26,0.577,11,37,48,26,14,7,6,25,106,11471, 06-12 
44,86,0.512,8,19,15,19,0.789,13,27,40,16,7,2,6,15,111,19073, 07-12 
38,86,0.442,6,22,10,15,0.667,8,38,46,23,6,6,13,14,92,19393, 07-13 
38,89,0.427,11,25,16,27,0.593,16,30,46,21,8,4,10,16,103,19610, 07-14 
34,80,0.425,11,27,16,20,0.8,8,25,33,20,6,6,16,16,95,11326, 07-15 
31,90,0.344,6,27,16,21,0.762,23,23,46,18,6,3,13,18,84,20562, 07-16 
42,91,0.462,5,20,11,18,0.611,14,29,43,25,5,5,12,22,100,21450, 07-17 
45,88,0.511,9,26,13,19,0.684,11,36,47,25,6,3,11,18,112,19600, 08-17 
37,82,0.451,7,25,14,25,0.56,14,44,58,23,4,6,15,16,95,19600, 09-17 
38,93,0.409,6,27,16,25,0.64,10,37,47,20,5,5,4,23,98,19600, 09-18 
36,69,0.522,9,24,14,25,0.56,6,35,41,23,7,5,23,20,95,19600, 09-19 
50,108,0.463,12,30,18,26,0.692,9,39,48,22,4,6,10,30,130,19600, 09-20 
45,84,0.536,11,22,14,21,0.667,10,37,47,25,7,6,12,15,115,19712, 10-20 
36,87,0.414,8,20,7,13,0.538,11,48,59,19,4,4,14,20,87,16322, 10-21 
36,82,0.439,7,22,15,21,0.714,9,23,32,14,10,4,12,23,94,19977, 10-22 
33,82,0.402,10,28,6,13,0.462,4,42,46,26,6,10,16,19,82,19471, 10-23 
48,90,0.533,11,28,7,10,0.7,9,30,39,35,7,8,12,20,114,18624, 10-24 
35,77,0.455,14,26,14,18,0.778,3,31,34,25,6,4,10,22,98,19844, 10-25 
36,91,0.396,6,23,12,16,0.75,15,28,43,18,8,4,12,23,90,16772, 10-26 
35,72,0.486,12,28,25,29,0.862,7,32,39,24,8,9,18,20,107,17608, 11-26 
38,92,0.413,8,32,16,27,0.593,11,30,41,17,5,7,10,23,100,18997, 11-27 
31,84,0.369,7,27,17,21,0.81,11,39,50,14,6,5,15,21,86,19060, 11-28 
38,90,0.422,6,30,13,17,0.765,6,40,46,25,6,4,11,22,95,19596, 11-29 
41,83,0.494,12,32,14,18,0.778,4,23,27,33,6,8,8,21,108,17483, 11-30 
42,90,0.467,9,29,16,24,0.667,11,41,52,21,11,1,15,24,109,19600, 12-30 
35,73,0.479,9,20,20,29,0.69,6,34,40,16,4,1,13,15,99,19600, 13-30 
41,77,0.532,13,30,14,22,0.636,5,34,39,18,8,3,11,24,109,19600, 14-30 
38,86,0.442,13,30,16,27,0.593,11,34,45,20,9,4,13,19,105,19600, 15-30 
40,83,0.482,11,23,18,25,0.72,6,34,40,23,7,6,10,25,109,14929, 16-30 
41,89,0.461,9,24,9,11,0.818,7,33,40,25,14,2,10,17,100,22082, 17-30 
42,80,0.525,14,28,18,23,0.783,9,29,38,18,6,6,11,19,116,19600, 18-30 
39,82,0.476,11,26,15,23,0.652,5,29,34,22,9,8,11,18,104,19600, 19-30 
45,93,0.484,12,32,14,19,0.737,10,37,47,23,10,11,12,18,116,19600, 20-30 
48,82,0.585,12,22,17,23,0.739,10,39,49,28,6,5,21,24,125,19754, 21-30 
45,86,0.523,15,28,10,14,0.714,13,25,38,27,5,5,17,21,115,12502, 22-30 
41,86,0.477,11,33,13,18,0.722,14,34,48,23,5,5,15,21,106,14211, 23-30 
41,92,0.446,7,23,19,21,0.905,13,33,46,16,11,7,14,21,108,15382, 24-30 
39,85,0.459,7,24,24,28,0.857,11,38,49,15,4,4,19,27,109,20698, 24-31 
39,83,0.47,6,22,23,27,0.852,6,31,37,14,7,7,14,25,107,19600, 24-32 
44,84,0.524,13,35,16,24,0.667,12,34,46,27,3,7,11,20,117,16967, 25-32 
40,99,0.404,17,37,11,13,0.846,15,39,54,30,7,5,12,27,108,18122, 26-32 
38,78,0.487,13,31,24,31,0.774,11,32,43,23,9,5,16,19,113,19600, 27-32 
37,83,0.446,9,26,6,13,0.462,13,32,45,21,11,4,13,18,89,19539, 27-33 
49,90,0.544,13,30,14,21,0.667,8,34,42,24,9,12,13,18,125,19609, 28-33 
35,91,0.385,8,28,21,25,0.84,13,33,46,20,7,5,9,16,99,17136, 28-34 
46,88,0.523,18,34,10,12,0.833,15,33,48,20,6,4,10,19,120,19600, 29-34 
