fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
39,92,0.424,3,16,15,20,0.75,10,36,46,23,4,5,8,22,96,18717, 00-1 
41,88,0.466,8,22,20,24,0.833,8,36,44,25,14,5,14,23,110,12570, 01-1 
34,87,0.391,4,17,11,14,0.786,10,30,40,22,10,4,12,16,83,15161, 01-2 
44,91,0.484,10,32,19,21,0.905,11,38,49,30,9,5,15,25,117,15515, 02-2 
47,82,0.573,12,27,19,24,0.792,12,29,41,32,10,6,21,23,125,11374, 03-2 
41,82,0.5,14,33,21,25,0.84,17,36,53,28,12,10,15,22,117,16021, 04-2 
30,82,0.366,6,29,9,12,0.75,9,42,51,14,11,2,27,26,75,19345, 04-3 
40,91,0.44,6,18,20,25,0.8,11,37,48,23,4,5,11,20,106,12159, 04-4 
36,68,0.529,7,18,27,36,0.75,5,30,35,20,9,5,12,20,106,14327, 05-4 
39,98,0.398,8,32,14,18,0.778,15,32,47,25,9,2,14,25,100,14656, 05-5 
28,85,0.329,7,23,10,13,0.769,12,36,48,20,4,8,13,20,73,19600, 05-6 
46,89,0.517,10,20,19,25,0.76,10,31,41,27,7,1,13,23,121,18717, 05-7 
35,86,0.407,8,29,15,21,0.714,7,30,37,25,16,9,13,22,93,12306, 06-7 
40,79,0.506,12,29,7,12,0.583,7,31,38,26,4,2,11,19,99,16223, 06-8 
41,86,0.477,8,24,14,20,0.7,10,43,53,24,6,6,11,16,104,16521, 07-8 
46,86,0.535,7,19,19,23,0.826,10,33,43,27,15,6,17,22,118,16559, 08-8 
36,80,0.45,15,34,24,29,0.828,14,34,48,23,8,10,18,18,111,12675, 09-8 
40,85,0.471,6,24,26,36,0.722,7,39,46,25,9,10,11,24,112,15565, 10-8 
30,73,0.411,6,24,30,34,0.882,7,36,43,16,4,7,14,16,96,14256, 10-9 
44,94,0.468,12,28,10,14,0.714,9,34,43,26,11,5,15,25,110,16289, 11-10 
40,79,0.506,13,25,12,15,0.8,7,33,40,22,1,3,20,21,105,14816, 11-11 
42,89,0.472,4,24,12,17,0.706,12,25,37,27,8,3,11,20,100,19800, 11-12 
40,77,0.519,10,24,25,37,0.676,5,36,41,19,8,7,10,13,115,14033, 11-9 
45,95,0.474,11,20,7,13,0.538,13,29,42,32,8,5,8,20,108,16704, 12-12 
38,82,0.463,10,25,9,13,0.692,11,42,53,26,7,4,11,14,95,21324, 13-12 
40,87,0.46,7,27,21,29,0.724,11,40,51,22,6,6,14,21,108,17053, 13-13 
36,77,0.468,9,22,21,29,0.724,6,33,39,24,7,8,8,21,102,20562, 13-14 
45,80,0.563,9,25,24,27,0.889,8,33,41,29,8,6,11,16,123,15921, 14-14 
40,87,0.46,6,20,16,23,0.696,12,30,42,27,8,2,13,19,102,15773, 14-15 
48,84,0.571,11,22,12,16,0.75,3,35,38,36,8,5,7,14,119,17222, 15-15 
40,74,0.541,8,18,11,17,0.647,7,22,29,22,4,4,14,19,99,17779, 15-16 
43,76,0.566,9,15,21,27,0.778,8,34,42,29,7,8,12,19,116,21838, 16-16 
38,79,0.481,7,19,15,24,0.625,7,32,39,21,4,4,10,17,98,17423, 17-16 
37,78,0.474,9,28,22,31,0.71,7,35,42,20,7,5,13,15,105,19812, 18-16 
39,78,0.5,12,22,21,28,0.75,6,29,35,24,9,11,14,19,111,18717, 18-17 
37,80,0.463,9,23,18,20,0.9,5,27,32,25,14,3,16,20,101,15311, 18-18 
44,84,0.524,10,19,11,13,0.846,11,27,38,32,8,6,12,18,109,18418, 19-18 
40,80,0.5,9,15,27,31,0.871,13,33,46,28,8,6,11,18,116,17483, 20-18 
39,79,0.494,6,19,14,18,0.778,13,23,36,25,11,4,16,25,98,14231, 20-19 
42,89,0.472,5,14,15,22,0.682,10,28,38,23,8,5,12,23,104,13261, 20-20 
37,93,0.398,7,28,11,14,0.786,15,35,50,26,8,8,18,14,92,15782, 20-21 
34,83,0.41,10,25,18,26,0.692,10,30,40,21,6,3,12,25,96,19307, 20-22 
33,79,0.418,6,18,25,32,0.781,12,29,41,17,6,2,11,18,97,19600, 20-23 
47,80,0.588,11,23,22,27,0.815,7,30,37,31,17,6,19,20,127,14016, 21-23 
42,91,0.462,7,28,18,23,0.783,15,22,37,26,11,4,19,22,109,13663, 21-24 
31,80,0.388,7,23,17,24,0.708,12,31,43,19,6,7,19,22,86,19800, 21-25 
37,87,0.425,9,21,25,32,0.781,9,38,47,23,6,6,15,25,108,18717, 21-26 
