fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,
36,86,0.419,6,18,20,29,0.69,15,30,45,20,6,5,10,23,98,18119,Minnesota Timberwolves (00-1)
37,70,0.529,7,22,22,31,0.71,7,29,36,19,6,5,11,25,103,17608,Minnesota Timberwolves (00-2)
43,78,0.551,12,20,18,23,0.783,10,40,50,29,10,5,21,22,116,14774,Minnesota Timberwolves (01-2)
35,88,0.398,9,22,20,25,0.8,14,29,43,20,8,4,16,22,99,11219,Minnesota Timberwolves (01-3)
33,84,0.393,4,19,22,29,0.759,17,24,41,12,7,8,17,19,92,18203,Minnesota Timberwolves (01-4)
39,92,0.424,12,28,20,28,0.714,15,26,41,20,11,3,16,21,110,13610,Minnesota Timberwolves (01-5)
45,87,0.517,13,23,20,26,0.769,10,35,45,27,8,5,6,23,123,17102,Minnesota Timberwolves (02-5)
40,89,0.449,8,22,17,21,0.81,15,24,39,26,11,3,13,31,105,14494,Minnesota Timberwolves (02-6)
42,80,0.525,13,27,28,42,0.667,9,35,44,28,10,4,10,19,125,14432,Minnesota Timberwolves (03-6)
38,89,0.427,15,35,17,21,0.81,14,29,43,25,4,5,18,19,108,10349,Minnesota Timberwolves (03-7)
33,86,0.384,3,17,27,33,0.818,8,33,41,23,12,3,17,19,96,15555,Minnesota Timberwolves (04-10)
43,84,0.512,6,25,18,20,0.9,14,34,48,18,7,8,13,19,110,16866,Minnesota Timberwolves (04-7)
25,64,0.391,7,22,14,22,0.636,5,29,34,16,5,5,16,25,71,17112,Minnesota Timberwolves (04-8)
36,86,0.419,4,24,17,25,0.68,16,35,51,23,5,4,15,19,93,13167,Minnesota Timberwolves (04-9)
34,85,0.4,7,22,23,25,0.92,11,28,39,16,15,8,17,27,98,16728,Minnesota Timberwolves (05-10)
41,89,0.461,10,35,10,12,0.833,8,24,32,22,8,3,13,15,102,19596,Minnesota Timberwolves (05-11)
36,81,0.444,7,19,24,25,0.96,10,29,39,26,8,2,14,23,103,9384,Minnesota Timberwolves (05-12)
