fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
38,92,0.413,3,19,23,26,0.885,5,28,33,31,16,5,11,29,102,15869,New Orleans Pelicans (00-1)
47,100,0.47,5,22,15,23,0.652,12,37,49,29,8,5,13,24,114,18217,New Orleans Pelicans (00-2)
32,86,0.372,4,22,11,15,0.733,7,38,45,14,6,5,9,19,79,18418,New Orleans Pelicans (00-3)
36,82,0.439,9,26,32,41,0.78,9,33,42,23,13,5,13,17,113,15515,New Orleans Pelicans (00-4)
30,81,0.37,11,34,12,16,0.75,5,38,43,17,8,9,21,26,83,15881,New Orleans Pelicans (00-5)
43,94,0.457,10,30,15,28,0.536,6,37,43,28,7,13,8,21,111,15379,New Orleans Pelicans (00-6)
39,80,0.488,7,21,21,27,0.778,11,32,43,26,8,1,19,16,106,19596,New Orleans Pelicans (00-7)
38,84,0.452,5,21,13,18,0.722,7,33,40,23,5,9,10,23,94,17608,New Orleans Pelicans (00-8)
39,89,0.438,9,25,25,27,0.926,11,36,47,22,9,7,10,19,112,12159,New Orleans Pelicans (01-8)
39,90,0.433,6,20,15,19,0.789,12,30,42,20,4,5,10,10,99,17138,New Orleans Pelicans (01-9)
30,82,0.366,7,21,15,19,0.789,9,39,48,19,5,9,17,16,82,16127,New Orleans Pelicans (02-10)
35,79,0.443,6,21,30,36,0.833,8,38,46,16,9,4,16,17,106,15001,New Orleans Pelicans (02-9)
45,82,0.549,9,24,14,20,0.7,1,36,37,31,9,12,8,21,113,15552,New Orleans Pelicans (03-10)
43,98,0.439,14,36,21,25,0.84,10,43,53,27,9,6,11,23,121,15739,New Orleans Pelicans (04-10)
45,86,0.523,11,25,11,12,0.917,5,35,40,29,11,9,9,16,112,19120,New Orleans Pelicans (05-10)
45,83,0.542,9,24,18,23,0.783,4,41,45,27,10,6,17,21,117,15555,New Orleans Pelicans (06-10)
36,76,0.474,13,23,19,29,0.655,2,32,34,20,3,8,14,14,104,19393,New Orleans Pelicans (06-11)
30,77,0.39,5,20,16,18,0.889,10,32,42,17,8,3,13,19,81,19302,New Orleans Pelicans (06-12)
38,88,0.432,8,31,21,25,0.84,13,41,54,24,10,3,8,17,105,14024,New Orleans Pelicans (07-12)
39,85,0.459,5,20,13,21,0.619,10,30,40,21,5,4,11,14,96,16538,New Orleans Pelicans (07-13)
36,98,0.367,6,28,14,19,0.737,12,39,51,15,8,6,11,22,92,18203,New Orleans Pelicans (07-14)
39,99,0.394,10,32,20,21,0.952,6,48,54,21,7,7,11,15,108,13795,New Orleans Pelicans (07-15)
33,84,0.393,7,25,15,22,0.682,11,36,47,18,3,2,12,17,88,14158,New Orleans Pelicans (07-16)
40,83,0.482,8,19,17,26,0.654,8,26,34,25,3,1,16,15,105,19060,New Orleans Pelicans (07-17)
38,97,0.392,16,40,28,35,0.8,14,35,49,24,12,4,11,27,120,16949,New Orleans Pelicans (08-17)
