fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
32,87,0.368,9,27,15,20,0.75,13,29,42,17,6,6,18,22,88,20562, 00-1 
40,76,0.526,6,21,25,39,0.641,6,35,41,24,4,4,12,25,111,19812, 01-1 
35,86,0.407,7,22,12,15,0.8,8,35,43,18,6,9,11,20,89,13087, 01-2 
37,85,0.435,8,20,17,25,0.68,7,27,34,18,10,6,16,22,99,19812, 01-3 
46,89,0.517,9,21,16,21,0.762,11,29,40,32,7,2,5,23,117,22376, 02-3 
42,83,0.506,8,20,17,19,0.895,10,29,39,18,8,5,12,26,109,19812, 02-4 
44,92,0.478,10,30,12,17,0.706,9,41,50,25,11,5,14,21,110,19812, 03-4 
33,94,0.351,6,23,15,17,0.882,21,36,57,19,7,11,25,26,87,18624, 03-5 
44,97,0.454,7,23,12,16,0.75,17,32,49,19,3,2,16,23,107,19800, 03-6 
34,78,0.436,9,25,16,18,0.889,14,37,51,18,5,5,17,16,93,19812, 04-6 
42,93,0.452,9,25,12,19,0.632,19,33,52,24,8,9,9,11,105,19812, 05-6 
41,86,0.477,12,29,18,20,0.9,10,26,36,23,9,1,13,20,112,16704, 05-7 
42,88,0.477,10,27,10,14,0.714,11,39,50,21,8,1,15,23,104,19812, 06-7 
45,96,0.469,9,29,8,8,1,10,33,43,26,8,5,13,23,107,19812, 07-7 
45,97,0.464,11,28,12,13,0.923,13,42,55,26,9,8,16,21,113,19812, 08-7 
37,99,0.374,12,32,16,20,0.8,11,36,47,26,9,6,8,27,102,19195, 08-8 
36,91,0.396,6,19,25,28,0.893,12,28,40,20,9,11,5,16,103,19812, 08-9 
41,91,0.451,13,32,11,15,0.733,12,27,39,24,8,3,13,26,106,13987, 09-9 
41,86,0.477,12,31,24,30,0.8,11,32,43,26,9,6,15,18,118,19812, 10-9 
39,88,0.443,11,29,17,24,0.708,14,44,58,20,5,10,18,25,106,19812, 11-9 
35,87,0.402,11,31,13,15,0.867,13,30,43,22,6,3,16,22,94,19812, 12-10 
48,98,0.49,7,25,11,16,0.688,18,35,53,22,6,6,10,18,114,19610, 12-9 
36,84,0.429,10,29,21,25,0.84,12,42,54,22,3,6,16,25,103,17608, 13-10 
41,84,0.488,10,22,26,31,0.839,8,36,44,21,9,11,10,15,118,18997, 14-10 
38,97,0.392,7,20,28,38,0.737,11,32,43,23,10,4,13,27,111,16429, 14-11 
38,93,0.409,5,21,9,19,0.474,14,35,49,19,10,5,11,10,90,19596, 14-12 
35,80,0.438,8,23,36,39,0.923,9,26,35,18,6,4,11,27,114,12042, 14-13 
44,88,0.5,13,23,17,21,0.81,4,41,45,24,6,8,14,18,118,19812, 15-13 
41,96,0.427,9,20,15,17,0.882,18,34,52,26,9,9,15,18,106,19812, 16-13 
41,87,0.471,8,23,24,27,0.889,17,32,49,11,5,6,17,23,114,19812, 16-14 
35,93,0.376,7,27,21,26,0.808,14,41,55,20,8,7,17,23,98,19066, 16-15 
35,93,0.376,7,23,15,16,0.938,10,40,50,18,7,6,14,18,92,18124, 16-16 
47,105,0.448,10,32,18,25,0.72,13,35,48,21,7,3,7,20,122,18055, 16-17 
39,83,0.47,8,21,17,24,0.708,16,30,46,18,7,5,18,17,103,19812, 16-18 
42,94,0.447,13,28,7,12,0.583,15,31,46,26,9,3,13,19,104,19812, 16-19 
41,83,0.494,13,23,21,27,0.778,11,29,40,29,5,6,14,21,116,18717, 17-19 
40,87,0.46,12,31,17,24,0.708,6,26,32,25,9,7,17,24,109,17367, 17-20 
36,85,0.424,11,29,13,16,0.813,12,33,45,17,5,4,14,18,96,19812, 17-21 
42,86,0.488,4,22,9,10,0.9,8,32,40,20,7,8,13,22,97,18755, 17-22 
44,92,0.478,7,23,9,11,0.818,17,31,48,21,3,7,12,17,104,19812, 18-22 
35,84,0.417,12,29,19,27,0.704,11,30,41,21,7,7,14,16,101,19800, 18-23 
42,85,0.494,8,26,15,23,0.652,15,38,53,21,8,3,18,22,107,19812, 18-24 
46,91,0.505,10,25,15,18,0.833,18,39,57,27,2,8,14,24,117,18624, 19-24 
42,90,0.467,7,24,19,22,0.864,14,27,41,20,7,4,10,14,110,19812, 19-25 
40,89,0.449,11,21,14,16,0.875,15,31,46,20,6,3,12,20,105,19812, 19-26 
35,76,0.461,8,22,31,35,0.886,6,37,43,19,8,7,14,21,109,16015, 20-26 
39,92,0.424,7,23,10,12,0.833,18,37,55,17,4,2,18,21,95,19750, 20-27 
46,96,0.479,9,27,9,13,0.692,11,37,48,22,8,9,10,18,110,19812, 21-27 
51,128,0.398,18,51,19,23,0.826,15,48,63,32,9,11,12,39,139,13643, 21-28 
34,93,0.366,5,24,28,35,0.8,22,29,51,18,8,2,12,17,101,16683, 21-29 
35,99,0.354,6,27,19,31,0.613,21,37,58,23,16,7,13,18,95,17732, 22-29 
39,86,0.453,12,31,14,28,0.5,13,29,42,23,9,7,10,20,104,19812, 22-30 
37,82,0.451,7,21,26,33,0.788,6,34,40,16,4,4,16,24,107,19812, 22-31 
46,92,0.5,8,27,15,18,0.833,12,29,41,25,9,5,11,22,115,19812, 22-32 
52,93,0.559,16,38,3,5,0.6,10,23,33,36,10,5,10,14,123,19812, 22-33 
34,68,0.5,9,14,17,21,0.81,5,39,44,18,5,8,19,19,94,19812, 23-33 
41,86,0.477,11,21,12,14,0.857,6,33,39,19,8,12,15,21,105,18203, 23-34 
42,101,0.416,8,26,12,17,0.706,16,34,50,24,4,7,12,19,104,20562, 23-35 
43,91,0.473,6,21,18,23,0.783,10,34,44,21,6,7,11,22,110,19812, 24-35 
33,73,0.452,9,24,16,19,0.842,8,32,40,17,10,6,17,19,91,19812, 24-36 
34,81,0.42,8,29,25,31,0.806,13,37,50,21,9,3,11,16,101,16005, 25-36 
33,84,0.393,7,21,29,33,0.879,9,32,41,14,10,3,10,20,102,18518, 25-37 
39,83,0.47,7,22,20,25,0.8,12,35,47,18,5,6,15,20,105,19812, 25-38 
40,86,0.465,6,14,27,28,0.964,12,33,45,26,6,1,9,23,113,16046, 26-38 
39,84,0.464,7,21,8,12,0.667,10,33,43,22,4,6,15,20,93,13767, 26-39 
36,82,0.439,13,30,7,11,0.636,8,36,44,26,4,7,18,18,92,19607, 26-40 
39,94,0.415,8,23,26,32,0.813,11,32,43,22,5,8,9,20,112,17732, 26-41 
35,83,0.422,9,28,8,13,0.615,11,41,52,21,8,4,14,15,87,18261, 27-41 
41,88,0.466,3,18,25,26,0.962,5,29,34,20,6,4,7,26,110,19812, 27-42 
40,89,0.449,6,24,19,24,0.792,14,34,48,24,6,1,12,19,105,19060, 27-43 
38,80,0.475,9,21,16,18,0.889,9,27,36,19,5,1,11,26,101,19911, 27-44 
36,88,0.409,5,22,18,20,0.9,9,31,40,23,5,9,11,20,95,19020, 27-45 
41,87,0.471,3,10,13,15,0.867,12,33,45,24,6,5,16,16,98,18418, 27-46 
45,84,0.536,7,21,12,13,0.923,4,33,37,26,13,5,12,16,109,19812, 28-46 
33,89,0.371,5,25,17,21,0.81,17,35,52,19,2,6,14,16,88,19812, 28-47 
38,80,0.475,6,16,16,17,0.941,8,31,39,25,9,5,14,18,98,19600, 29-47 
33,85,0.388,7,25,21,25,0.84,8,24,32,20,12,2,11,20,94,19812, 29-48 
42,89,0.472,6,23,10,16,0.625,16,38,54,26,4,8,14,22,100,19812, 30-48 
40,95,0.421,7,20,16,21,0.762,20,29,49,20,9,2,11,19,103,19812, 30-49 
38,88,0.432,6,28,6,13,0.462,15,26,41,20,8,4,6,16,88,17631, 30-50 
37,82,0.451,9,28,14,15,0.933,6,30,36,27,6,1,11,18,97,19812, 30-51 
41,83,0.494,9,22,23,32,0.719,17,26,43,17,5,7,19,18,114,19812, 31-51 
