fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
39,94,0.415,6,22,19,26,0.731,13,40,53,19,7,3,10,23,103,20487, (01-00)
40,96,0.417,5,21,28,38,0.737,14,43,57,13,11,3,22,24,113,18203, (02-00)
45,95,0.474,9,26,14,17,0.824,10,35,45,29,15,6,19,22,113,18203, (03-00)
34,84,0.405,5,20,12,20,0.6,10,42,52,14,8,4,21,24,85,19060, (04-00)
35,87,0.402,10,27,16,28,0.571,13,28,41,20,8,6,16,20,96,19596, (04-01)
45,86,0.523,7,16,15,24,0.625,11,30,41,24,9,9,12,21,112,18203, (05-01)
37,85,0.435,9,28,14,17,0.824,10,37,47,24,8,5,16,18,97,18203, (06-01)
31,74,0.419,12,34,28,31,0.903,11,28,39,18,6,5,19,21,102,18203, (06-02)
38,88,0.432,16,28,16,19,0.842,9,36,45,21,3,1,16,27,108,18203, (06-03)
47,92,0.511,7,25,16,26,0.615,12,30,42,22,4,6,10,19,117,18203, (06-04)
33,88,0.375,5,27,17,22,0.773,13,38,51,16,3,6,15,21,88,14172, (06-05)
40,84,0.476,12,25,13,14,0.929,5,39,44,25,7,7,16,15,105,18203, (07-05)
49,89,0.551,7,26,19,24,0.792,10,36,46,23,9,5,16,24,124,18203, (08-05)
44,101,0.436,10,36,13,18,0.722,15,34,49,28,10,7,20,23,111,18203, (08-06)
45,92,0.489,11,27,8,11,0.727,11,29,40,29,11,6,15,14,109,18997, (08-07)
32,76,0.421,7,25,30,38,0.789,5,33,38,18,7,7,9,21,101,17608, (08-08)
48,96,0.5,13,26,23,29,0.793,7,33,40,29,11,4,12,21,132,14327, (09-08)
42,83,0.506,8,23,14,26,0.538,10,33,43,23,4,3,10,16,106,18203, (10-8)
46,92,0.5,8,22,12,18,0.667,17,36,53,25,4,7,14,22,112,19812, (11-8)
46,95,0.484,12,30,22,31,0.71,9,38,47,28,10,4,13,22,126,18203, (12-8)
41,89,0.461,6,28,13,26,0.5,11,48,59,24,7,5,15,15,101,18203, (13-8)
37,80,0.463,10,31,18,28,0.643,8,35,43,26,9,5,19,27,102,14654, (14-8)
34,81,0.42,7,28,24,31,0.774,9,37,46,18,9,5,17,19,99,18203, (14-9)
33,87,0.379,8,27,21,28,0.75,16,27,43,18,10,2,21,21,95,19505, (15-10)
30,82,0.366,6,19,23,27,0.852,13,25,38,14,4,3,9,18,89,19911, (15-11)
41,83,0.494,3,21,14,27,0.519,15,34,49,17,9,7,12,9,99,18203, (15-9)
41,81,0.506,7,16,25,34,0.735,10,32,42,28,12,4,13,21,114,18203, (16-11)
39,87,0.448,10,35,20,26,0.769,15,29,44,13,8,3,12,18,108,18203, (16-12)
45,88,0.511,11,28,20,24,0.833,13,36,49,22,8,6,10,20,121,16375, (17-12)
41,80,0.513,11,26,24,36,0.667,10,34,44,27,5,6,13,21,117,18624, (18-12)
42,82,0.512,8,24,20,24,0.833,9,33,42,26,8,4,15,24,112,18203, (19-12)
42,82,0.512,5,19,17,25,0.68,14,32,46,21,3,4,17,21,106,19977, (20-12)
25,74,0.338,4,22,26,38,0.684,14,25,39,9,5,7,18,18,80,18119, (20-13)
37,78,0.474,10,29,30,35,0.857,8,36,44,25,9,6,9,20,114,18203, (21-13)
36,78,0.462,9,27,13,19,0.684,8,32,40,20,7,5,10,20,94,17423, (21-14)
42,96,0.438,9,30,19,23,0.826,14,37,51,22,6,3,14,31,112,18418, (21-15)
41,91,0.451,12,30,22,27,0.815,16,38,54,15,6,9,9,21,116,18055, (21-16)
43,89,0.483,12,36,23,29,0.793,6,43,49,23,8,11,10,20,121,18203, (22-16)
47,83,0.566,7,24,8,11,0.727,6,36,42,30,5,5,12,17,109,21923, (23-16)
36,81,0.444,8,26,23,29,0.793,11,42,53,21,5,4,16,18,103,18203, (24-16)
33,85,0.388,3,20,17,21,0.81,16,31,47,19,10,2,18,21,86,16644, (24-17)
40,90,0.444,9,28,33,41,0.805,17,27,44,20,14,4,19,28,122,17608, (25-17)
36,85,0.424,10,30,16,19,0.842,9,27,36,18,10,4,15,15,98,19060, (25-18)
38,90,0.422,8,28,16,19,0.842,13,23,36,23,11,6,18,22,100,19596, (25-19)
36,83,0.434,6,20,19,25,0.76,8,37,45,17,6,6,10,23,97,19911, (26-19)
42,91,0.462,10,27,20,28,0.714,12,43,55,24,6,11,16,18,114,15277, (27-19)
37,72,0.514,9,22,26,36,0.722,7,36,43,13,7,2,16,17,109,18203, (28-19)
37,100,0.37,6,26,11,16,0.688,13,42,55,20,5,4,16,19,91,20562, (28-20)
30,85,0.353,7,28,27,32,0.844,12,38,50,21,12,7,20,30,94,18418, (28-21)
38,100,0.38,10,37,14,17,0.824,11,26,37,17,6,4,9,23,100,18203, (28-22)
38,80,0.475,13,26,25,33,0.758,16,31,47,21,7,3,20,21,114,18203, (29-22)
40,98,0.408,4,18,21,28,0.75,17,39,56,18,9,5,12,17,105,18203, (30-22)
34,88,0.386,7,28,15,21,0.714,20,41,61,17,6,11,16,21,90,16123, (30-23)
50,106,0.472,8,27,10,13,0.769,17,34,51,24,10,5,13,23,118,18203, (31-23)
40,83,0.482,6,24,28,36,0.778,12,31,43,20,7,8,19,23,114,18203, (31-24)
34,96,0.354,7,34,23,30,0.767,20,27,47,16,10,2,15,22,98,20356, (31-25)
41,88,0.466,12,23,22,31,0.71,12,36,48,21,10,4,12,13,116,18203, (32-25)
44,97,0.454,10,24,12,17,0.706,14,45,59,28,9,6,17,14,110,18203, (33-25)
42,88,0.477,6,21,28,37,0.757,16,37,53,17,4,0,13,29,118,18203, (34-25)
39,76,0.513,15,22,16,23,0.696,6,36,42,20,5,7,14,17,109,18203, (35-25)
34,86,0.395,11,29,30,32,0.938,12,28,40,11,9,7,12,25,109,19875, (35-26)
37,87,0.425,9,35,28,35,0.8,11,36,47,14,10,5,19,30,111,18055, (35-27)
33,82,0.402,2,22,21,30,0.7,13,36,49,19,4,2,15,21,89,20232, (35-28)
44,85,0.518,10,25,23,30,0.767,12,27,39,16,4,1,17,25,121,18203, (35-29)
41,89,0.461,6,20,14,21,0.667,15,33,48,23,10,3,11,22,102,18203, (36-29)
43,86,0.5,8,23,18,24,0.75,12,31,43,23,7,7,12,20,112,18203, (37-29)
44,89,0.494,10,22,24,34,0.706,13,31,44,30,13,6,13,27,122,13911, (38-29)
47,88,0.534,14,25,15,19,0.789,10,37,47,33,10,1,18,22,123,19800, (39-29)
41,82,0.5,10,26,18,25,0.72,13,36,49,23,7,4,14,21,110,18203, (40-29)
37,87,0.425,4,21,17,31,0.548,12,28,40,18,10,2,11,19,95,18203, (40-30)
48,88,0.545,4,16,22,30,0.733,18,36,54,26,7,8,16,17,122,18203, (41-30)
47,94,0.5,11,30,20,28,0.714,15,26,41,27,15,3,16,21,125,18055, (41-31)
37,85,0.435,6,23,12,14,0.857,11,37,48,17,10,7,17,21,92,19970, (42-31)
43,102,0.422,10,33,18,28,0.643,11,46,57,18,11,7,11,20,114,18408, (43-31)
33,81,0.407,6,21,23,27,0.852,13,33,46,21,7,3,18,21,95,18203, (43-32)
39,84,0.464,12,31,11,12,0.917,7,35,42,19,10,5,24,20,101,18203, (43-33)
40,84,0.476,9,28,21,25,0.84,11,42,53,29,9,7,13,20,110,18203, (44-33)
37,85,0.435,14,31,15,24,0.625,12,32,44,19,8,3,12,20,103,17298, (45-33)
34,92,0.37,7,30,24,33,0.727,22,26,48,13,1,3,9,26,99,18055, (45-34)
40,96,0.417,6,25,20,22,0.909,18,36,54,19,7,3,12,19,106,19718, (46-34)
37,86,0.43,7,22,19,25,0.76,18,36,54,22,7,4,17,21,100,19356, (47-34)
43,101,0.426,8,25,11,17,0.647,14,37,51,20,10,8,12,24,105,18203, (47-35)
