fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
34,89,0.382,6,18,22,28,0.786,15,30,45,20,5,4,11,15,96,19298, 00-1 
33,95,0.347,8,26,8,12,0.667,14,30,44,20,8,3,9,13,82,19122, 00-2 
38,84,0.452,8,28,15,26,0.577,13,37,50,21,6,5,20,23,99,20562, 00-3 
42,93,0.452,6,25,13,17,0.765,12,27,39,29,7,6,10,15,103,12529, 01-3 
38,84,0.452,10,30,16,23,0.696,13,31,44,24,5,4,14,14,102,17026, 02-3 
31,78,0.397,9,28,17,27,0.63,10,33,43,21,4,6,8,16,88,18846, 03-3 
33,85,0.388,9,30,5,6,0.833,6,33,39,28,6,6,14,23,80,21320, 03-4 
38,85,0.447,8,24,23,30,0.767,12,27,39,20,2,5,9,19,107,17102, 03-5 
26,78,0.333,8,20,14,19,0.737,8,35,43,13,11,6,12,18,74,18846, 03-6 
46,86,0.535,11,24,16,20,0.8,8,30,38,24,4,7,9,20,119,18203, 04-6 
27,84,0.321,5,25,10,13,0.769,9,43,52,12,3,5,14,17,69,14825, 04-7 
34,88,0.386,10,27,11,19,0.579,13,37,50,17,7,7,12,15,89,16127, 05-7 
35,80,0.438,7,23,14,20,0.7,14,35,49,18,5,7,19,16,91,17103, 06-10 
38,92,0.413,7,28,13,17,0.765,10,36,46,24,6,5,7,17,96,16521, 06-11 
34,78,0.436,8,21,19,22,0.864,10,40,50,17,6,8,19,21,95,18846, 06-7 
32,77,0.416,7,25,18,24,0.75,10,44,54,21,8,5,24,18,89,12306, 06-8 
33,91,0.363,7,25,14,23,0.609,11,33,44,17,9,8,11,19,87,17069, 06-9 
39,86,0.453,6,15,11,12,0.917,9,31,40,25,12,4,13,21,95,18418, 07-11 
33,74,0.446,6,24,22,31,0.71,7,35,42,15,5,9,17,19,94,13344, 07-12 
37,78,0.474,13,26,18,26,0.692,7,40,47,24,8,3,10,20,105,13711, 08-12 
42,79,0.532,7,23,7,14,0.5,4,35,39,23,8,7,10,11,98,15206, 09-12 
43,83,0.518,12,26,26,36,0.722,8,35,43,24,7,12,11,18,124,12116, 10-12 
30,81,0.37,11,26,16,24,0.667,8,29,37,20,7,1,12,26,87,17009, 10-13 
34,91,0.374,9,34,11,14,0.786,9,31,40,22,6,2,8,17,88,15707, 10-14 
43,88,0.489,11,27,16,24,0.667,5,26,31,27,7,5,5,18,113,17010, 10-15 
51,87,0.586,15,34,14,20,0.7,5,23,28,36,8,5,9,17,131,13585, 11-15 
42,89,0.472,14,33,10,20,0.5,12,27,39,29,5,1,8,29,108,18846, 11-16 
39,97,0.402,7,29,33,42,0.786,13,36,49,22,8,11,7,17,118,17668, 12-16 
34,83,0.41,3,21,8,9,0.889,10,32,42,13,5,3,19,17,79,17251, 12-17 
52,105,0.495,11,22,21,31,0.677,6,41,47,24,3,5,11,25,136,19600, 13-17 
39,90,0.433,5,27,12,16,0.75,10,31,41,21,7,7,16,14,95,19812, 13-18 
45,89,0.506,11,27,8,14,0.571,7,40,47,25,10,11,14,20,109,18846, 14-18 
44,86,0.512,13,26,11,16,0.688,8,35,43,23,5,3,9,21,112,17104, 15-18 
42,86,0.488,9,34,8,10,0.8,9,24,33,25,7,7,13,15,101,18273, 15-19 
42,97,0.433,10,38,10,11,0.909,10,32,42,25,6,7,10,22,104,17530, 15-20 
45,91,0.495,15,31,10,14,0.714,13,26,39,35,10,4,12,20,115,19812, 16-20 
37,86,0.43,9,28,9,10,0.9,10,30,40,19,9,6,17,17,92,18846, 16-21 
38,91,0.418,8,23,9,13,0.692,19,30,49,18,8,2,15,14,93,19272, 16-22 
34,90,0.378,7,26,20,29,0.69,18,36,54,24,5,3,18,20,95,18997, 16-23 
39,92,0.424,6,27,12,18,0.667,6,29,35,21,8,3,13,21,96,19060, 16-24 
41,83,0.494,10,18,23,26,0.885,9,36,45,21,5,5,15,19,115,19344, 17-24 
38,82,0.463,12,34,19,27,0.704,7,33,40,23,10,2,14,28,107,19911, 17-25 
45,88,0.511,8,25,14,18,0.778,7,27,34,28,6,1,14,10,112,11217, 17-26 
39,88,0.443,11,32,9,11,0.818,4,43,47,18,6,5,18,14,98,15818, 17-27 
40,87,0.46,8,28,24,31,0.774,14,39,53,25,9,6,9,24,112,19307, 18-27 
42,96,0.438,7,28,7,16,0.438,12,29,41,25,9,7,12,21,98,18846, 18-28 
35,85,0.412,7,22,15,20,0.75,12,36,48,18,7,2,19,18,92,18846, 18-29 
38,87,0.437,9,25,13,18,0.722,7,31,38,29,7,2,11,15,98,18624, 18-30 
42,79,0.532,10,23,20,26,0.769,6,30,36,25,6,6,12,28,114,19800, 19-30 
41,96,0.427,10,35,13,19,0.684,11,37,48,22,7,3,11,25,105,11124, 19-31 
31,77,0.403,6,24,20,28,0.714,7,28,35,17,12,3,14,22,88,16662, 19-32 
37,80,0.463,5,14,23,32,0.719,11,35,46,22,4,7,11,16,102,17141, 20-32 
27,78,0.346,7,27,25,28,0.893,7,26,33,17,8,4,13,19,86,16691, 20-33 
42,88,0.477,6,25,14,20,0.7,10,37,47,28,7,4,16,23,104,15514, 20-34 
41,84,0.488,10,21,19,24,0.792,7,40,47,27,4,8,21,20,111,17829, 20-35 
32,82,0.39,3,23,13,18,0.722,11,29,40,16,8,5,14,16,80,20052, 20-36 
44,90,0.489,8,14,20,29,0.69,15,37,52,18,9,3,14,22,116,19600, 21-36 
30,76,0.395,4,18,15,19,0.789,5,28,33,15,5,5,17,19,79,17101, 21-37 
34,86,0.395,7,22,28,39,0.718,13,27,40,18,8,4,14,21,103,17487, 21-38 
