fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
36,84,0.429,7,24,18,25,0.72,5,38,43,21,5,10,13,22,97,20487, 00-1 
28,80,0.35,5,18,11,15,0.733,4,35,39,16,9,5,20,20,72,16312, 00-2 
40,81,0.494,9,20,12,16,0.75,7,35,42,28,5,8,15,20,101,12529, 00-3 
34,86,0.395,12,38,13,15,0.867,8,29,37,23,8,2,17,24,93,15275, 00-4 
40,87,0.46,14,38,7,12,0.583,5,40,45,21,9,9,17,23,101,20497, 00-5 
31,77,0.403,7,21,15,22,0.682,9,33,42,16,5,2,18,19,84,14168, 00-6 
46,95,0.484,14,36,9,19,0.474,10,33,43,23,11,6,17,21,115,15360, 00-7 
36,86,0.419,11,32,26,31,0.839,13,41,54,24,7,6,19,21,109,17643, 01-7 
36,83,0.434,11,29,13,20,0.65,10,29,39,21,14,4,19,20,96,17399, 01-8 
34,90,0.378,5,22,15,17,0.882,10,29,39,18,10,7,12,17,88,13183, 01-9 
31,83,0.373,9,32,15,19,0.789,13,27,40,15,9,2,15,17,86,16866, 02-10 
42,77,0.545,10,28,15,22,0.682,5,36,41,30,6,1,17,26,109,14863, 02-9 
45,86,0.523,17,35,13,20,0.65,6,38,44,33,11,9,18,23,120,18125, 03-10 
37,78,0.474,11,26,16,20,0.8,7,33,40,21,8,5,14,25,101,16477, 04-10 
35,93,0.376,12,36,17,23,0.739,8,48,56,24,9,10,26,32,99,15880, 04-11 
31,78,0.397,9,22,18,22,0.818,8,40,48,18,7,8,19,21,89,18234, 04-12 
43,92,0.467,15,34,7,10,0.7,13,37,50,29,5,5,16,24,108,19311, 04-13 
36,86,0.419,14,34,9,13,0.692,12,26,38,27,9,4,14,21,95,19800, 04-14 
36,95,0.379,9,32,7,10,0.7,15,31,46,24,3,6,10,18,88,13711, 04-15 
35,76,0.461,15,33,21,26,0.808,8,30,38,20,5,3,15,23,106,17063, 04-16 
35,86,0.407,11,31,17,23,0.739,12,32,44,20,12,10,17,25,98,11815, 04-17 
32,82,0.39,14,41,13,26,0.5,9,36,45,21,5,7,16,27,91,13521, 04-18 
39,91,0.429,12,40,9,13,0.692,11,35,46,27,8,8,10,20,99,14158, 05-18 
38,68,0.559,7,17,14,17,0.824,5,37,42,24,11,4,20,13,97,7244, 06-18 
43,86,0.5,9,29,19,25,0.76,14,29,43,29,5,4,14,27,114,16192, 06-19 
32,88,0.364,6,31,19,24,0.792,16,32,48,22,7,4,17,17,89,20491, 06-20 
38,88,0.432,12,28,20,23,0.87,13,34,47,23,5,5,17,18,108,16460, 07-20 
33,82,0.402,11,33,16,21,0.762,6,37,43,18,6,8,13,20,93,16322, 07-21 
42,83,0.506,13,31,19,22,0.864,8,20,28,23,7,6,19,31,116,16535, 07-22 
39,79,0.494,9,25,13,18,0.722,8,30,38,20,13,5,22,23,100,17608, 07-23 
35,87,0.402,6,24,7,8,0.875,13,28,41,16,6,1,15,16,83,19911, 07-24 
38,87,0.437,16,33,32,40,0.8,15,29,44,25,5,5,11,33,124,13619, 08-24 
33,85,0.388,7,32,20,25,0.8,12,36,48,19,10,7,16,21,93,17124, 09-24 
37,79,0.468,9,28,23,26,0.885,4,37,41,30,9,11,15,23,106,18624, 09-25 
37,94,0.394,8,27,23,27,0.852,6,40,46,19,11,5,13,17,105,16123, 10-25 
37,95,0.389,7,28,17,21,0.81,18,29,47,27,7,1,14,12,98,18755, 11-25 
36,76,0.474,14,38,16,20,0.8,10,28,38,26,12,9,20,27,102,18215, 12-25 
36,87,0.414,10,31,11,21,0.524,15,34,49,20,6,2,16,19,93,17880, 12-26 
35,78,0.449,14,37,29,36,0.806,13,38,51,25,8,9,18,23,113,13261, 13-26 
31,69,0.449,8,24,24,32,0.75,5,41,46,20,5,7,22,21,94,17223, 14-26 
36,92,0.391,12,29,9,16,0.563,13,40,53,25,6,8,19,21,93,19476, 15-26 
33,78,0.423,12,29,15,18,0.833,7,32,39,27,8,6,22,19,93,15116, 15-27 
45,90,0.5,10,29,21,22,0.955,6,32,38,35,8,7,5,27,121,17591, 16-27 
40,75,0.533,12,26,22,25,0.88,9,34,43,32,9,4,21,21,114,13663, 17-27 
42,78,0.538,10,25,24,32,0.75,3,26,29,29,14,6,22,25,118,20588, 17-28 
44,99,0.444,10,28,10,14,0.714,11,32,43,26,8,8,12,22,108,21606, 17-29 
45,83,0.542,11,31,21,26,0.808,9,20,29,32,13,2,14,18,122,15840, 18-29 
35,77,0.455,6,22,19,26,0.731,5,34,39,21,5,2,13,21,95,19263, 18-30 
30,88,0.341,9,25,17,23,0.739,12,34,46,21,10,5,21,23,86,18418, 18-31 
35,84,0.417,6,23,26,31,0.839,6,27,33,20,10,1,15,21,102,19754, 18-32 
36,85,0.424,5,28,19,28,0.679,11,30,41,19,8,0,13,17,96,14731, 18-33 
34,84,0.405,13,34,22,29,0.759,7,28,35,23,8,2,5,19,103,19233, 18-34 
40,95,0.421,11,28,21,27,0.778,13,32,45,25,13,5,15,19,112,17829, 19-34 
39,86,0.453,9,25,30,38,0.789,11,27,38,27,15,8,10,21,117,20698, 20-34 
41,86,0.477,12,33,11,17,0.647,9,42,51,24,9,5,18,21,105,15775, 21-34 
44,93,0.473,8,31,12,18,0.667,12,35,47,23,16,5,22,23,108,18624, 21-35 
43,87,0.494,10,29,24,30,0.8,8,40,48,28,9,7,15,26,120,19277, 22-35 
40,95,0.421,7,31,22,27,0.815,16,34,50,19,6,5,11,21,109,19812, 22-36 
37,82,0.451,10,34,24,27,0.889,12,30,42,24,11,3,22,25,108,20585, 22-37 
37,85,0.435,6,17,18,22,0.818,10,30,40,16,7,4,19,22,98,19609, 22-38 
36,83,0.434,9,28,24,31,0.774,12,38,50,20,5,9,15,21,105,18518, 23-38 
43,88,0.489,14,34,6,7,0.857,6,30,36,30,5,2,19,18,106,19523, 23-39 
39,89,0.438,8,30,12,19,0.632,14,28,42,30,5,3,12,20,98,18351, 23-40 
41,94,0.436,11,29,15,20,0.75,12,32,44,18,10,3,16,29,108,19240, 23-41 
40,84,0.476,10,30,10,14,0.714,7,34,41,28,11,1,16,23,100,19060, 23-42 
41,79,0.519,10,24,26,32,0.813,4,30,34,28,8,4,16,24,118,18997, 24-42 
39,89,0.438,8,27,18,27,0.667,13,39,52,28,10,10,21,26,104,19596, 24-43 
42,80,0.525,12,29,20,23,0.87,9,46,55,32,8,6,16,21,116,17642, 25-43 
41,88,0.466,12,33,11,15,0.733,8,35,43,29,9,7,15,23,105,19446, 26-43 
39,102,0.382,9,34,22,24,0.917,13,40,53,26,15,7,16,34,109,16236, 26-44 
37,87,0.425,8,25,15,17,0.882,6,19,25,19,8,4,9,23,97,18203, 26-45 
46,83,0.554,8,25,17,23,0.739,11,35,46,23,10,4,18,22,117,21558, 27-45 
35,88,0.398,14,41,10,14,0.714,8,40,48,19,7,5,14,23,94,16467, 27-46 
39,91,0.429,10,33,18,21,0.857,12,41,53,21,7,9,16,23,106,15471, 28-46 
