fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
36,77,0.468,4,16,18,27,0.667,10,31,41,20,6,3,18,29,94,18055, 00-1 
42,94,0.447,5,28,21,32,0.656,7,37,44,15,11,3,15,29,110,18203, 00-2 
37,90,0.411,8,23,18,25,0.72,11,39,50,19,10,6,11,26,100,17011, 00-3 
35,84,0.417,5,15,23,31,0.742,10,34,44,19,11,0,20,33,98,19060, 00-4 
44,103,0.427,5,16,25,30,0.833,14,45,59,15,10,5,12,20,118,17284, 01-4 
40,93,0.43,8,24,24,28,0.857,12,47,59,18,7,2,15,27,112,15379, 02-4 
40,91,0.44,6,20,22,28,0.786,11,29,40,20,8,2,17,30,108,18997, 02-5 
43,86,0.5,7,21,28,33,0.848,15,26,41,18,10,2,16,27,121,19239, 02-6 
38,84,0.452,8,22,23,30,0.767,10,39,49,20,7,6,17,20,107,16719, 03-6 
40,107,0.374,8,33,16,21,0.762,17,38,55,23,9,3,12,20,104,17126, 03-7 
46,90,0.511,8,24,20,26,0.769,8,30,38,27,10,3,13,29,120,19596, 03-8 
39,79,0.494,8,20,18,29,0.621,7,28,35,14,8,4,16,29,104,10247, 03-9 
39,92,0.424,6,21,21,34,0.618,12,32,44,18,11,7,15,19,105,18125, 04-10 
39,91,0.429,11,27,12,15,0.8,13,39,52,22,3,7,21,24,101,12790, 04-11 
46,97,0.474,9,26,15,18,0.833,18,28,46,21,14,7,11,28,116,16780, 04-9 
33,73,0.452,9,22,17,22,0.773,6,38,44,15,6,7,17,20,92,17069, 05-11 
32,79,0.405,6,26,15,21,0.714,12,36,48,17,11,6,25,26,85,16728, 05-12 
36,89,0.404,11,25,31,36,0.861,9,37,46,11,5,7,11,24,114,15365, 05-13 
40,89,0.449,10,21,19,25,0.76,13,28,41,15,11,4,15,17,109,15909, 06-13 
41,91,0.451,11,32,16,21,0.762,14,22,36,24,8,2,14,29,109,19596, 06-14 
39,84,0.464,6,18,21,25,0.84,12,29,41,14,5,0,17,28,105,18997, 06-15 
34,85,0.4,9,33,17,18,0.944,9,31,40,17,14,4,19,31,94,17452, 06-16 
45,95,0.474,13,30,16,21,0.762,9,35,44,26,8,8,7,24,119,18997, 07-16 
44,96,0.458,14,41,17,26,0.654,14,43,57,21,6,3,16,27,119,16949, 07-17 
38,93,0.409,9,30,28,33,0.848,16,45,61,13,9,7,17,28,113,16429, 08-17 
34,85,0.4,10,27,14,18,0.778,11,24,35,15,9,3,13,25,92,17165, 08-18 
39,90,0.433,8,22,15,20,0.75,16,27,43,16,5,5,16,23,101,18203, 08-19 
37,82,0.451,9,21,25,35,0.714,8,26,34,16,11,5,17,23,108,12008, 08-20 
44,93,0.473,9,25,14,20,0.7,14,30,44,20,7,6,8,23,111,18055, 08-21 
42,79,0.532,12,26,27,37,0.73,11,32,43,25,7,6,20,24,123,16535, 09-21
43,101,0.426,7,30,22,27,0.815,16,37,53,17,14,6,17,25,115,18055, 09-22 
36,74,0.486,7,16,19,24,0.792,7,26,33,20,11,4,21,25,98,18418, 09-23 
37,83,0.446,9,21,16,23,0.696,12,35,47,20,10,4,20,28,99,18055, 10-23 
