fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
39,75,0.52,13,19,22,22,1,5,29,34,22,5,3,12,18,113,19446, (01-0)
39,85,0.459,4,18,24,32,0.75,9,39,48,18,4,4,14,34,106,19500, (01-01)
45,98,0.459,10,32,15,21,0.714,5,40,45,23,10,8,15,30,115,18055, (02-01)
37,86,0.43,14,39,16,21,0.762,6,26,32,23,12,4,18,17,104,19393, (02-02)
42,101,0.416,12,33,19,21,0.905,10,43,53,25,8,8,14,23,115,17284, (02-03)
36,80,0.45,12,31,21,26,0.808,7,35,42,21,9,3,14,20,105,19475, (03-03)
32,71,0.451,14,33,22,27,0.815,5,32,37,19,7,5,15,25,100,16233, (04-03)
45,81,0.556,14,31,20,28,0.714,7,28,35,22,5,4,20,27,124,19239, (05-03)
31,88,0.352,6,30,12,14,0.857,11,36,47,16,4,3,14,23,80,19060, (05-04)
45,86,0.523,13,33,19,27,0.704,7,29,36,29,8,4,11,24,122,19918, (06-04)
39,99,0.394,8,29,26,32,0.813,14,30,44,21,8,8,7,23,112,19362, (07-04)
34,95,0.358,9,34,11,18,0.611,15,34,49,17,8,4,11,18,88,19393, (07-05)
41,90,0.456,10,28,17,21,0.81,10,31,41,24,6,4,12,19,109,15550, (07-06)
33,88,0.375,12,34,23,26,0.885,13,35,48,19,2,1,14,21,101,15552, (07-07)
49,85,0.576,15,36,16,21,0.762,8,42,50,23,4,7,15,30,129,16608, (08-07)
38,86,0.442,6,22,21,26,0.808,11,33,44,18,5,5,16,13,103,19812, (08-08)
47,90,0.522,13,29,18,19,0.947,9,29,38,27,6,6,9,23,125,20562, (08-09)
47,100,0.47,12,32,13,17,0.765,12,40,52,30,7,5,11,20,119,19393, (09-09)
40,83,0.482,12,33,22,29,0.759,8,27,35,24,7,2,14,24,114,19393, (09-10)
51,94,0.543,12,32,17,19,0.895,14,26,40,29,13,2,6,23,131,19107, (10-10)
36,89,0.404,9,24,18,24,0.75,12,35,47,19,6,9,8,17,99,19393, (11-10)
45,93,0.484,9,24,13,18,0.722,10,28,38,25,9,8,9,27,112,21351, (12-10)
37,85,0.435,17,40,16,19,0.842,10,34,44,25,7,4,15,22,107,14033, (12-11)
25,82,0.305,7,28,29,40,0.725,13,39,52,13,6,3,12,23,86,14317, (12-12)
