fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
44,86,0.512,6,21,19,26,0.731,10,31,41,24,5,5,13,20,113,18055, 01-0 
28,70,0.4,6,20,32,38,0.842,6,34,40,22,7,0,15,21,94,17608, 01-1 
36,75,0.48,10,23,13,19,0.684,6,32,38,26,10,6,19,34,95,12501, 02-2 
34,89,0.382,5,23,23,27,0.852,9,44,53,12,4,4,15,23,96,19612, 02-3 
38,80,0.475,7,18,11,17,0.647,11,28,39,17,8,1,14,23,94,17026, 02-4 
33,84,0.393,10,28,15,19,0.789,13,23,36,27,8,3,14,19,91,16021, 02-5 
34,78,0.436,5,16,23,31,0.742,13,34,47,21,4,5,9,22,96,19800, 03-5 
39,81,0.481,8,25,16,20,0.8,5,34,39,24,7,5,10,21,102,17608, 04-5 
34,85,0.4,8,21,15,20,0.75,11,32,43,18,13,3,15,19,91,17608, 04-6 
43,88,0.489,6,21,28,35,0.8,13,35,48,18,7,3,15,21,120,19918, 04-7 
36,76,0.474,9,20,24,31,0.774,10,36,46,21,5,3,16,17,105,17608, 04-8 
38,86,0.442,10,26,29,35,0.829,9,28,37,21,7,4,14,24,115,17608, 04-9 
36,81,0.444,11,27,19,25,0.76,4,33,37,26,8,8,13,18,102,17608, 05-9 
39,80,0.488,9,32,17,21,0.81,4,33,37,24,7,6,14,18,104,17608, 06-10 
44,94,0.468,12,28,16,17,0.941,11,35,46,26,4,1,11,23,116,17608, 06-9 
46,86,0.535,13,23,17,22,0.773,9,36,45,24,11,3,13,12,122,13646, 07-10 
38,93,0.409,3,21,16,26,0.615,13,31,44,20,15,4,20,24,95,12571, 07-11 
33,88,0.375,6,26,20,25,0.8,14,37,51,22,9,10,14,16,92,18624, 07-12 
31,97,0.32,9,28,27,31,0.871,18,33,51,18,13,5,11,17,98,19812, 07-13 
47,84,0.56,10,22,16,21,0.762,6,34,40,28,10,3,14,23,120,19711, 08-13 
35,87,0.402,7,28,23,27,0.852,6,33,39,24,10,1,7,20,100,17608, 08-14 
34,90,0.378,9,26,7,13,0.538,12,22,34,17,10,4,10,14,84,19331, 08-15 
47,84,0.56,10,23,12,21,0.571,13,34,47,23,16,6,21,20,116,17608, 09-15 
39,92,0.424,11,32,9,11,0.818,12,28,40,27,8,7,15,16,98,15039, 09-16 
31,80,0.388,7,24,27,37,0.73,13,32,45,18,5,6,11,25,96,15987, 10-16 
30,76,0.395,8,31,11,17,0.647,6,36,42,16,7,4,15,21,79,19504, 10-17 
40,72,0.556,10,23,36,43,0.837,4,27,31,20,3,4,10,28,126,17608, 11-17 
34,74,0.459,10,21,16,24,0.667,8,33,41,13,5,3,10,19,94,19195, 12-17 
42,80,0.525,15,29,10,14,0.714,6,28,34,27,7,3,11,23,109,13288, 13-17 
39,87,0.448,7,25,17,21,0.81,13,29,42,24,11,4,19,19,102,17608, 14-17 
31,79,0.392,9,28,18,23,0.783,6,33,39,20,8,3,11,20,89,19665, 14-18 
31,72,0.431,11,28,25,28,0.893,11,28,39,17,6,3,12,12,98,17608, 14-19 
46,88,0.523,11,29,17,18,0.944,5,28,33,26,7,2,8,13,120,11018, 15-19 
40,78,0.513,8,20,14,17,0.824,4,22,26,26,8,3,16,28,102,17608, 15-20 
36,87,0.414,9,30,17,22,0.773,12,38,50,23,4,3,6,18,98,17608, 15-21 
36,74,0.486,11,28,23,29,0.793,1,30,31,21,13,5,18,17,106,17608, 15-22 
32,73,0.438,13,23,23,29,0.793,12,33,45,21,6,3,16,17,100,17608, 16-22 
42,80,0.525,9,25,15,19,0.789,11,31,42,23,7,5,21,22,108,17608, 16-23 
37,81,0.457,9,25,35,40,0.875,14,30,44,24,13,6,22,29,118,17608, 16-24 
35,72,0.486,9,21,21,27,0.778,10,26,36,28,9,5,21,22,100,17608, 16-25 
31,76,0.408,6,29,23,32,0.719,5,30,35,18,9,6,10,21,91,16991, 16-26 
37,84,0.44,9,26,16,21,0.762,9,31,40,20,7,5,9,23,99,21606, 16-27 
40,82,0.488,9,21,20,26,0.769,10,33,43,25,10,3,14,15,109,14017, 17-27 
43,95,0.453,11,31,19,22,0.864,11,36,47,29,13,3,11,28,116,20562, 18-27 
35,70,0.5,13,25,28,36,0.778,10,33,43,22,7,1,19,30,111,17522, 18-28 
41,79,0.519,11,27,16,26,0.615,8,30,38,27,6,5,9,23,109,18597, 19-28 
41,74,0.554,13,29,24,29,0.828,9,24,33,31,7,3,20,28,119,15840, 19-29 
30,86,0.349,8,29,15,26,0.577,10,35,45,22,9,7,11,17,83,15187, 19-30 
38,85,0.447,10,27,17,22,0.773,6,37,43,23,5,4,13,25,103,17608, 19-31 
39,85,0.459,9,26,19,25,0.76,11,20,31,24,6,5,13,24,106,17608, 20-1 
43,88,0.489,7,23,16,19,0.842,8,38,46,25,11,4,16,18,109,17608, 20-31 
41,79,0.519,11,28,14,16,0.875,9,31,40,27,4,5,15,25,107,17608, 20-32 
42,84,0.5,10,25,14,15,0.933,4,36,40,24,11,1,14,18,108,17608, 21-32 
38,80,0.475,18,36,14,21,0.667,8,31,39,27,12,2,18,27,108,17608, 22-32 
35,78,0.449,11,31,24,27,0.889,8,38,46,23,11,5,19,18,105,17608, 23-32 
36,73,0.493,7,24,18,25,0.72,7,31,38,23,9,3,17,12,97,19997, 24-32 
33,89,0.371,7,24,13,17,0.765,12,38,50,23,4,6,18,17,86,19596, 24-33 
46,88,0.523,7,14,17,19,0.895,9,37,46,26,8,4,14,16,116,17608, 25-33 
31,79,0.392,11,28,12,15,0.8,9,32,41,18,3,6,14,19,85,17608, 25-34 
36,82,0.439,6,17,10,15,0.667,7,35,42,23,6,4,18,18,88,17608, 25-35 
35,81,0.432,11,22,19,22,0.864,10,28,38,12,8,3,15,28,100,17608, 25-36 
43,83,0.518,8,17,15,20,0.75,5,32,37,24,8,3,12,21,109,17608, 25-37 
