fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,numbers
47,98,0.48,12,24,23,26,0.885,21,34,55,25,13,3,13,19,129,19596,San Antonio Spurs (01-0)
36,79,0.456,6,18,24,27,0.889,9,31,40,23,10,8,9,26,102,17608,San Antonio Spurs (02-0)
35,83,0.422,10,24,18,23,0.783,6,44,50,21,6,7,9,15,98,18418,San Antonio Spurs (03-0)
37,82,0.451,10,18,22,26,0.846,14,30,44,20,4,5,15,26,106,19678,San Antonio Spurs (04-0)
33,76,0.434,6,20,19,21,0.905,4,30,34,19,6,5,9,15,91,18418,San Antonio Spurs (04-1)
37,83,0.446,6,20,20,22,0.909,9,40,49,17,9,8,11,25,100,19911,San Antonio Spurs (05-1)
30,74,0.405,10,25,22,25,0.88,7,33,40,19,5,5,15,18,92,18418,San Antonio Spurs (05-2)
33,84,0.393,7,23,26,30,0.867,10,29,39,22,14,5,10,15,99,18418,San Antonio Spurs (05-3)
36,81,0.444,9,20,15,19,0.789,10,35,45,24,8,2,8,13,96,18418,San Antonio Spurs (06-3)
41,76,0.539,5,18,19,24,0.792,2,33,35,21,6,11,10,19,106,18055,San Antonio Spurs (07-3)
33,82,0.402,8,15,20,27,0.741,14,38,52,24,4,7,17,15,94,18418,San Antonio Spurs (08-3)
43,88,0.489,11,30,13,17,0.765,9,28,37,29,11,7,11,21,110,17608,San Antonio Spurs (09-3)
44,78,0.564,10,24,18,19,0.947,3,31,34,30,8,6,12,18,116,18997,San Antonio Spurs (10-3)
35,75,0.467,8,20,18,25,0.72,8,31,39,24,9,1,13,18,96,18418,San Antonio Spurs (11-3)
44,86,0.512,13,31,18,20,0.9,8,26,34,28,9,8,9,18,119,18515,San Antonio Spurs (12-3)
38,81,0.469,11,24,22,25,0.88,13,32,45,24,4,8,16,12,109,18624,San Antonio Spurs (13-3)
40,75,0.533,9,24,23,29,0.793,6,32,38,22,7,6,14,17,112,17066,San Antonio Spurs (14-3)
28,76,0.368,5,20,22,26,0.846,10,35,45,19,9,4,18,17,83,18418,San Antonio Spurs (14-4)
33,71,0.465,11,19,17,24,0.708,7,35,42,16,7,6,11,11,94,19245,San Antonio Spurs (15-4)
39,80,0.488,8,20,21,33,0.636,12,25,37,27,11,4,15,17,107,18418,San Antonio Spurs (16-4)
40,93,0.43,8,28,9,14,0.643,12,34,46,26,6,5,14,22,97,14256,San Antonio Spurs (17-4)
