fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
41,86,0.477,3,18,24,29,0.828,14,37,51,17,8,0,11,22,109,19800, 01-0 
35,90,0.389,4,16,17,18,0.944,18,33,51,12,9,3,18,20,91,19800, 01-1 
41,88,0.466,4,16,19,25,0.76,11,32,43,16,7,9,7,28,105,19800, 02-1 
43,77,0.558,10,25,17,25,0.68,4,27,31,21,16,2,13,24,113,19581, 03-1 
37,84,0.44,6,25,16,18,0.889,13,37,50,14,7,5,15,16,96,19800, 04-1 
30,84,0.357,7,30,24,31,0.774,13,30,43,22,6,5,6,26,91,19800, 04-2 
43,83,0.518,11,26,15,22,0.682,7,28,35,25,10,6,11,24,112,18203, 05-2 
43,90,0.478,6,22,21,22,0.955,8,37,45,18,8,5,5,21,113,18107, 06-2 
39,83,0.47,7,22,33,38,0.868,11,33,44,18,10,6,11,20,118,19800, 07-2 
46,96,0.479,13,29,12,18,0.667,12,28,40,24,11,5,8,25,117,20562, 07-3 
37,82,0.451,10,25,37,41,0.902,13,33,46,16,8,1,14,22,121,21050, 07-4 
43,94,0.457,8,23,19,31,0.613,6,38,44,23,8,2,11,25,113,12476, 08-4 
34,85,0.4,9,24,22,24,0.917,16,32,48,16,7,6,15,21,99,17608, 08-5 
40,80,0.5,8,19,27,32,0.844,4,28,32,19,10,2,11,31,115,19060, 08-6 
43,88,0.489,12,23,17,21,0.81,15,23,38,28,14,7,14,15,115,18055, 09-6 
38,82,0.463,14,32,15,19,0.789,11,27,38,18,3,5,9,17,105,16223, 10-6 
42,77,0.545,13,19,25,31,0.806,8,34,42,22,11,8,12,14,122,19800, 11-6 
38,69,0.551,16,32,28,33,0.848,10,33,43,23,7,4,18,25,120,19800, 12-6 
45,83,0.542,12,29,11,13,0.846,7,37,44,25,8,5,10,18,113,19800, 13-6 
53,92,0.576,13,24,9,11,0.818,12,36,48,28,14,7,12,17,128,19800, 14-6 
38,88,0.432,13,32,23,27,0.852,10,23,33,22,8,5,7,22,112,19800, 14-7 
43,87,0.494,12,27,26,33,0.788,16,26,42,25,5,5,8,19,124,19800, 15-7 
34,82,0.415,9,20,24,27,0.889,8,42,50,12,9,2,11,22,101,18624, 16-7 
42,81,0.519,14,25,24,28,0.857,14,32,46,26,7,2,14,18,122,19800, 17-7 
41,87,0.471,10,29,31,36,0.861,15,24,39,21,9,3,9,20,123,16192, 18-7 
47,86,0.547,10,21,17,26,0.654,8,20,28,20,7,5,9,27,121,19800, 18-8 
43,87,0.494,7,27,16,21,0.762,10,37,47,20,10,7,10,16,109,17251, 19-8 
42,91,0.462,8,18,24,31,0.774,12,36,48,19,13,9,13,21,116,19800, 20-8 
43,81,0.531,8,21,10,15,0.667,5,31,36,12,12,4,10,19,104,19911, 21-8 
30,75,0.4,7,27,24,29,0.828,9,34,43,10,12,5,18,24,91,18055, 22-10 
32,95,0.337,12,34,19,24,0.792,14,38,52,17,11,4,12,12,95,19393, 22-8 
40,103,0.388,13,35,18,22,0.818,19,26,45,24,13,6,7,18,111,19596, 22-9 
42,75,0.56,10,17,29,32,0.906,5,35,40,18,5,9,16,25,123,18997, 23-10 
31,83,0.373,4,18,16,22,0.727,14,29,43,8,8,4,12,17,82,18418, 23-11 
36,91,0.396,8,21,21,28,0.75,21,24,45,14,10,6,4,19,101,19800, 24-11 
37,85,0.435,8,31,36,43,0.837,6,35,41,20,11,5,10,22,118,21195, 24-12 
42,78,0.538,11,25,27,30,0.9,4,35,39,19,7,3,17,25,122,19800, 24-13 
