fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
40,82,0.488,8,24,16,16,1,6,25,31,19,9,5,11,19,104,19446, (0-1)
31,75,0.413,6,25,28,40,0.7,13,34,47,14,4,7,14,18,96,19911, (01-1)
29,73,0.397,7,19,10,13,0.769,7,36,43,18,8,2,18,22,75,19060, (01-2)
38,76,0.5,15,31,15,18,0.833,2,37,39,22,5,8,10,20,106,18418, (02-2)
35,77,0.455,12,25,15,26,0.577,7,34,41,18,6,3,12,21,97,19318, (03-2)
30,80,0.375,11,26,15,24,0.625,9,33,42,15,7,4,12,19,86,19911, (03-3)
38,75,0.507,8,25,30,35,0.857,7,27,34,21,6,4,10,19,114,19812, (04-3)
43,85,0.506,11,19,12,20,0.6,10,35,45,20,10,11,10,22,109,14168, (05-3)
38,82,0.463,8,34,14,18,0.778,10,36,46,24,5,6,12,22,98,15712, (05-4)
33,81,0.407,7,28,14,16,0.875,12,40,52,19,9,7,15,18,87,18846, (06-4)
40,81,0.494,6,20,16,19,0.842,6,39,45,12,5,4,9,19,102,19600, (07-4)
35,73,0.479,8,28,18,22,0.818,6,23,29,17,8,1,8,27,96,18176, (07-5)
30,78,0.385,5,25,12,14,0.857,10,38,48,11,4,3,13,14,77,19911, (07-6)
39,76,0.513,12,27,12,17,0.706,5,38,43,22,3,5,12,17,102,14760, (07-7)
33,85,0.388,7,27,18,23,0.783,14,35,49,15,3,6,10,22,91,12565, (07-8)
39,79,0.494,8,26,22,31,0.71,4,47,51,19,4,3,14,25,108,19229, (08-8)
35,80,0.438,10,34,15,18,0.833,9,46,55,17,9,9,16,16,95,19911, (09-8)
40,79,0.506,4,18,28,34,0.824,12,30,42,19,9,3,12,21,112,9384, (10-8)
41,74,0.554,15,28,23,27,0.852,5,35,40,23,4,5,8,20,120,19911, (11-8)
40,73,0.548,17,30,13,17,0.765,5,26,31,24,5,8,11,14,110,19073, (11-9)
35,78,0.449,9,25,26,28,0.929,7,33,40,20,8,3,9,13,105,19911, (12-9)
38,80,0.475,13,32,18,29,0.621,11,28,39,26,5,7,12,18,107,18279, (13-9)
37,89,0.416,10,38,15,21,0.714,12,34,46,20,8,2,15,22,99,19911, (14-10)
36,73,0.493,12,27,28,32,0.875,6,29,35,23,7,7,15,23,112,18997, (14-9)
37,77,0.481,13,29,17,18,0.944,13,41,54,23,9,10,22,16,104,19331, (15-10)
42,72,0.583,13,23,12,15,0.8,4,34,38,22,4,6,14,22,109,19911, (16-10)
37,65,0.569,8,22,21,27,0.778,8,33,41,18,4,3,16,23,103,18721, (17-10)
30,66,0.455,8,27,14,25,0.56,5,37,42,18,4,11,15,20,82,15862, (18-10)
27,76,0.355,9,30,11,20,0.55,10,34,44,13,5,3,23,17,74,19596, (18-11)
33,74,0.446,9,27,18,22,0.818,7,36,43,19,7,6,11,22,93,19195, (18-12)
35,79,0.443,10,27,18,21,0.857,9,31,40,21,7,2,16,16,98,19911, (18-13)
38,75,0.507,9,26,17,24,0.708,14,25,39,19,6,4,19,18,102,18997, (19-13)
35,73,0.479,15,26,15,28,0.536,9,34,43,21,9,6,14,11,100,19911, (20-13)
35,73,0.479,8,20,13,20,0.65,6,40,46,17,3,4,15,16,91,19911, (21-13)
39,93,0.419,7,24,16,20,0.8,12,34,46,11,9,5,9,19,101,15634, (22-13)
38,82,0.463,11,26,17,21,0.81,8,27,35,27,7,3,10,17,104,18624, (22-14)
34,73,0.466,7,20,18,21,0.857,12,34,46,16,2,4,18,22,93,19800, (22-15)
32,77,0.416,8,23,22,28,0.786,10,29,39,23,12,6,8,19,94,13945, (23-15)
28,72,0.389,9,23,14,23,0.609,11,32,43,14,8,3,17,19,79,16112, (23-16)
38,79,0.481,13,34,11,19,0.579,11,35,46,22,8,4,18,21,100,19911, (24-16)
43,80,0.538,16,31,8,13,0.615,7,40,47,22,10,6,12,14,110,19911, (25-16)
41,83,0.494,7,26,25,36,0.694,9,35,44,28,6,2,13,20,114,19911, (26-16)
41,89,0.461,8,23,16,24,0.667,14,32,46,22,4,6,8,16,106,16767, (27-16)
38,83,0.458,8,23,28,39,0.718,15,38,53,17,8,5,14,26,112,19421, (28-16)
39,84,0.464,6,24,25,32,0.781,10,32,42,24,11,3,14,15,109,19911, (29-16)
36,84,0.429,5,21,18,26,0.692,8,34,42,16,10,7,10,18,95,19911, (29-17)
35,85,0.412,7,22,16,21,0.762,8,32,40,19,6,3,11,21,93,10867, (29-18)
33,81,0.407,6,26,24,28,0.857,10,34,44,13,7,6,8,10,96,19911, (30-18)
29,62,0.468,10,25,27,29,0.931,4,27,31,19,3,4,13,18,95,19911, (30-19)
36,78,0.462,11,29,21,27,0.778,11,35,46,22,11,2,15,23,104,19694, (31-19)
38,81,0.469,13,33,16,24,0.667,11,40,51,16,5,4,13,18,105,19911, (32-19)
49,80,0.613,10,26,12,18,0.667,9,35,44,31,9,7,12,23,120,13126, (33-19)
48,88,0.545,14,32,17,21,0.81,12,36,48,25,9,2,8,19,127,14508, (34-19)
39,85,0.459,13,29,14,17,0.824,11,32,43,26,8,3,21,26,105,19883, (34-20)
35,86,0.407,8,31,26,30,0.867,13,26,39,16,9,2,9,19,104,19911, (34-21)
28,87,0.322,4,23,12,18,0.667,12,37,49,14,5,4,10,11,72,19521, (34-22)
42,81,0.519,11,22,16,23,0.696,9,37,46,19,9,5,14,17,111,19590, (35-22)
37,74,0.5,8,23,27,30,0.9,9,32,41,23,8,5,14,26,109,16064, (36-22)
34,72,0.472,11,24,23,32,0.719,9,41,50,18,10,11,24,19,102,19648, (37-22)
43,93,0.462,9,22,11,13,0.846,8,25,33,22,8,4,7,18,106,18203, (37-23)
35,90,0.389,4,19,6,11,0.545,16,30,46,18,6,5,14,23,80,19127, (37-24)
38,74,0.514,12,26,24,34,0.706,5,40,45,25,7,5,13,25,112,19911, (38-24)
41,90,0.456,10,33,18,27,0.667,12,35,47,24,8,3,13,15,110,17608, (39-24)
33,81,0.407,10,27,12,15,0.8,12,34,46,16,10,2,19,17,88,19649, (40-24)
41,76,0.539,12,31,21,24,0.875,10,35,45,21,2,4,16,23,115,16230, (41-24)
36,75,0.48,9,20,23,28,0.821,7,29,36,15,9,2,12,17,104,18203, (41-25)
41,78,0.526,14,21,18,22,0.818,8,34,42,22,1,3,7,22,114,19911, (42-25)
36,77,0.468,13,28,12,16,0.75,6,37,43,28,6,5,15,15,97,14033, (43-25)
34,82,0.415,5,21,10,14,0.714,10,37,47,18,6,3,16,16,83,20562, (43-26)
31,81,0.383,7,25,17,25,0.68,17,32,49,15,6,8,14,12,86,21953, (43-27)
40,88,0.455,6,25,14,20,0.7,13,36,49,20,5,11,10,17,100,15458, (43-28)
41,90,0.456,7,28,19,29,0.655,20,28,48,18,5,7,8,11,108,19911, (44-28)
37,86,0.43,8,26,13,18,0.722,12,31,43,22,5,3,14,22,95,19060, (44-29)
41,85,0.482,15,27,11,18,0.611,11,38,49,27,6,7,10,22,108,18924, (45-29)
42,79,0.532,13,31,15,19,0.789,7,36,43,22,10,3,11,18,112,17608, (46-29)
33,72,0.458,10,25,19,31,0.613,7,35,42,20,9,7,10,18,95,19911, (47-29)
43,89,0.483,9,24,8,13,0.615,12,24,36,24,6,8,10,18,103,18418, (47-30)
39,74,0.527,13,23,15,19,0.789,7,40,47,21,4,6,14,16,106,19911, (48-30)
45,75,0.6,14,25,16,22,0.727,6,27,33,29,8,7,14,21,120,19911, (49-30)
31,78,0.397,6,19,18,24,0.75,9,38,47,19,2,9,10,18,86,19865, (49-31)
41,92,0.446,13,35,10,15,0.667,14,35,49,29,8,3,11,17,105,19596, (50-31)
39,77,0.506,10,26,13,20,0.65,7,29,36,24,10,5,16,16,101,19911, (51-31)
