fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
40,94,0.426,6,20,13,18,0.722,12,28,40,25,14,4,19,20,99,19049, 00-1 
38,86,0.442,5,25,22,25,0.88,8,32,40,19,8,4,14,23,103,15573, 00-2 
42,72,0.583,3,10,16,24,0.667,6,30,36,21,8,5,20,20,103,19581, 00-3 
31,80,0.388,5,20,28,35,0.8,11,35,46,13,7,3,19,23,95,14663, 01-3 
34,86,0.395,6,17,12,17,0.706,14,35,49,11,4,5,10,23,86,18846, 01-4 
39,94,0.415,10,27,18,20,0.9,16,29,45,20,12,5,13,16,106,13173, 01-5 
46,92,0.5,10,21,16,20,0.8,19,35,54,29,9,7,11,26,118,12675, 02-5 
38,87,0.437,3,15,15,19,0.789,10,36,46,16,7,5,15,21,94,20356, 02-6 
38,91,0.418,4,13,15,18,0.833,13,36,49,19,3,7,12,22,95,21962, 02-7 
38,91,0.418,8,23,18,25,0.72,11,29,40,18,8,1,11,26,102,14863, 02-8 
44,81,0.543,15,25,16,18,0.889,7,30,37,26,7,2,15,21,119,16704, 03-8 
42,89,0.472,11,27,16,22,0.727,13,27,40,22,9,2,11,22,111,15848, 03-9 
37,91,0.407,10,28,22,34,0.647,14,31,45,25,8,4,11,19,106,12790, 04-9 
42,88,0.477,6,22,10,14,0.714,12,28,40,21,11,1,12,26,100,17066, 05-10 
40,88,0.455,6,29,8,10,0.8,7,30,37,26,10,4,11,17,94,17103, 05-9 
35,85,0.412,10,25,21,26,0.808,11,38,49,22,11,7,23,23,101,12571, 06-10 
44,98,0.449,10,28,17,26,0.654,11,37,48,25,8,3,11,25,115,18203, 06-11 
41,81,0.506,7,11,16,18,0.889,9,34,43,25,13,3,18,26,105,18418, 06-12 
45,92,0.489,14,34,14,18,0.778,8,27,35,26,17,5,10,22,118,12529, 07-12 
44,93,0.473,11,23,17,24,0.708,10,32,42,20,5,2,10,25,116,12116, 07-13 
35,78,0.449,6,19,16,17,0.941,8,27,35,21,11,3,18,20,92,12645, 08-13 
40,88,0.455,8,21,22,28,0.786,12,28,40,29,10,3,9,17,110,14816, 09-13 
39,84,0.464,5,23,18,22,0.818,10,27,37,17,8,1,14,22,101,19600, 09-14 
45,87,0.517,5,18,14,17,0.824,12,29,41,27,15,3,14,18,109,13447, 10-14 
44,77,0.571,12,25,22,27,0.815,3,33,36,30,6,1,5,23,122,15573, 11-14 
43,81,0.531,10,19,21,30,0.7,9,24,33,24,10,4,15,24,117,17380, 12-14 
38,88,0.432,8,33,21,26,0.808,14,35,49,19,5,6,15,22,105,17686, 12-15 
43,82,0.524,3,18,18,25,0.72,6,38,44,23,7,3,10,20,107,21358, 13-15 
37,79,0.468,7,24,15,18,0.833,5,25,30,24,2,2,14,21,96,15921, 13-16 
40,79,0.506,12,29,15,20,0.75,7,33,40,29,7,6,16,16,107,15773, 14-16 
38,78,0.487,8,22,27,37,0.73,15,39,54,21,8,1,18,27,111,16172, 15-16 
47,83,0.566,11,22,13,14,0.929,8,36,44,28,12,7,19,21,118,16461, 16-16 
38,87,0.437,6,26,9,12,0.75,7,38,45,23,9,2,17,21,91,16569, 16-17 
41,92,0.446,11,30,12,14,0.857,5,33,38,27,6,7,9,19,105,19318, 16-18 
46,79,0.582,12,22,8,9,0.889,5,28,33,31,3,7,13,18,112,18686, 17-18 
41,84,0.488,10,32,15,18,0.833,13,36,49,23,10,4,19,22,107,15311, 18-18 
42,83,0.506,11,22,6,9,0.667,7,35,42,24,8,6,21,24,101,14361, 19-18 
45,105,0.429,10,26,8,12,0.667,16,28,44,28,10,3,7,13,108,18624, 19-19 
44,91,0.484,8,17,13,18,0.722,12,38,50,18,9,2,11,18,109,17880, 20-19 
42,86,0.488,13,23,23,25,0.92,12,39,51,26,10,5,12,18,120,17395, 21-19 
36,80,0.45,8,29,24,26,0.923,12,33,45,27,7,3,11,25,104,15079, 22-19 
44,88,0.5,13,32,12,14,0.857,10,30,40,29,7,5,15,19,113,19812, 23-19 
39,91,0.429,8,26,26,33,0.788,13,34,47,23,12,3,11,22,112,18231, 23-20 
