fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
41	96	0.427	9	26	0.346	11	12	0.917	9	38	47	24	14	3	8	21	102	20491	 01-00 
43	87	0.494	10	23	0.435	15	20	0.75	10	23	33	19	12	1	19	32	111	16337	 01-01 
44	91	0.484	9	30	0.3	14	15	0.933	15	28	43	21	5	2	12	25	111	19812	 02-01 
33	85	0.388	6	30	0.2	14	19	0.737	9	30	39	14	5	2	14	21	86	13709	 02-02 
48	92	0.522	15	34	0.441	11	17	0.647	12	35	47	32	7	3	14	22	122	13790	 03-02 
36	88	0.409	9	28	0.321	14	21	0.667	12	38	50	16	11	6	12	20	95	17247	 04-02 
43	93	0.462	12	27	0.444	17	17	1	17	20	37	22	16	0	13	9	115	19596	 05-02 
41	94	0.436	10	33	0.303	1	3	0.333	10	34	44	21	7	3	12	11	93	17569	 05-03 
37	78	0.474	8	26	0.308	23	28	0.821	7	32	39	21	10	4	12	11	105	17207	 06-03 
40	79	0.506	13	24	0.542	15	22	0.682	8	27	35	28	10	3	14	19	108	17683	 07-03 
43	83	0.518	12	27	0.444	16	25	0.64	8	42	50	25	3	5	15	22	114	14407	 08-03 
39	89	0.438	12	30	0.4	21	27	0.778	20	31	51	23	7	5	17	18	111	16687	 09-03 
42	87	0.483	14	28	0.5	14	20	0.7	11	43	54	24	2	5	13	17	112	16236	 10-03 
30	85	0.353	15	37	0.405	20	23	0.87	17	28	45	23	7	3	16	20	95	14594	 10-04 
39	93	0.419	14	33	0.424	8	10	0.8	11	32	43	20	4	8	11	18	100	17188	 10-05 
39	83	0.47	8	25	0.32	14	20	0.7	11	26	37	25	10	2	19	21	100	16069	 11-05 
34	77	0.442	13	30	0.433	7	13	0.538	7	27	34	23	7	2	14	19	88	20491	 11-06 
39	84	0.464	14	37	0.378	7	9	0.778	8	35	43	22	6	5	20	17	99	18203	 12-06 
44	85	0.518	11	25	0.44	19	23	0.826	8	32	40	26	8	2	8	19	118	18624	 13-06 
51	89	0.573	13	28	0.464	16	21	0.762	5	39	44	31	11	6	19	22	131	18096	 14-06 
35	79	0.443	9	30	0.3	12	19	0.632	4	28	32	20	7	5	15	21	91	17885	 14-07 
34	78	0.436	9	31	0.29	26	32	0.813	7	29	36	20	8	2	16	27	103	20562	 14-08 
35	85	0.412	8	27	0.296	15	24	0.625	7	35	42	15	8	2	10	22	93	18288	 14-09 
36	87	0.414	10	30	0.333	18	27	0.667	17	29	46	20	5	0	11	20	100	15841	 14-10 
38	92	0.413	12	27	0.444	10	19	0.526	15	34	49	20	8	2	11	17	98	20491	 14-11 
28	84	0.333	10	33	0.303	15	19	0.789	11	35	46	14	7	4	9	16	81	18776	 14-12 
28	79	0.354	9	25	0.36	19	22	0.864	11	29	40	17	7	2	20	16	84	15480	 14-13 
41	90	0.456	13	30	0.433	10	12	0.833	14	32	46	26	10	3	15	23	105	13548	 15-13 
39	93	0.419	13	32	0.406	13	17	0.765	11	33	44	22	7	10	9	22	104	14687	 16-13 
42	89	0.472	17	34	0.5	13	16	0.813	7	32	39	27	11	3	13	17	114	16312	 17-13 
33	77	0.429	7	24	0.292	20	22	0.909	6	32	38	19	4	2	12	19	93	19580	 17-14 
38	88	0.432	10	25	0.4	18	25	0.72	15	29	44	19	8	5	11	11	104	16922	 18-14 
41	82	0.5	12	34	0.353	13	16	0.813	10	36	46	26	5	1	10	17	107	20491	 19-14 
35	87	0.402	9	23	0.391	10	14	0.714	9	32	41	20	5	4	15	17	89	18846	 19-15 
36	81	0.444	8	24	0.333	13	16	0.813	6	39	45	22	10	1	11	11	93	19671	 20-15 
41	86	0.477	9	24	0.375	13	16	0.813	5	30	35	21	4	2	9	14	104	19600	 20-16 
30	78	0.385	7	22	0.318	11	19	0.579	6	28	34	20	9	4	12	14	78	20592	 20-17 
38	75	0.507	12	25	0.48	20	27	0.741	5	30	35	21	8	4	11	15	108	18046	 21-17 
41	93	0.441	8	27	0.296	19	22	0.864	12	27	39	22	5	4	12	18	109	12874	 21-18 
48	93	0.516	10	21	0.476	8	12	0.667	11	43	54	24	10	4	13	14	114	13457	 22-18 
41	92	0.446	12	29	0.414	11	14	0.786	13	32	45	28	8	7	12	11	105	21613	 22-19 
42	86	0.488	15	29	0.517	8	11	0.727	3	35	38	27	10	5	16	24	107	17200	 22-20 
37	88	0.42	10	28	0.357	7	15	0.467	11	31	42	22	14	7	14	20	91	19800	 22-21 
40	80	0.5	10	30	0.333	22	26	0.846	7	28	35	25	8	3	14	22	112	14744	 22-22 
38	90	0.422	9	29	0.31	15	17	0.882	7	36	43	21	3	4	6	19	100	17554	 22-23 
38	97	0.392	7	31	0.226	12	18	0.667	15	42	57	23	10	7	19	16	95	15682	 22-24 
39	84	0.464	12	33	0.364	18	24	0.75	13	30	43	24	4	3	16	20	108	20491	 22-25 
40	95	0.421	14	36	0.389	10	13	0.769	7	36	43	31	5	6	6	23	104	20562	 22-26 
49	93	0.527	9	23	0.391	18	28	0.643	8	39	47	30	12	5	10	27	125	18508	 23-26 
35	76	0.461	7	25	0.28	27	37	0.73	4	37	41	20	8	4	7	19	104	17481	 24-26 
44	84	0.524	9	26	0.346	14	17	0.824	13	36	49	23	7	5	17	12	111	18747	 25-26 
44	88	0.5	15	30	0.5	8	12	0.667	10	41	51	36	7	4	14	14	111	13810	 26-26 
44	92	0.478	9	24	0.375	18	25	0.72	8	38	46	20	10	3	7	12	115	15114	 27-26 
36	88	0.409	10	31	0.323	13	17	0.765	7	33	40	22	5	5	9	16	95	16697	 27-27 
38	83	0.458	13	33	0.394	26	33	0.788	12	28	40	30	6	4	15	28	115	15214	 27-28 
35	95	0.368	9	35	0.257	24	32	0.75	14	40	54	18	5	3	14	19	103	14453	 27-29 
35	83	0.422	13	33	0.394	21	25	0.84	10	37	47	26	3	5	16	18	104	15849	 28-29 
