fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
43	80	0.538	16	30	0.533	19	21	0.905	6	35	41	34	5	9	17	25	121	19596	 00-01 
47	92	0.511	18	41	0.439	16	20	0.8	10	39	49	29	6	8	18	23	128	18171	 01-01 
33	84	0.393	12	38	0.316	23	27	0.852	12	34	46	20	10	7	17	28	101	17794	 01-02 
48	86	0.558	15	39	0.385	22	26	0.846	10	40	50	33	6	8	16	23	133	19875	 02-02 
43	77	0.558	12	26	0.462	19	22	0.864	6	31	37	32	10	7	17	15	117	19596	 03-02 
46	95	0.484	10	38	0.263	18	20	0.9	15	38	53	33	7	13	17	20	120	19596	 04-02 
44	77	0.571	10	27	0.37	9	12	0.75	10	30	40	29	3	11	25	14	107	19596	 04-03 
52	89	0.584	14	29	0.483	23	30	0.767	14	32	46	37	8	8	12	23	141	19068	 05-03 
43	83	0.518	14	28	0.5	12	16	0.75	5	36	41	30	11	12	14	20	112	18418	 06-03 
50	91	0.549	18	40	0.45	9	17	0.529	7	34	41	38	13	4	13	23	127	19711	 07-03 
32	87	0.368	11	32	0.344	22	24	0.917	13	38	51	20	12	10	14	21	97	19596	 08-03 
48	85	0.565	15	36	0.417	14	18	0.778	3	42	45	37	10	9	19	23	125	19596	 09-03 
48	82	0.585	14	27	0.519	25	26	0.962	4	35	39	31	15	11	22	23	135	19596	 10-03 
44	88	0.5	8	23	0.348	14	16	0.875	12	38	50	35	4	5	16	21	110	19596	 11-03 
33	82	0.402	10	32	0.313	12	19	0.632	7	40	47	22	9	10	15	24	88	18624	 11-04 
50	91	0.549	7	23	0.304	17	20	0.85	11	37	48	25	5	6	12	18	124	20848	 12-04 
46	90	0.511	10	24	0.417	16	23	0.696	6	51	57	29	8	14	15	27	118	17732	 13-04 
33	80	0.413	10	31	0.323	15	18	0.833	7	32	39	22	11	8	22	20	91	18203	 13-05 
53	91	0.582	16	36	0.444	21	21	1	6	43	49	36	11	11	11	15	143	19596	 14-05 
39	94	0.415	10	33	0.303	22	27	0.815	11	33	44	30	11	6	9	24	110	19596	 15-05 
40	80	0.5	16	37	0.432	10	14	0.714	9	27	36	31	9	6	14	15	106	19596	 15-06 
47	94	0.5	12	30	0.4	21	28	0.75	12	37	49	30	10	4	22	19	127	18997	 16-06 
55	88	0.625	12	24	0.5	11	11	1	7	35	42	46	9	11	19	16	133	18846	 17-06 
47	84	0.56	11	30	0.367	18	24	0.75	7	34	41	32	4	4	9	14	123	19600	 18-06 
45	87	0.517	16	33	0.485	19	27	0.704	5	35	40	36	14	5	16	17	125	17004	 19-06 
40	84	0.476	11	30	0.367	10	13	0.769	8	39	47	26	8	12	15	20	101	19334	 20-06 
39	81	0.481	7	26	0.269	17	22	0.773	5	40	45	29	5	15	14	19	102	20491	 21-06 
