fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
53	102	0.52	9	34	0.265	25	32	0.781	14	33	47	29	12	9	14	25	140	15008	 01-0 
35	78	0.449	4	18	0.222	22	33	0.667	6	33	39	15	1	4	12	17	96	15325	 01-1 
43	96	0.448	7	19	0.368	15	21	0.714	13	32	45	18	9	4	10	18	108	19600	 01-2 
56	84	0.667	10	22	0.455	8	11	0.727	8	34	42	31	8	2	17	21	130	14353	 02-2 
28	83	0.337	10	29	0.345	30	35	0.857	14	27	41	13	13	2	19	23	96	18203	 02-3 
36	77	0.468	10	22	0.455	15	20	0.75	6	38	44	21	9	3	19	20	97	15013	 03-3 
36	85	0.424	12	29	0.414	17	22	0.773	14	39	53	25	8	7	14	17	101	12245	 04-3 
49	90	0.544	16	26	0.615	10	13	0.769	8	35	43	35	9	1	11	23	124	20562	 05-3 
45	97	0.464	8	28	0.286	12	19	0.632	8	32	40	25	6	6	11	18	110	20668	 05-4 
37	79	0.468	12	25	0.48	15	17	0.882	4	30	34	24	6	2	12	17	101	17889	 05-5 
44	93	0.473	9	24	0.375	15	18	0.833	11	30	41	19	4	4	10	21	112	15014	 05-6 
38	88	0.432	7	24	0.292	14	18	0.778	7	31	38	22	8	3	15	24	97	14407	 05-7 
43	84	0.512	12	29	0.414	7	12	0.583	7	44	51	27	8	3	18	17	105	22416	 06-7 
37	83	0.446	8	22	0.364	13	21	0.619	7	34	41	18	5	7	13	15	95	15581	 06-8 
43	85	0.506	12	24	0.5	18	20	0.9	5	31	36	29	6	6	12	17	116	16033	 07-8 
39	89	0.438	15	28	0.536	14	21	0.667	13	38	51	22	4	5	10	13	107	17188	 08-8 
51	85	0.6	11	23	0.478	7	8	0.875	9	33	42	33	9	7	12	14	120	19600	 09-8 
37	89	0.416	8	20	0.4	23	29	0.793	8	40	48	25	17	4	12	25	105	17239	 10-8 
38	83	0.458	11	26	0.423	20	27	0.741	10	31	41	19	10	3	16	18	107	16523	 11-8 
38	78	0.487	7	23	0.304	15	15	1	10	26	36	20	9	2	18	14	98	16303	 11-9 
42	88	0.477	7	28	0.25	6	6	1	6	30	36	18	9	7	14	17	97	16760	 12-10 
45	102	0.441	8	26	0.308	17	22	0.773	15	31	46	21	7	5	10	17	115	19800	 12-11 
42	79	0.532	15	26	0.577	22	26	0.846	8	35	43	25	7	8	14	18	121	12501	 12-9 
46	86	0.535	11	26	0.423	12	15	0.8	7	37	44	28	10	5	16	20	115	12018	 13-11 
39	87	0.448	12	34	0.353	8	10	0.8	7	32	39	21	7	5	13	14	98	13013	 14-11 
38	86	0.442	15	39	0.385	15	24	0.625	12	37	49	21	7	3	8	19	106	17032	 15-11 
49	93	0.527	10	25	0.4	18	22	0.818	11	29	40	24	6	2	11	17	126	14587	 16-11 
40	89	0.449	11	31	0.355	4	6	0.667	11	31	42	18	11	7	13	21	95	17923	 16-12 
35	87	0.402	9	30	0.3	19	25	0.76	15	36	51	21	6	4	13	15	98	14687	 16-13 
43	76	0.566	8	18	0.444	15	19	0.789	6	37	43	21	6	7	15	20	109	13934	 17-13 
37	79	0.468	7	21	0.333	30	38	0.789	9	29	38	14	12	3	12	16	111	16055	 17-14 
40	82	0.488	7	21	0.333	18	19	0.947	8	29	37	19	5	5	9	18	105	14830	 18-14 
47	90	0.522	10	23	0.435	19	24	0.792	7	34	41	31	8	9	8	25	123	17107	 19-14 
34	77	0.442	6	21	0.286	9	13	0.692	5	21	26	18	6	3	12	19	83	20491	 19-15 
38	79	0.481	10	25	0.4	8	10	0.8	7	32	39	27	8	4	15	17	94	17923	 19-16 
43	93	0.462	7	22	0.318	14	20	0.7	11	32	43	22	10	6	10	15	107	21178	 19-17 
33	85	0.388	10	25	0.4	14	18	0.778	13	30	43	20	3	5	16	18	90	17923	 19-18 
41	84	0.488	3	15	0.2	16	19	0.842	8	22	30	24	7	2	14	20	101	15613	 19-19 
48	86	0.558	15	31	0.484	14	18	0.778	10	39	49	24	9	4	12	19	125	17923	 20-19 
