fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
42	107	0.393	12	33	0.364	12	13	0.923	17	42	59	23	12	3	14	20	108	18997	 01-0 
48	88	0.545	12	26	0.462	22	30	0.733	10	42	52	26	12	2	12	32	130	19068	 02-0 
39	83	0.47	10	29	0.345	14	21	0.667	11	33	44	21	12	4	13	16	102	16607	 03-0 
36	77	0.468	9	28	0.321	23	36	0.639	14	32	46	11	4	5	11	19	104	18694	 04-0 
28	84	0.333	15	38	0.395	16	22	0.727	15	36	51	19	6	6	18	18	87	17247	 04-1 
39	86	0.453	10	25	0.4	25	30	0.833	9	26	35	21	4	3	12	20	113	19068	 04-2 
33	83	0.398	8	29	0.276	13	19	0.684	7	37	44	18	5	6	14	22	87	17640	 05-10 
30	80	0.375	10	32	0.313	15	21	0.714	10	26	36	20	12	3	21	23	85	18848	 05-11 
41	78	0.526	13	28	0.464	24	29	0.828	7	42	49	27	9	5	16	20	119	13487	 05-2 
38	83	0.458	4	26	0.154	24	31	0.774	15	28	43	18	7	7	13	22	104	14777	 05-3 
34	87	0.391	9	31	0.29	24	30	0.8	18	32	50	16	11	4	15	22	101	15676	 05-4 
42	82	0.512	11	30	0.367	12	17	0.706	10	29	39	20	6	4	17	19	107	18418	 05-5 
39	84	0.464	12	30	0.4	21	30	0.7	16	30	46	13	4	2	18	30	111	18203	 05-6 
35	86	0.407	10	26	0.385	23	27	0.852	8	29	37	16	12	1	11	24	103	17624	 05-7 
36	82	0.439	12	32	0.375	21	32	0.656	9	25	34	16	8	4	15	26	105	19068	 05-8 
46	103	0.447	10	35	0.286	11	14	0.786	13	42	55	29	7	10	15	26	113	20562	 05-9 
44	76	0.579	15	30	0.5	13	19	0.684	6	27	33	30	7	4	15	15	116	12675	 06-11 
38	80	0.475	9	28	0.321	12	13	0.923	6	31	37	23	11	5	16	13	97	17583	 07-11 
41	85	0.482	10	28	0.357	28	30	0.933	10	34	44	19	7	3	17	22	120	18086	 08-11 
38	70	0.543	10	29	0.345	21	30	0.7	10	26	36	23	8	6	19	16	107	15139	 08-12 
30	86	0.349	6	22	0.273	16	23	0.696	11	27	38	16	8	6	10	20	82	19245	 08-13 
37	73	0.507	15	34	0.441	17	22	0.773	8	29	37	21	3	7	16	26	106	13172	 08-14 
44	99	0.444	10	32	0.313	9	15	0.6	17	26	43	23	6	3	9	17	107	15951	 08-15 
39	80	0.488	14	32	0.438	21	24	0.875	4	29	33	22	8	4	10	19	113	15739	 09-15 
34	92	0.37	8	36	0.222	20	24	0.833	14	43	57	18	6	7	12	20	96	16658	 10-15 
39	88	0.443	12	26	0.462	16	20	0.8	6	45	51	25	10	6	8	19	106	16011	 11-15 
33	86	0.384	7	24	0.292	18	29	0.621	12	35	47	17	12	6	20	20	91	15442	 11-16 
35	80	0.438	8	28	0.286	7	14	0.5	12	34	46	18	3	5	17	22	85	19600	 11-17 
37	84	0.44	9	29	0.31	8	16	0.5	8	34	42	21	12	4	17	23	91	18418	 11-18 
41	87	0.471	10	30	0.333	16	24	0.667	9	41	50	22	1	4	9	19	108	17151	 12-18 
43	91	0.473	18	42	0.429	24	31	0.774	9	29	38	24	8	5	8	25	128	18055	 13-18 
39	79	0.494	13	34	0.382	21	28	0.75	5	31	36	14	4	7	10	22	112	16844	 13-19 
44	81	0.543	13	31	0.419	21	27	0.778	9	40	49	31	7	8	13	13	122	16393	 14-19 
42	86	0.488	9	32	0.281	28	34	0.824	15	34	49	23	7	6	13	21	121	18997	 15-19 
36	76	0.474	10	28	0.357	24	27	0.889	6	36	42	24	9	5	16	21	106	17348	 16-19 
39	71	0.549	9	23	0.391	26	31	0.839	4	30	34	23	5	3	19	24	113	15711	 17-19 
45	100	0.45	9	30	0.3	18	23	0.783	15	30	45	29	5	2	10	15	117	19068	 17-20 
39	91	0.429	3	11	0.273	24	30	0.8	10	35	45	19	10	7	18	25	105	19068	 17-21 
38	85	0.447	9	18	0.5	23	34	0.676	14	33	47	16	10	9	16	25	108	14624	 18-21 
46	94	0.489	11	24	0.458	22	28	0.786	11	35	46	24	9	3	14	19	125	19596	 19-21 
43	84	0.512	13	31	0.419	22	30	0.733	8	31	39	28	9	5	17	19	121	17583	 20-21 
46	82	0.561	12	31	0.387	22	26	0.846	5	34	39	29	11	5	15	22	126	16656	 21-21 
44	79	0.557	10	25	0.4	15	20	0.75	4	37	41	30	6	10	18	17	113	17622	 22-21 
40	87	0.46	10	30	0.333	19	31	0.613	17	31	48	22	10	5	20	16	109	15043	 23-21 
36	82	0.439	11	36	0.306	30	38	0.789	7	27	34	18	17	2	14	24	113	18306	 23-22 
