fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
44	90	0.489	14	24	0.583	22	28	0.786	15	42	57	22	8	7	16	20	124	18055	 01-00 
46	95	0.484	9	19	0.474	13	17	0.765	11	40	51	19	5	6	9	26	114	15325	 02-00 
34	81	0.42	11	28	0.393	31	35	0.886	13	29	42	18	10	6	16	22	110	16211	 02-01 
33	88	0.375	10	29	0.345	27	33	0.818	18	45	63	17	7	7	18	22	103	19446	 03-01 
35	89	0.393	14	31	0.452	19	22	0.864	16	28	44	19	5	4	9	26	103	18694	 03-02 
40	91	0.44	11	26	0.423	23	28	0.821	12	41	53	27	8	7	14	26	114	19343	 04-02 
31	80	0.388	8	26	0.308	15	19	0.789	6	32	38	13	5	7	13	15	85	18505	 04-03 
37	93	0.398	9	34	0.265	20	27	0.741	11	42	53	17	8	8	17	25	103	16685	 04-04 
40	86	0.465	9	22	0.409	24	27	0.889	10	31	41	22	7	4	12	21	113	19469	 05-04 
37	74	0.5	7	20	0.35	22	28	0.786	7	37	44	20	6	7	21	20	103	19393	 06-04 
36	81	0.444	6	19	0.316	19	20	0.95	10	32	42	11	9	1	16	18	97	18692	 06-05 
40	95	0.421	8	23	0.348	9	11	0.818	12	39	51	17	4	4	10	17	97	19393	 06-06 
38	73	0.521	7	21	0.333	16	18	0.889	8	35	43	22	12	5	21	18	99	18895	 07-06 
38	87	0.437	14	27	0.519	9	13	0.692	10	31	41	21	7	2	12	10	99	19206	 08-06 
30	81	0.37	7	25	0.28	15	16	0.938	11	33	44	13	8	1	17	20	82	17583	 08-07 
38	70	0.543	10	21	0.476	16	21	0.762	5	39	44	19	6	8	17	22	102	19522	 09-07 
33	83	0.398	6	15	0.4	28	32	0.875	15	45	60	11	1	9	15	23	100	15785	 10-07 
30	89	0.337	7	26	0.269	14	24	0.583	11	37	48	14	8	6	17	17	81	20605	 10-08 
48	96	0.5	6	15	0.4	25	35	0.714	12	33	45	24	5	13	7	16	127	15246	 11-08 
41	80	0.513	9	24	0.375	17	22	0.773	6	35	41	18	3	6	16	16	108	18092	 12-08 
37	83	0.446	7	21	0.333	22	26	0.846	5	40	45	18	10	3	9	22	103	18409	 13-08 
35	83	0.422	6	23	0.261	15	17	0.882	10	40	50	17	5	3	19	14	91	19459	 13-09 
47	105	0.448	11	35	0.314	11	11	1	9	35	44	20	6	3	4	17	116	18730	 13-10 
32	78	0.41	12	27	0.444	16	21	0.762	7	34	41	18	2	5	18	20	92	19241	 13-11 
