fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
39	83	0.47	13	29	0.448	26	28	0.929	13	36	49	26	10	4	17	19	117	19800	 01-0 
42	89	0.472	13	44	0.295	31	37	0.838	8	43	51	23	5	10	13	29	128	19800	 02-0 
34	80	0.425	10	37	0.27	19	24	0.792	5	29	34	17	11	4	14	30	97	18418	 02-1 
43	94	0.457	8	34	0.235	18	19	0.947	17	25	42	30	10	6	16	16	112	19596	 02-2 
40	93	0.43	7	29	0.241	14	20	0.7	9	31	40	27	12	4	12	24	101	17876	 03-2 
39	87	0.448	8	24	0.333	13	17	0.765	8	39	47	17	10	9	9	14	99	18505	 04-2 
42	85	0.494	11	31	0.355	16	25	0.64	9	29	38	20	7	4	13	25	111	14072	 04-3 
38	71	0.535	11	30	0.367	22	28	0.786	5	34	39	20	9	4	16	27	109	16258	 05-3 
37	80	0.463	5	24	0.208	17	27	0.63	9	27	36	17	7	8	13	24	96	19800	 05-4 
44	81	0.543	13	25	0.52	18	24	0.75	7	30	37	22	5	0	15	22	119	19800	 06-4 
45	98	0.459	16	42	0.381	16	23	0.696	10	38	48	27	8	4	12	24	122	19800	 07-4 
32	69	0.464	10	24	0.417	20	23	0.87	6	30	36	18	8	8	17	20	94	18624	 07-5 
41	78	0.526	14	30	0.467	33	42	0.786	5	31	36	28	11	4	12	30	129	18055	 08-5 
45	76	0.592	16	34	0.471	19	20	0.95	6	31	37	27	8	6	21	20	125	15654	 09-5 
44	78	0.564	9	26	0.346	10	11	0.909	3	37	40	29	4	11	12	19	107	19800	 10-5 
40	90	0.444	10	39	0.256	10	14	0.714	11	37	48	20	8	7	7	19	100	19800	 11-5 
37	87	0.425	14	38	0.368	12	18	0.667	12	30	42	21	4	10	15	23	100	19812	 11-6 
40	81	0.494	9	30	0.3	15	20	0.75	7	35	42	17	14	4	18	20	104	16523	 11-7 
46	84	0.548	13	32	0.406	7	9	0.778	11	35	46	31	10	3	16	22	112	12278	 12-7 
52	98	0.531	14	32	0.438	8	11	0.727	11	28	39	24	6	2	9	23	126	19800	 13-7 
48	97	0.495	10	32	0.313	14	21	0.667	12	35	47	29	6	8	12	18	120	19800	 14-7 
44	92	0.478	15	36	0.417	23	26	0.885	8	34	42	30	13	4	15	28	126	19800	 15-7 
37	78	0.474	13	31	0.419	29	33	0.879	10	26	36	21	8	3	11	23	116	15417	 16-7 
39	87	0.448	11	37	0.297	13	19	0.684	12	32	44	22	8	2	13	17	102	17583	 17-7 
32	80	0.4	7	29	0.241	20	26	0.769	3	40	43	18	8	6	13	22	91	16658	 17-8 
40	92	0.435	9	26	0.346	26	31	0.839	8	37	45	16	7	3	6	25	115	15517	 18-8 
54	97	0.557	7	28	0.25	5	9	0.556	11	34	45	26	11	5	8	16	120	19800	 19-8 
36	85	0.424	13	30	0.433	23	28	0.821	12	34	46	20	8	9	12	13	108	19800	 20-8 
49	91	0.538	16	33	0.485	15	18	0.833	10	33	43	35	6	7	14	27	129	15023	 21-8 
35	85	0.412	12	35	0.343	32	35	0.914	19	26	45	18	14	6	21	19	114	20680	 22-8 
36	85	0.424	11	38	0.289	24	26	0.923	7	27	34	24	9	4	11	29	107	18203	 23-10 
35	85	0.412	9	27	0.333	23	26	0.885	7	36	43	18	15	6	17	20	102	19800	 23-8 
30	89	0.337	9	31	0.29	24	32	0.75	16	37	53	16	10	7	10	24	93	20005	 23-9 
46	105	0.438	13	37	0.351	6	8	0.75	19	32	51	22	9	15	11	22	111	19800	 24-10 
45	91	0.495	14	33	0.424	27	33	0.818	6	34	40	25	8	8	12	20	131	19800	 25-10 
45	92	0.489	15	38	0.395	19	19	1	7	42	49	23	9	5	11	20	124	20056	 26-10 
48	86	0.558	10	33	0.303	23	28	0.821	12	31	43	25	9	5	11	22	129	18717	 27-10 
43	101	0.426	10	34	0.294	18	23	0.783	8	43	51	19	7	12	15	27	114	13681	 28-10 
35	90	0.389	7	21	0.333	12	15	0.8	7	30	37	15	7	12	5	16	89	19800	 28-11 
53	106	0.5	18	42	0.429	9	13	0.692	18	45	63	31	3	7	9	25	133	19923	 29-11 
45	93	0.484	8	25	0.32	27	32	0.844	14	30	44	22	3	2	10	23	125	20078	 29-12 
38	95	0.4	9	32	0.281	26	30	0.867	12	32	44	20	8	1	15	31	111	20637	 29-13 
34	80	0.425	11	31	0.355	17	23	0.739	12	37	49	24	6	8	20	20	96	19800	 30-13 
34	85	0.4	9	26	0.346	9	14	0.643	9	41	50	16	8	1	13	19	86	19800	 31-13 
39	83	0.47	12	33	0.364	19	21	0.905	8	27	35	23	7	7	13	30	109	17828	 31-14 
39	89	0.438	14	36	0.389	16	25	0.64	12	40	52	25	10	12	17	22	108	12780	 32-14 
37	95	0.389	7	27	0.259	12	17	0.706	16	36	52	23	10	13	11	18	93	19800	 32-15 
46	92	0.5	12	31	0.387	19	25	0.76	12	41	53	23	4	4	14	23	123	19800	 33-15 
39	81	0.481	9	29	0.31	22	26	0.846	9	30	39	28	3	4	8	18	109	19800	 34-15 
44	83	0.53	12	29	0.414	19	24	0.792	8	24	32	20	7	3	18	26	119	15599	 34-16 
46	99	0.465	19	40	0.475	19	21	0.905	17	25	42	21	5	4	6	23	130	19800	 35-16 
41	89	0.461	6	35	0.171	13	15	0.867	10	34	44	21	13	7	11	20	101	19800	 36-16 
40	80	0.5	17	36	0.472	14	17	0.824	5	35	40	29	10	4	15	18	111	20017	 37-16 
43	95	0.453	16	43	0.372	11	14	0.786	9	43	52	31	11	5	8	17	113	19800	 38-16 
49	87	0.563	18	37	0.486	7	10	0.7	6	34	40	35	7	8	12	24	123	18320	 39-16 
42	90	0.467	13	35	0.371	18	23	0.783	7	33	40	24	7	3	8	19	115	19800	 40-16 
48	92	0.522	14	38	0.368	12	15	0.8	5	45	50	38	5	8	7	22	122	21006	 41-16 
43	90	0.478	9	34	0.265	24	26	0.923	5	32	37	23	7	8	12	21	119	20047	 41-17 
42	80	0.525	17	38	0.447	22	23	0.957	6	41	47	31	10	7	18	18	123	19800	 42-17 
45	83	0.542	12	30	0.4	15	24	0.625	7	35	42	33	9	7	12	22	117	17328	 43-17 
36	78	0.462	10	33	0.303	20	32	0.625	8	26	34	19	9	5	7	22	102	18631	 44-17 
35	83	0.422	12	41	0.293	21	27	0.778	9	41	50	22	5	8	15	28	103	19800	 45-17 
34	88	0.386	10	36	0.278	28	33	0.848	17	28	45	25	12	8	12	21	106	19800	 46-17 
45	101	0.446	12	40	0.3	19	21	0.905	11	36	47	33	9	7	9	20	121	17769	 47-17 
41	85	0.482	15	38	0.395	11	14	0.786	12	30	42	22	7	2	16	20	108	20131	 48-17 
47	93	0.505	16	35	0.457	22	25	0.88	14	38	52	32	3	3	11	19	132	19812	 49-17 
44	91	0.484	11	31	0.355	17	21	0.81	13	40	53	27	7	6	11	20	116	16654	 50-17 
35	79	0.443	12	32	0.375	24	28	0.857	18	39	57	20	4	8	20	19	106	17923	 51-17 
43	91	0.473	10	30	0.333	26	31	0.839	12	33	45	26	5	8	13	21	122	19800	 52-17 
46	81	0.568	15	30	0.5	18	23	0.783	8	23	31	31	5	1	19	25	125	19800	 52-18 
35	77	0.455	14	36	0.389	9	17	0.529	6	39	45	19	7	8	17	10	93	16228	 53-18 
47	88	0.534	15	34	0.441	20	23	0.87	10	23	33	32	4	5	6	23	129	20562	 53-19 
41	86	0.477	14	28	0.5	20	29	0.69	5	38	43	26	5	7	10	24	116	19800	 54-19 
41	92	0.446	16	36	0.444	8	14	0.571	13	35	48	24	3	6	14	23	106	19800	 54-20 
47	92	0.511	13	34	0.382	7	9	0.778	9	28	37	33	6	16	9	18	114	19800	 55-20 
37	80	0.463	8	35	0.229	17	22	0.773	9	37	46	23	1	5	15	26	99	18624	 55-21 
42	94	0.447	11	34	0.324	11	14	0.786	9	37	46	28	7	1	11	23	106	20562	 55-22 
40	92	0.435	10	33	0.303	6	8	0.75	12	36	48	23	10	6	10	25	96	19963	 56-22 
36	84	0.429	9	30	0.3	11	16	0.688	9	43	52	27	9	8	19	17	92	19924	 57-22 
39	78	0.5	17	40	0.425	17	24	0.708	6	41	47	28	8	5	17	21	112	19948	 58-22 
46	87	0.529	12	39	0.308	4	4	1	8	40	48	27	3	5	9	17	108	17529	 59-22 
42	92	0.457	9	30	0.3	16	21	0.762	9	38	47	24	5	10	13	24	109	19600	 59-23 
