fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
41	81	0.506	9	24	0.375	15	16	0.938	6	30	36	28	9	5	15	18	106	17588	 01-00 
37	77	0.481	9	22	0.409	14	17	0.824	7	31	38	23	10	8	19	21	97	18978	 01-01 
38	77	0.494	9	29	0.31	11	14	0.786	7	34	41	22	11	4	18	21	96	18300	 02-01 
34	79	0.43	7	28	0.25	9	11	0.818	8	33	41	20	7	7	18	23	84	16607	 02-02 
32	77	0.416	6	25	0.24	18	25	0.72	7	37	44	20	8	10	23	19	88	16022	 02-03 
37	79	0.468	13	31	0.419	9	13	0.692	14	35	49	18	9	5	21	20	96	18306	 03-03 
38	81	0.469	16	35	0.457	12	15	0.8	6	29	35	25	16	8	14	17	104	16221	 04-03 
34	90	0.378	13	29	0.448	31	36	0.861	10	45	55	16	9	8	14	21	112	16685	 05-03 
35	80	0.438	8	23	0.348	22	24	0.917	10	23	33	11	9	5	13	25	100	16258	 05-04 
38	88	0.432	13	34	0.382	21	24	0.875	8	25	33	22	7	3	13	18	110	16914	 05-05 
30	99	0.303	9	39	0.231	28	35	0.8	14	31	45	15	14	6	12	23	97	16063	 05-06 
25	74	0.338	5	21	0.238	19	22	0.864	4	36	40	12	10	7	17	20	74	18306	 05-07 
41	85	0.482	11	29	0.379	21	25	0.84	12	32	44	19	12	3	16	29	114	17413	 06-07 
37	84	0.44	14	40	0.35	10	11	0.909	8	23	31	23	8	4	15	23	98	17236	 06-08 
34	79	0.43	17	35	0.486	16	17	0.941	9	28	37	19	5	10	13	23	101	18695	 06-09 
39	79	0.494	12	26	0.462	17	24	0.708	10	29	39	21	6	6	16	19	107	14495	 06-10 
47	98	0.48	14	34	0.412	17	18	0.944	14	40	54	31	10	4	10	19	125	19157	 07-10 
30	85	0.353	9	28	0.321	17	19	0.895	7	27	34	18	16	4	14	19	86	20587	 07-11 
40	86	0.465	14	35	0.4	16	19	0.842	8	37	45	23	10	5	7	15	110	17434	 08-11 
46	81	0.568	18	32	0.563	11	19	0.579	5	25	30	31	8	2	10	19	121	17298	 09-11 
42	87	0.483	14	32	0.438	8	9	0.889	9	34	43	24	7	6	11	20	106	16790	 10-11 
49	85	0.576	17	35	0.486	11	14	0.786	10	23	33	38	13	2	13	20	126	15139	 11-11 
42	85	0.494	12	30	0.4	18	25	0.72	8	38	46	25	7	3	7	15	114	17725	 12-11 
43	76	0.566	16	34	0.471	14	18	0.778	10	42	52	29	9	3	16	20	116	17227	 13-11 
34	79	0.43	11	33	0.333	15	21	0.714	9	26	35	18	16	5	16	21	94	18203	 13-12 
34	77	0.442	11	30	0.367	22	27	0.815	4	28	32	17	10	5	13	21	101	18306	 13-13 
33	76	0.434	8	23	0.348	26	37	0.703	9	26	35	20	7	3	16	23	100	16675	 13-14 
42	91	0.462	9	30	0.3	7	7	1	5	43	48	24	3	8	16	19	100	18102	 13-15 
40	83	0.482	13	25	0.52	14	18	0.778	9	46	55	19	6	2	15	20	107	18624	 14-15 
37	81	0.457	17	34	0.5	9	14	0.643	11	27	38	24	9	7	12	14	100	20562	 14-16 
42	91	0.462	8	27	0.296	7	8	0.875	5	27	32	17	12	1	6	22	99	18055	 14-17 
26	73	0.356	7	31	0.226	20	27	0.741	11	28	39	13	6	3	18	15	79	18203	 14-18 
34	74	0.459	12	26	0.462	20	24	0.833	5	36	41	18	7	4	12	18	100	18306	 15-18 
33	72	0.458	6	26	0.231	17	20	0.85	6	31	37	16	3	2	12	13	89	18306	 15-19 
27	84	0.321	10	35	0.286	19	23	0.826	12	30	42	19	7	0	7	22	83	17104	 15-20 
37	92	0.402	6	23	0.261	21	27	0.778	10	33	43	21	10	2	13	22	101	19596	 15-21 
38	82	0.463	10	31	0.323	18	21	0.857	5	38	43	24	12	4	11	24	104	18306	 16-21 
38	84	0.452	7	32	0.219	15	17	0.882	6	30	36	23	12	1	14	21	98	18306	 16-22 
38	84	0.452	12	33	0.364	3	6	0.5	8	45	53	26	7	5	17	16	91	15557	 16-23 
37	82	0.451	10	32	0.313	18	20	0.9	8	36	44	15	6	5	11	18	102	19600	 16-24 
43	92	0.467	11	33	0.333	10	13	0.769	11	28	39	23	15	3	12	17	107	15640	 17-24 
28	77	0.364	12	35	0.343	20	23	0.87	8	37	45	19	5	8	14	26	88	14848	 17-25 
36	81	0.444	9	33	0.273	13	17	0.765	9	29	38	11	11	7	13	12	94	18306	 17-26 
