fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
33	87	0.379	8	24	0.333	33	42	0.786	14	42	56	20	6	9	10	22	107	19068	 01-00 
43	85	0.506	9	28	0.321	24	29	0.828	9	45	54	28	12	6	18	31	119	19592	 02-00 
35	86	0.407	6	32	0.188	24	42	0.571	13	34	47	21	11	4	8	22	100	19520	 03-00 
51	99	0.515	11	30	0.367	13	15	0.867	15	34	49	31	11	3	12	22	126	13214	 04-00 
46	92	0.5	6	23	0.261	16	20	0.8	10	34	44	22	8	5	19	22	114	18997	 04-01 
42	93	0.452	11	35	0.314	21	23	0.913	9	32	41	28	14	5	13	17	116	15217	 05-01 
45	99	0.455	7	26	0.269	11	18	0.611	17	39	56	24	7	9	16	16	108	19027	 06-01 
41	85	0.482	10	26	0.385	18	21	0.857	14	30	44	22	8	7	12	18	110	19432	 07-01 
41	83	0.494	9	28	0.321	12	19	0.632	8	40	48	32	8	0	17	26	103	19520	 08-01 
41	90	0.456	13	34	0.382	20	28	0.714	15	32	47	25	5	4	13	14	115	19520	 09-01 
32	82	0.39	8	32	0.25	15	19	0.789	13	28	41	19	9	3	16	22	87	15832	 09-02 
40	87	0.46	5	18	0.278	25	34	0.735	15	39	54	20	3	5	12	28	110	19520	 09-03 
41	89	0.461	18	38	0.474	14	20	0.7	10	29	39	27	8	5	10	16	114	19520	 09-04 
38	76	0.5	11	25	0.44	12	16	0.75	7	24	31	27	11	2	16	20	99	16741	 09-05 
53	94	0.564	13	31	0.419	19	25	0.76	11	45	56	34	12	6	15	24	138	15103	 10-05 
46	95	0.484	15	39	0.385	8	13	0.615	10	33	43	30	5	6	13	23	115	15408	 10-06 
40	94	0.426	12	41	0.293	6	9	0.667	13	30	43	30	6	4	17	20	98	17341	 10-07 
42	89	0.472	14	35	0.4	5	6	0.833	9	31	40	29	12	4	13	22	103	15086	 11-07 
44	93	0.473	9	28	0.321	15	17	0.882	12	39	51	33	10	5	11	20	112	19520	 12-07 
