fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
42	85	0.494	14	34	0.412	15	20	0.75	11	46	57	26	5	4	21	25	113	17889	 01-00 
44	93	0.473	17	46	0.37	13	21	0.619	11	39	50	27	9	8	17	26	118	17341	 02-00 
45	96	0.469	17	40	0.425	17	24	0.708	19	36	55	27	5	9	14	18	124	16228	 03-00 
41	100	0.41	13	43	0.302	28	30	0.933	9	42	51	24	7	10	11	27	123	17341	 04-00 
49	92	0.533	19	46	0.413	8	11	0.727	7	55	62	32	4	8	17	23	125	16334	 05-00 
41	82	0.5	10	30	0.333	21	23	0.913	6	51	57	24	6	7	21	19	113	17341	 06-00 
45	92	0.489	19	45	0.422	15	19	0.789	8	49	57	28	5	4	17	21	124	17341	 07-00 
41	85	0.482	9	29	0.31	22	30	0.733	8	37	45	20	8	3	14	20	113	18624	 07-01 
46	95	0.484	22	56	0.393	30	33	0.909	10	46	56	30	6	7	12	20	144	17341	 08-01 
40	92	0.435	16	42	0.381	7	8	0.875	12	30	42	26	2	1	11	16	103	19512	 08-02 
52	101	0.515	9	35	0.257	21	27	0.778	13	33	46	33	11	7	12	23	134	19596	 09-02 
47	105	0.448	16	46	0.348	16	23	0.696	15	37	52	31	11	8	17	26	126	17486	 09-03 
48	84	0.571	17	34	0.5	8	13	0.615	5	36	41	27	10	7	12	17	121	19520	 10-03 
41	81	0.506	9	35	0.257	22	27	0.815	9	35	44	22	5	8	16	22	113	16817	 10-04 
47	93	0.505	18	43	0.419	11	17	0.647	11	44	55	28	8	8	16	14	123	17341	 11-04 
40	88	0.455	11	36	0.306	13	22	0.591	13	38	51	21	8	3	15	16	104	17341	 12-04 
57	108	0.528	15	45	0.333	14	17	0.824	13	46	59	34	8	2	14	23	143	17591	 13-04 
42	87	0.483	10	44	0.227	20	30	0.667	7	36	43	30	6	7	14	17	114	17852	 13-05 
49	86	0.57	15	40	0.375	22	29	0.759	6	35	41	30	7	3	13	22	135	17559	 14-05 
37	90	0.411	16	46	0.348	17	21	0.81	10	38	48	25	7	5	14	22	107	13805	 14-06 
43	87	0.494	12	35	0.343	18	24	0.75	8	40	48	29	6	8	12	23	116	16660	 15-06 
46	94	0.489	18	42	0.429	24	31	0.774	10	41	51	28	11	4	16	25	134	19812	 15-07 
38	82	0.463	14	41	0.341	25	30	0.833	4	42	46	25	13	4	15	21	115	16541	 16-07 
36	92	0.391	7	39	0.179	16	23	0.696	15	39	54	18	10	3	18	21	95	17852	 16-08 
36	87	0.414	15	39	0.385	17	20	0.85	9	36	45	22	6	7	11	13	104	19800	 17-08 
42	96	0.438	15	36	0.417	9	11	0.818	12	46	58	22	4	4	14	24	108	17155	 18-08 
38	91	0.418	11	43	0.256	10	15	0.667	9	34	43	22	6	6	12	18	97	17070	 18-09 
40	94	0.426	12	41	0.293	22	28	0.786	14	39	53	26	9	6	9	17	114	19432	 19-09 
44	88	0.5	9	25	0.36	10	15	0.667	5	32	37	33	8	10	10	19	107	15051	 20-09 
43	85	0.506	13	33	0.394	24	30	0.8	9	39	48	26	11	3	14	18	123	17341	 21-09 
41	80	0.513	16	40	0.4	22	28	0.786	11	44	55	26	3	6	20	30	120	18624	 22-09 
31	84	0.369	9	43	0.209	16	22	0.727	6	42	48	20	6	9	15	19	87	19600	 22-10 
40	89	0.449	6	32	0.188	23	34	0.676	6	45	51	22	9	8	8	19	109	19812	 23-10 
42	93	0.452	11	32	0.344	17	21	0.81	11	46	57	20	4	11	15	14	112	18058	 24-10 
47	96	0.49	21	51	0.412	14	16	0.875	5	34	39	30	6	5	10	22	129	17918	 25-10 
47	79	0.595	10	27	0.37	17	26	0.654	5	38	43	28	7	6	13	19	121	17534	 26-10 
55	100	0.55	14	40	0.35	20	28	0.714	12	42	54	36	11	8	14	26	144	17632	 27-10 
40	81	0.494	14	37	0.378	22	27	0.815	4	34	38	29	9	2	14	20	116	18028	 27-11 
46	98	0.469	9	25	0.36	13	16	0.813	10	36	46	27	10	6	10	19	114	17341	 28-11 
44	91	0.484	8	27	0.296	20	24	0.833	10	39	49	26	11	5	13	25	116	18055	 29-11 
40	89	0.449	13	40	0.325	13	17	0.765	10	33	43	26	8	6	15	17	106	17996	 29-12 
49	92	0.533	11	30	0.367	24	33	0.727	8	31	39	28	13	4	14	25	133	16292	 30-12 
48	96	0.5	17	39	0.436	11	18	0.611	7	46	53	35	8	6	7	12	124	17626	 31-12 
40	84	0.476	12	34	0.353	19	22	0.864	5	45	50	27	9	8	15	25	111	14921	 32-12 
47	85	0.553	12	30	0.4	12	15	0.8	4	42	46	22	7	7	13	14	118	18846	 33-12 
42	91	0.462	12	32	0.375	20	22	0.909	8	43	51	21	9	7	14	19	116	17963	 34-12 
41	89	0.461	6	31	0.194	20	23	0.87	6	40	46	17	9	6	11	18	108	17803	 35-12 
39	91	0.429	15	37	0.405	19	28	0.679	9	40	49	22	6	5	14	22	112	18203	 35-13 
47	87	0.54	13	32	0.406	8	10	0.8	6	33	39	32	9	6	10	15	115	14187	 36-13 
39	79	0.494	14	38	0.368	13	17	0.765	7	43	50	21	13	6	18	16	105	19800	 37-13 
45	91	0.495	17	39	0.436	24	24	1	6	40	46	30	10	4	11	19	131	20409	 38-13 
43	101	0.426	10	39	0.256	17	25	0.68	15	44	59	29	9	7	9	20	113	16209	 39-13 
56	93	0.602	19	30	0.633	17	26	0.654	8	26	34	33	15	3	14	20	148	17360	 40-13 
51	93	0.548	10	36	0.278	10	12	0.833	10	41	51	25	4	5	12	21	122	20420	 41-13 
31	95	0.326	6	35	0.171	15	18	0.833	12	39	51	18	5	8	10	16	83	17812	 41-14 
38	80	0.475	12	38	0.316	24	29	0.828	5	44	49	24	6	7	17	18	112	18833	 42-14 
38	86	0.442	9	31	0.29	21	29	0.724	10	42	52	22	7	3	10	14	106	17311	 43-14 
37	88	0.42	14	39	0.359	10	14	0.714	9	46	55	21	5	4	15	11	98	17926	 44-14 
50	95	0.526	19	43	0.442	21	22	0.955	10	39	49	28	6	8	11	17	140	17972	 45-14 
42	91	0.462	17	49	0.347	16	23	0.696	8	37	45	26	3	6	8	22	117	20936	 46-14 
54	112	0.482	17	45	0.378	16	21	0.762	11	46	57	36	3	14	11	18	141	17583	 47-14 
48	93	0.516	14	40	0.35	21	24	0.875	11	40	51	30	4	6	11	15	131	18997	 48-14 
37	96	0.385	15	39	0.385	22	30	0.733	17	36	53	20	6	10	15	22	111	18306	 48-15 
35	95	0.368	12	42	0.286	23	31	0.742	18	39	57	17	8	2	14	25	105	18055	 48-16 
43	86	0.5	14	35	0.4	17	21	0.81	8	44	52	21	7	10	13	19	117	17884	 49-16 
44	90	0.489	17	44	0.386	26	30	0.867	14	41	55	27	9	2	12	17	131	17996	 50-16 
41	87	0.471	14	36	0.389	18	25	0.72	6	39	45	22	3	2	10	17	114	18594	 50-17 
48	97	0.495	10	36	0.278	24	28	0.857	5	47	52	27	5	4	13	20	130	15562	 51-17 
42	88	0.477	12	33	0.364	17	24	0.708	8	44	52	29	8	9	15	21	113	19600	 52-17 
43	95	0.453	16	50	0.32	23	28	0.821	10	35	45	25	9	6	10	22	125	18148	 52-18 
41	89	0.461	15	47	0.319	18	27	0.667	12	42	54	25	9	4	17	19	115	17879	 53-18 
36	91	0.396	13	32	0.406	17	21	0.81	11	40	51	24	9	7	9	16	102	19432	 53-19 
43	85	0.506	17	34	0.5	13	20	0.65	9	43	52	33	5	5	14	23	116	18094	 54-19 
48	87	0.552	15	41	0.366	16	21	0.762	4	41	45	26	8	7	9	13	127	17930	 55-19 
42	94	0.447	14	34	0.412	10	13	0.769	10	50	60	24	10	6	15	11	108	17910	 56-19 
45	86	0.523	16	37	0.432	22	27	0.815	3	44	47	25	5	5	8	21	128	17922	 57-19 
48	116	0.414	17	55	0.309	22	23	0.957	22	49	71	30	6	3	16	20	135	16660	 57-20 
47	94	0.5	11	34	0.324	26	30	0.867	6	34	40	28	15	7	14	26	131	17732	 58-20 
42	93	0.452	12	34	0.353	32	43	0.744	8	42	50	26	5	6	10	18	128	20701	 59-20 
49	88	0.557	16	34	0.471	14	21	0.667	6	37	43	28	7	4	14	18	128	18116	 59-21 
