fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
34	87	0.391	5	26	0.192	14	23	0.609	6	41	47	18	8	5	16	20	87	18624	 00-01 
44	93	0.473	12	36	0.333	27	30	0.9	11	44	55	30	10	8	13	17	127	20302	 01-01 
45	94	0.479	17	33	0.515	9	10	0.9	13	33	46	33	8	3	10	21	116	20300	 02-01 
49	98	0.5	14	43	0.326	20	28	0.714	8	40	48	32	3	8	11	24	132	14418	 02-02 
38	92	0.413	11	34	0.324	21	30	0.7	8	42	50	29	4	5	16	27	108	17341	 02-03 
35	91	0.385	10	28	0.357	25	30	0.833	14	42	56	18	4	8	11	23	105	20203	 03-03 
41	99	0.414	14	47	0.298	17	18	0.944	16	48	64	33	7	9	19	22	113	20269	 04-03 
38	91	0.418	14	40	0.35	22	30	0.733	17	30	47	25	7	5	23	24	112	19800	 04-04 
44	93	0.473	13	27	0.481	21	28	0.75	10	33	43	29	7	7	14	30	122	20246	 05-04 
28	69	0.406	9	29	0.31	44	51	0.863	3	42	45	21	11	3	17	31	109	20289	 06-04 
31	65	0.477	4	20	0.2	31	41	0.756	9	37	46	16	6	1	27	21	97	12826	 06-05 
36	79	0.456	10	32	0.313	18	22	0.818	5	38	43	24	7	8	16	18	100	16434	 07-05 
45	94	0.479	12	37	0.324	31	41	0.756	13	46	59	33	3	15	16	33	133	20424	 08-05 
44	85	0.518	8	31	0.258	10	16	0.625	8	40	48	27	10	6	23	20	106	16904	 08-06 
39	83	0.47	15	36	0.417	31	39	0.795	10	32	42	24	5	0	9	24	124	19600	 09-06 
41	86	0.477	14	29	0.483	10	15	0.667	10	31	41	32	2	3	14	21	106	15921	 09-07 
41	81	0.506	11	23	0.478	20	32	0.625	10	31	41	25	7	5	17	27	113	20485	 10-07 
39	93	0.419	11	35	0.314	33	38	0.868	9	44	53	23	9	6	19	24	122	19426	 11-07 
41	84	0.488	6	22	0.273	31	42	0.738	13	40	53	24	8	1	19	27	119	20459	 12-07 
44	98	0.449	10	29	0.345	23	26	0.885	11	36	47	27	7	7	16	26	121	20352	 13-07 
40	75	0.533	12	33	0.364	20	26	0.769	4	27	31	27	5	2	10	20	112	20524	 13-08 
44	91	0.484	12	29	0.414	27	33	0.818	13	29	42	28	9	6	9	22	127	15217	 14-08 
47	87	0.54	12	25	0.48	11	16	0.688	8	42	50	34	7	5	16	19	117	20274	 15-08 
43	98	0.439	12	38	0.316	25	33	0.758	17	41	58	28	11	7	12	17	123	20400	 16-08 
36	74	0.486	8	22	0.364	23	30	0.767	3	41	44	22	5	2	16	20	103	20334	 17-08 
40	88	0.455	11	35	0.314	11	14	0.786	11	38	49	26	7	5	21	23	102	19800	 17-09 
44	90	0.489	9	32	0.281	20	21	0.952	12	28	40	26	11	12	16	28	117	15680	 18-09 
39	88	0.443	15	37	0.405	23	35	0.657	16	32	48	27	9	5	13	19	116	20199	 19-09 
50	91	0.549	12	28	0.429	12	16	0.75	10	27	37	31	11	3	17	30	124	20376	 19-10 
36	88	0.409	9	36	0.25	20	27	0.741	17	32	49	17	5	5	16	21	101	20337	 19-11 
51	91	0.56	11	27	0.407	15	20	0.75	12	36	48	32	5	9	10	18	128	19432	 20-11 
40	98	0.408	11	37	0.297	5	7	0.714	12	29	41	29	3	5	10	15	96	17486	 20-12 
47	88	0.534	15	30	0.5	22	25	0.88	9	42	51	31	6	4	9	22	131	20424	 21-12 
46	85	0.541	8	24	0.333	26	35	0.743	4	49	53	33	10	7	11	21	126	20691	 22-12 
38	92	0.413	15	40	0.375	23	29	0.793	9	47	56	25	6	4	19	21	114	18624	 22-13 
43	86	0.5	13	35	0.371	15	18	0.833	9	38	47	31	7	7	13	21	114	18306	 23-13 
34	96	0.354	8	43	0.186	19	27	0.704	9	27	36	18	15	2	11	21	95	19393	 23-14 
42	87	0.483	12	26	0.462	23	33	0.697	17	38	55	25	7	7	20	28	119	17868	 24-14 
40	74	0.541	11	24	0.458	41	54	0.759	8	36	44	27	9	3	17	30	132	15226	 25-14 
39	83	0.47	6	26	0.231	22	33	0.667	8	41	49	31	7	5	10	20	106	20656	 26-14 
49	88	0.557	17	33	0.515	17	25	0.68	13	36	49	39	10	2	19	20	132	20446	 27-14 
37	86	0.43	8	27	0.296	24	31	0.774	17	29	46	23	12	3	24	20	106	18039	 27-15 
45	87	0.517	11	33	0.333	20	27	0.741	11	19	30	31	13	4	15	23	121	20487	 27-16 
40	87	0.46	6	20	0.3	22	30	0.733	12	44	56	22	4	9	16	21	108	18596	 28-16 
55	92	0.598	21	43	0.488	18	21	0.857	8	46	54	40	6	11	15	29	149	20265	 29-16 
46	87	0.529	18	34	0.529	10	11	0.909	9	42	51	38	8	6	16	10	120	16007	 30-16 
38	81	0.469	11	32	0.344	28	39	0.718	12	35	47	28	6	7	17	20	115	20646	 30-17 
43	88	0.489	8	23	0.348	27	33	0.818	10	45	55	21	9	14	13	22	121	20313	 31-17 
47	93	0.505	17	36	0.472	11	14	0.786	13	29	42	35	9	5	11	14	122	20339	 32-17 
38	91	0.418	14	36	0.389	20	27	0.741	11	30	41	29	7	2	12	24	110	19673	 32-18 
42	93	0.452	15	36	0.417	22	28	0.786	12	32	44	33	15	6	12	15	121	18997	 33-18 
41	88	0.466	12	37	0.324	19	24	0.792	16	33	49	30	11	5	19	19	113	19596	 34-18 
41	93	0.441	7	33	0.212	19	25	0.76	14	32	46	19	9	5	13	22	108	17583	 34-19 
31	70	0.443	7	24	0.292	38	41	0.927	5	29	34	20	8	3	18	22	107	20472	 34-20 
39	78	0.5	10	22	0.455	29	32	0.906	7	35	42	23	7	5	17	12	117	20627	 35-20 
56	97	0.577	12	24	0.5	19	22	0.864	7	35	42	33	10	3	7	17	143	20683	 36-20 
39	80	0.488	9	27	0.333	22	31	0.71	10	37	47	21	4	3	14	20	109	20582	 36-21 
42	78	0.538	8	23	0.348	34	43	0.791	6	41	47	33	8	7	15	24	126	18983	 37-21 
37	82	0.451	7	26	0.269	25	35	0.714	12	39	51	23	5	4	15	13	106	20505	 38-21 
